COUNTRY,DISTRICT,UAI_NAME,year,sales_season,firm,premium_rate,tlu,tsi_usd
KENYA,MARSABIT,NORTH HORR,2010,Jan/Feb,UAP,.0920000001788139,423.1499938964844,74051.25
KENYA,MARSABIT,DUKANA,2010,Jan/Feb,UAP,.0920000001788139,584.3499755859375,102261.25
KENYA,MARSABIT,TURBI,2010,Jan/Feb,UAP,.0920000001788139,414.6480102539063,72563.398
KENYA,MARSABIT,MAIKONA,2010,Jan/Feb,UAP,.0920000001788139,382.7520141601563,66981.602
KENYA,MARSABIT,MT KULAL,2010,Jan/Feb,UAP,.0920000001788139,98.5780029296875,17251.15
KENYA,MARSABIT,LOIYANGALANI,2010,Jan/Feb,UAP,.0920000001788139,94.29199981689453,16501.1
KENYA,MARSABIT,KARGI,2010,Jan/Feb,UAP,.0920000001788139,235.7300109863281,41252.75
KENYA,MARSABIT,LAISAMIS,2010,Jan/Feb,UAP,.054,980.2,171535
KENYA,MARSABIT,CENTRAL MARSABIT,2010,Jan/Feb,UAP,.054,2751.7,481547.5
KENYA,MARSABIT,DUKANA,2011,Jan/Feb,UAP,.0920000001788139,59.91400146484375,9226.7559
KENYA,MARSABIT,NORTH HORR,2011,Jan/Feb,UAP,.0920000001788139,43.38600158691406,6681.4438
KENYA,MARSABIT,MAIKONA,2011,Jan/Feb,UAP,.0920000001788139,82.2239990234375,12662.495
KENYA,MARSABIT,TURBI,2011,Jan/Feb,UAP,.0920000001788139,89.07599639892578,13717.703
KENYA,MARSABIT,LOIYANGALANI,2011,Jan/Feb,UAP,.0920000001788139,44.04399871826172,6782.7764
KENYA,MARSABIT,KARGI,2011,Jan/Feb,UAP,.0920000001788139,110.1100006103516,16956.941
KENYA,MARSABIT,MT KULAL,2011,Jan/Feb,UAP,.0920000001788139,46.04600143432617,7091.0845
KENYA,MARSABIT,LAISAMIS,2011,Jan/Feb,UAP,.054,374.8,57719.199
KENYA,MARSABIT,CENTRAL MARSABIT,2011,Jan/Feb,UAP,.054,458.9,70670.602
KENYA,MARSABIT,NORTH HORR,2011,Aug/Sep,UAP,.0920000001788139,56.23799514770508,8660.6514
KENYA,MARSABIT,DUKANA,2011,Aug/Sep,UAP,.0920000001788139,77.66199493408203,11959.947
KENYA,MARSABIT,TURBI,2011,Aug/Sep,UAP,.0920000001788139,55.89999771118164,8608.5996
KENYA,MARSABIT,MAIKONA,2011,Aug/Sep,UAP,.0920000001788139,51.59999847412109,7946.3999
KENYA,MARSABIT,LOIYANGALANI,2011,Aug/Sep,UAP,.0920000001788139,15.55399894714355,2395.3159
KENYA,MARSABIT,MT KULAL,2011,Aug/Sep,UAP,.0920000001788139,16.26099967956543,2504.1941
KENYA,MARSABIT,KARGI,2011,Aug/Sep,UAP,.0920000001788139,38.8849983215332,5988.29
KENYA,MARSABIT,LAISAMIS,2011,Aug/Sep,UAP,.054,317.2,48848.801
KENYA,MARSABIT,CENTRAL MARSABIT,2011,Aug/Sep,UAP,.054,206.2,31754.801
KENYA,MARSABIT,NORTH HORR,2012,Aug/Sep,APA,.092,164.5,27636
KENYA,MARSABIT,MAIKONA,2012,Aug/Sep,APA,.092,18.4,3091.2
KENYA,MARSABIT,LOIYANGALANI,2012,Aug/Sep,APA,.054,10,1680
KENYA,MARSABIT,CENTRAL MARSABIT,2012,Aug/Sep,APA,.054,119.5,20076
KENYA,MARSABIT,LAISAMIS,2012,Aug/Sep,APA,.054,100.8,16934.4
ETHIOPIA,BORANA,MIYO,2012,Aug/Sep,OIC,.1105,4,1344
ETHIOPIA,BORANA,GARA MEGA,2012,Aug/Sep,OIC,.0949,.4000000059604645,156.8
ETHIOPIA,BORANA,GOLBO_ET,2012,Aug/Sep,OIC,.0975,39.40000152587891,11300.801
ETHIOPIA,BORANA,GARACHA DIRE,2012,Aug/Sep,OIC,.0949,9.100000381469727,2895.2002
ETHIOPIA,BORANA,MALBE DILLO,2012,Aug/Sep,OIC,.0975,25.39999961853027,8276.7998
ETHIOPIA,BORANA,GUBA TERTALE,2012,Aug/Sep,OIC,.0871,21,6216
ETHIOPIA,BORANA,MALBE YABELLO,2012,Aug/Sep,OIC,.0754,16.79999923706055,5129.6001
ETHIOPIA,BORANA,MOYALE,2012,Aug/Sep,OIC,.1105,4.300000190734863,1237.6001
ETHIOPIA,BORANA,GOLBA ARERO,2012,Aug/Sep,OIC,.0858,43.79999923706055,12577.601
ETHIOPIA,BORANA,GOMOLE,2012,Aug/Sep,OIC,.0754,70.5,20826.4
ETHIOPIA,BORANA,BADA ARERO,2012,Aug/Sep,OIC,.0858,82.30000305175781,23816.801
ETHIOPIA,BORANA,GARACHA TULA DHAS,2012,Aug/Sep,OIC,.0936,42.09999847412109,12023.2
ETHIOPIA,BORANA,GOLBO DIRE,2012,Aug/Sep,OIC,.0949,53.59999847412109,15747.2
ETHIOPIA,BORANA,MALBE TELTELE,2012,Aug/Sep,OIC,.0871,80.80000305175781,24080
ETHIOPIA,BORANA,MIRGA ARERO,2012,Aug/Sep,OIC,.0858,5,1512
KENYA,MARSABIT,NORTH HORR,2013,Jan/Feb,APA,.092,83.8,13491.8
KENYA,MARSABIT,MAIKONA,2013,Jan/Feb,APA,.092,47.9,7711.8999
KENYA,MARSABIT,LOIYANGALANI,2013,Jan/Feb,APA,.054,10,1610
KENYA,MARSABIT,LAISAMIS,2013,Jan/Feb,APA,.054,136,21896
KENYA,MARSABIT,CENTRAL MARSABIT,2013,Jan/Feb,APA,.054,115.9,18659.9
ETHIOPIA,BORANA,BADA ARERO,2013,Jan/Feb,OIC,.0858,10,2889
ETHIOPIA,BORANA,GOLBA ARERO,2013,Jan/Feb,OIC,.0858,33.59999847412109,9266.2002
ETHIOPIA,BORANA,GOLBO_ET,2013,Jan/Feb,OIC,.0975,145.1000061035156,46250.75
ETHIOPIA,BORANA,MOYALE,2013,Jan/Feb,OIC,.1105,10,2889
ETHIOPIA,BORANA,GOLBO DIRE,2013,Jan/Feb,OIC,.0949,5.900000095367432,1781.55
ETHIOPIA,BORANA,MIRGA ARERO,2013,Jan/Feb,OIC,.0858,28.5,8276.4502
ETHIOPIA,BORANA,MIYO,2013,Jan/Feb,OIC,.1105,42.59999847412109,11780.7
ETHIOPIA,BORANA,GARA MEGA,2013,Jan/Feb,OIC,.0949,.1000000014901161,37.450001
ETHIOPIA,BORANA,GOMOLE,2013,Jan/Feb,OIC,.0754,67.90000152587891,18473.551
ETHIOPIA,BORANA,QAQALO MOYALE,2013,Jan/Feb,OIC,.1105,1.299999952316284,486.85001
ETHIOPIA,BORANA,GARACHA TULA DHAS,2013,Jan/Feb,OIC,.0936,52,14659
ETHIOPIA,BORANA,GARACHA DIRE,2013,Jan/Feb,OIC,.0949,1.700000047683716,636.65002
ETHIOPIA,BORANA,MALBE YABELLO,2013,Jan/Feb,OIC,.0754,4.599999904632568,1722.7001
ETHIOPIA,BORANA,MALBE TELTELE,2013,Jan/Feb,OIC,.0871,17.79999923706055,4954.1001
ETHIOPIA,BORANA,GUBA TERTALE,2013,Jan/Feb,OIC,.0871,11.19999980926514,3231.3999
ETHIOPIA,BORANA,MALBE DILLO,2013,Jan/Feb,OIC,.0975,30.70000076293945,8822.1504
KENYA,MARSABIT,NORTH HORR,2013,Aug/Sep,APA,.1,53.7,8645.7002
KENYA,MARSABIT,MAIKONA,2013,Aug/Sep,APA,.109,2.5,402.5
KENYA,MARSABIT,LOIYANGALANI,2013,Aug/Sep,APA,.099,1.6,257.60001
KENYA,WAJIR,WAJIR-BOR,2013,Aug/Sep,TIA,.1000000014901161,16.5,2656.5
KENYA,WAJIR,HABASWEIN,2013,Aug/Sep,TIA,.1191626042127609,89.3,14377.3
KENYA,WAJIR,SEBULE,2013,Aug/Sep,TIA,.1058869063854218,4.8,772.79999
KENYA,WAJIR,HADADO,2013,Aug/Sep,TIA,.1098505407571793,80.8,13008.8
KENYA,WAJIR,BUTE,2013,Aug/Sep,TIA,.0985439196228981,51.8,8339.7998
KENYA,WAJIR,CENTRAL WAJIR,2013,Aug/Sep,TIA,.1022321432828903,5.8,933.79999
KENYA,WAJIR,ELDAS,2013,Aug/Sep,TIA,.1323831081390381,3.8,611.79999
KENYA,WAJIR,KOTULO (WAJIR),2013,Aug/Sep,TIA,.0636,71.09999999999999,11447.1
KENYA,WAJIR,GRIFTU,2013,Aug/Sep,TIA,.1033812165260315,7.5,1207.5
KENYA,ISIOLO,OLDONYIRO,2013,Aug/Sep,APA,.1331,371.2,59763.199
KENYA,ISIOLO,GARBA TULLA,2013,Aug/Sep,APA,.05,2,322
KENYA,MARSABIT,CENTRAL MARSABIT,2013,Aug/Sep,APA,.106,76.7,12348.7
KENYA,ISIOLO,MERTI,2013,Aug/Sep,APA,.1383,5.5,885.5
KENYA,ISIOLO,CENTRAL ISIOLO,2013,Aug/Sep,APA,.1429,6.6,1062.6
KENYA,MARSABIT,LAISAMIS,2013,Aug/Sep,APA,.111,11.9,1915.9
ETHIOPIA,BORANA,MIYO,2013,Aug/Sep,OIC,.1105,.1000000014901161,37.450001
ETHIOPIA,BORANA,GOLBO DIRE,2013,Aug/Sep,OIC,.0949,1.700000047683716,529.65002
ETHIOPIA,BORANA,MALBE TELTELE,2013,Aug/Sep,OIC,.0871,30,8025
ETHIOPIA,BORANA,GARACHA TULA DHAS,2013,Aug/Sep,OIC,.0936,31,8399.5
ETHIOPIA,BORANA,MALBE DILLO,2013,Aug/Sep,OIC,.0975,20.29999923706055,5997.3501
ETHIOPIA,BORANA,MIRGA ARERO,2013,Aug/Sep,OIC,.0858,34.40000152587891,10229.2
ETHIOPIA,BORANA,GARACHA DIRE,2013,Aug/Sep,OIC,.0949,5.599999904632568,1883.2001
ETHIOPIA,BORANA,GARA MEGA,2013,Aug/Sep,OIC,.0949,8.5,3589.8501
ETHIOPIA,BORANA,MALBE YABELLO,2013,Aug/Sep,OIC,.0754,.4000000059604645,149.8
ETHIOPIA,BORANA,GOMOLE,2013,Aug/Sep,OIC,.0754,40.59999847412109,11245.7
ETHIOPIA,BORANA,GOLBO_ET,2013,Aug/Sep,OIC,.0975,31.39999961853027,8442.2998
ETHIOPIA,BORANA,BADA ARERO,2013,Aug/Sep,OIC,.0858,15.39999961853027,4162.2998
ETHIOPIA,BORANA,MOYALE,2013,Aug/Sep,OIC,.1105,4.5,1364.25
KENYA,MARSABIT,NORTH HORR,2014,Jan/Feb,APA,.0964,19.9,3203.8999
KENYA,MARSABIT,MAIKONA,2014,Jan/Feb,APA,.0891,6.2,998.20001
KENYA,MARSABIT,LOIYANGALANI,2014,Jan/Feb,APA,.0996,12.1,1948.1
KENYA,WAJIR,KOTULO (WAJIR),2014,Jan/Feb,TIA,.061,54.1,8710.0996
KENYA,WAJIR,HADADO,2014,Jan/Feb,TIA,.0691863819956779,154.9,24938.9
KENYA,WAJIR,GURAR,2014,Jan/Feb,TIA,.0489999987185001,7,1127
KENYA,WAJIR,SEBULE,2014,Jan/Feb,TIA,.060742162168026,274.4,44178.398
KENYA,WAJIR,WAJIR-BOR,2014,Jan/Feb,TIA,.0628071427345276,16,2576
KENYA,WAJIR,HABASWEIN,2014,Jan/Feb,TIA,.0751999989151955,62.70000000000002,10094.7
KENYA,WAJIR,TARBAJ,2014,Jan/Feb,TIA,.0583703704178333,27,4347
KENYA,WAJIR,DIFF,2014,Jan/Feb,TIA,.0579999983310699,1,161
KENYA,WAJIR,GRIFTU,2014,Jan/Feb,TIA,.0631874725222588,60.7,9772.7002
KENYA,WAJIR,CENTRAL WAJIR,2014,Jan/Feb,TIA,.0799999982118607,2.1,338.10001
KENYA,ISIOLO,OLDONYIRO,2014,Jan/Feb,APA,.1093,11,1771
KENYA,ISIOLO,CENTRAL ISIOLO,2014,Jan/Feb,APA,.094,53.8,8661.7998
KENYA,MARSABIT,CENTRAL MARSABIT,2014,Jan/Feb,APA,.0798,.6,96.599998
KENYA,ISIOLO,MERTI,2014,Jan/Feb,APA,.1162,10.1,1626.1
ETHIOPIA,BORANA,MALBE TELTELE,2014,Jan/Feb,OIC,.077,19.29999923706055,5054.1001
ETHIOPIA,BORANA,BADA HIDDI,2014,Jan/Feb,OIC,.098,5,1275
ETHIOPIA,BORANA,GOMOLE,2014,Jan/Feb,OIC,.067,54.79999923706055,14667.6
ETHIOPIA,BORANA,MALBE DILLO,2014,Jan/Feb,OIC,.086,19.79999923706055,5334.6001
ETHIOPIA,BORANA,BADA ARERO,2014,Jan/Feb,OIC,.076,7.5,1963.5
ETHIOPIA,BORANA,GOLBO DIRE,2014,Jan/Feb,OIC,.084,1.200000047683716,428.39999
ETHIOPIA,BORANA,MIRGA ARERO,2014,Jan/Feb,OIC,.076,3.900000095367432,1392.2999
ETHIOPIA,BORANA,GARA MEGA,2014,Jan/Feb,OIC,.084,5,1785
ETHIOPIA,BORANA,MOYALE,2014,Jan/Feb,OIC,.098,39.5,10939.5
ETHIOPIA,BORANA,GOLBO_ET,2014,Jan/Feb,OIC,.086,32,8364
ETHIOPIA,BORANA,DUGDA DAWA,2014,Jan/Feb,OIC,.071,.2000000029802322,71.400002
ETHIOPIA,BORANA,GARACHA DIRE,2014,Jan/Feb,OIC,.084,12,3366
ETHIOPIA,BORANA,MALBE YABELLO,2014,Jan/Feb,OIC,.067,1.299999952316284,464.10001
ETHIOPIA,BORANA,GARACHA TULA DHAS,2014,Jan/Feb,OIC,.083,45.20000076293945,12158.399
ETHIOPIA,BORANA,QAQALO MOYALE,2014,Jan/Feb,OIC,.098,54.29999923706055,15325.5
ETHIOPIA,BORANA,MIYO,2014,Jan/Feb,OIC,.098,43.09999847412109,13346.7
ETHIOPIA,BORANA,GOLBA ARERO,2014,Jan/Feb,OIC,.076,31.89999961853027,8328.2998
KENYA,MARSABIT,NORTH HORR,2014,Aug/Sep,APA,.099,18.6,2994.6001
KENYA,MARSABIT,MAIKONA,2014,Aug/Sep,APA,.081,34.8,5602.7998
KENYA,MARSABIT,TURBI,2014,Aug/Sep,APA,.079,1.4,225.39999
KENYA,MARSABIT,KARGI,2014,Aug/Sep,APA,.077,32.6,5248.6001
KENYA,MARSABIT,LOIYANGALANI,2014,Aug/Sep,APA,.104,8.4,1352.4
KENYA,WAJIR,TARBAJ,2014,Aug/Sep,TIA,.0718089118599892,16.4,2640.3999
KENYA,WAJIR,BUTE,2014,Aug/Sep,TIA,.0584000013768673,2,322
KENYA,ISIOLO,KINNA,2014,Aug/Sep,TIA,.046,7.6,1223.6
KENYA,WAJIR,CENTRAL WAJIR,2014,Aug/Sep,TIA,.0931208804249763,55.7,8967.7002
KENYA,ISIOLO,SERICHO,2014,Aug/Sep,TIA,.052,12.1,1948.1
KENYA,WAJIR,HADADO,2014,Aug/Sep,TIA,.077293336391449,18.3,2946.3
KENYA,ISIOLO,GARBA TULLA,2014,Aug/Sep,TIA,.046,55.9,8999.9004
KENYA,WAJIR,HABASWEIN,2014,Aug/Sep,TIA,.0787333324551582,11.9,1915.9
KENYA,WAJIR,ELDAS,2014,Aug/Sep,TIA,.0784000009298325,4,644
KENYA,WAJIR,WAJIR-BOR,2014,Aug/Sep,TIA,.0835496634244919,23.8,3831.8
KENYA,WAJIR,KOTULO (WAJIR),2014,Aug/Sep,TIA,.073,2,322
KENYA,WAJIR,BUNA,2014,Aug/Sep,TIA,.0719999969005585,6,966
KENYA,ISIOLO,CENTRAL ISIOLO,2014,Aug/Sep,TIA,.045,2,322
KENYA,WAJIR,DIFF,2014,Aug/Sep,TIA,.0764693692326546,47,7567
KENYA,WAJIR,SEBULE,2014,Aug/Sep,TIA,.0607363618910313,60,9660
KENYA,WAJIR,GRIFTU,2014,Aug/Sep,TIA,.0791369676589966,12.5,2012.5
KENYA,MARSABIT,LAISAMIS,2014,Aug/Sep,APA,.078,30.1,4846.1001
KENYA,MARSABIT,CENTRAL MARSABIT,2014,Aug/Sep,APA,.075,24.4,3928.3999
KENYA,ISIOLO,MERTI,2014,Aug/Sep,APA,.099,1.6,257.60001
KENYA,MARSABIT,GADAMOJI,2014,Aug/Sep,APA,.074,2,322
KENYA,ISIOLO,CENTRAL ISIOLO,2014,Aug/Sep,APA,.094,53.5,8613.5
KENYA,ISIOLO,OLDONYIRO,2014,Aug/Sep,APA,.109,125.2,20157.199
ETHIOPIA,BORANA,MALBE TELTELE,2014,Aug/Sep,OIC,.077,38.5,10745.7
ETHIOPIA,BORANA,GAMOJI MELKA SODA,2014,Aug/Sep,OIC,.061099998652935,39.70000076293945,11337.3
ETHIOPIA,BORANA,GOLBA ARERO,2014,Aug/Sep,OIC,.076,39.5,10429.5
ETHIOPIA,BORANA,MALBE YABELLO,2014,Aug/Sep,OIC,.067,10.39999961853027,3202.8
ETHIOPIA,BORANA,GOLBO DIRE,2014,Aug/Sep,OIC,.084,3.299999952316284,974.09998
ETHIOPIA,BORANA,MOYALE,2014,Aug/Sep,OIC,.098,45.79999923706055,13290.6
ETHIOPIA,BORANA,GOMOLE,2014,Aug/Sep,OIC,.067,77.19999694824219,21705.6
ETHIOPIA,BORANA,BADA ARERO,2014,Aug/Sep,OIC,.076,21.89999961853027,5676.2998
ETHIOPIA,BORANA,GARACHA DIRE,2014,Aug/Sep,OIC,.084,17.10000038146973,5288.6997
ETHIOPIA,BORANA,MIRGA ARERO,2014,Aug/Sep,OIC,.076,46.29999923706055,14060.7
ETHIOPIA,BORANA,QAQALO MOYALE,2014,Aug/Sep,OIC,.098,29.60000038146973,8323.2002
ETHIOPIA,BORANA,GARACHA TULA DHAS,2014,Aug/Sep,OIC,.083,78.40000152587891,23664
ETHIOPIA,BORANA,DUGDA DAWA,2014,Aug/Sep,OIC,.071,2.700000047683716,759.89996
