hhid,round,comment,campid,s10q1,s10q1b,s10q2a,s10q2b,s10q3,s10q4,s10q5,s10q6,s10q6b
1002,2,,1,Name removed,,1,,1,6,Yes,,
1002,2,,2,Name removed,,1,,6,still there,Yes,,
1003,1,,1,Name removed,,1,,5,6,No,for coping with drought,
1003,6,0,1,Name removed,,0,5,1,11,No,better pasture than the usual migration route,
1004,1,,1,Name removed,,2,,10,10,No,for coping with drought,
1006,1,,1,Name removed,,1,,10,10,No,for coping with drought,
1006,2,,1,Name removed,,,6,12,still there,Yes,,
1007,6,0,1,Name removed,,0,3,6,11,Yes,,
1009,1,,1,Name removed,,1,,5,7,No,for coping with drought,
1009,1,,2,Name removed,,2,,7,10,No,for coping with drought,
1010,1,,1,Name removed,,1,,4,6,No,for coping with drought,
1010,1,,2,Name removed,,4,,6,10,No,for coping with drought,
1010,3,0,1,Name removed,,2,,2,still there,Yes,,
1010,4,0,1,Name removed,,5,,3,still there,Yes,,
1013,5,0,1,Name removed,,0,5,2,still there,Yes,,
1014,1,,1,Name removed,,0.5,,4,10,No,for coping with drought,
1014,4,0,1,Name removed,,5,,7,still there,Yes,,
1014,6,0,1,Name removed,,0,7,1,still there,Yes,,
1020,1,,1,Name removed,,1,,5,7,No,for coping with drought,
1020,1,,2,Name removed,,1,,7,8,No,for coping with drought,
1021,1,,1,Name removed,,1,,10,1,No,for coping with drought,
1021,1,,2,Name removed,,2,,1,4,No,for coping with drought,
1021,1,,3,Name removed,,1,,4,5,No,for coping with drought,
1021,1,,4,Name removed,,1,,5,10,No,for coping with drought,
1022,1,,1,Name removed,,2,,10,10,No,for coping with drought,
1022,2,,1,Name removed,,1,,8,still there,Yes,,
1022,4,1,1,Name removed,,3,,7,still there,No,better pasture than the usual migration route,
1023,1,,1,Name removed,,2,,9,10,No,for coping with drought,
1023,3,0,1,Name removed,,3,,9,10,No,for coping with drought,
1024,1,,1,Name removed,,2,,8,10,No,for coping with drought,
1024,5,0,1,Name removed,,0,10,6,9,Yes,,
1024,6,0,1,Name removed,,0,12,1,11,No,better pasture than the usual migration route,
1025,1,,1,Name removed,,2,,6,10,No,for coping with drought,
1025,2,,1,Name removed,,1,,12,still there,Yes,,
1026,1,,1,Name removed,,7,,7,10,No,for coping with drought,
1026,4,0,1,Name removed,,0,6,5,still there,Yes,,
1027,1,,1,Name removed,,1,,10,4,No,for coping with drought,
1029,1,,1,Name removed,,3,,8,10,No,for coping with drought,
1029,1,,2,Name removed,,3,,6,10,No,for coping with drought,
1029,2,,1,Name removed,,1,,1,still there,Yes,,
1029,3,0,1,Name removed,,3,,10,still there,Yes,,
1029,4,0,1,Name removed,,3,,1,still there,Yes,,
1031,1,,1,Name removed,,7,,4,10,No,for coping with drought,
1031,2,,1,Name removed,,5,,12,6,Yes,,
1031,2,,2,Name removed,,6,,6,still there,Yes,,
1031,3,0,1,Name removed,,3,,9,still there,Yes,,
1031,6,0,1,Name removed,,0,10,9,11,Yes,,
1032,1,,1,Name removed,,2,,10,10,No,for coping with drought,
1032,1,,2,Name removed,,3,,12,1,No,for coping with drought,
1032,1,,3,Name removed,,2,,1,10,No,for coping with drought,
1032,2,,1,Name removed,,1,,1,still there,Yes,,
1032,3,0,1,Name removed,,5,,1,3,Yes,,
1032,3,0,2,Name removed,,5,,4,7,Yes,,
1032,3,0,3,Name removed,,6,,8,still there,No,for coping with drought,
1032,4,0,1,Name removed,,2,,3,3,Yes,,
1032,5,0,1,Name removed,,0,9,3,still there,Yes,,
1033,1,,1,Name removed,,2,,10,6,No,for coping with drought,
1033,1,,2,Name removed,,2,,6,10,No,for coping with drought,
1033,2,,1,Name removed,,1,,1,still there,Yes,,
1033,4,0,1,Name removed,,1,,1,still there,Yes,,
1034,1,,1,Name removed,,8,,6,10,No,for coping with drought,
1034,2,,1,Name removed,,7,,12,6,Yes,,
1034,2,,2,Name removed,,1,,6,still there,Yes,,
1034,3,0,1,Name removed,,4,,11,still there,No,for coping with drought,
1035,1,,1,Name removed,,1,,8,10,No,for coping with drought,
1035,2,,1,Name removed,,1,,12,still there,Yes,,
1035,3,0,1,Name removed,,0,6,1,still there,Yes,,
1035,4,0,1,Name removed,,0,12,1,still there,Yes,,
1036,1,,1,Name removed,,7,,5,10,No,for coping with drought,
1036,2,,1,Name removed,,7,,9,2,Yes,,
1036,2,,2,Name removed,,1,,2,still there,Yes,,
1036,3,0,1,Name removed,,4,,8,still there,No,conflict between your community and the other communities in the usual migration route,
1036,4,0,1,Name removed,,0,3,1,still there,Yes,,
1037,1,,1,Name removed,,7,,5,10,No,for coping with drought,
1037,2,,1,Name removed,,1,,1,still there,Yes,,
1037,3,0,1,Name removed,,3,,7,11,Yes,,
1039,6,0,1,Name removed,,0,3,2,12,Yes,,
1042,5,0,1,Name removed,,0,3,4,still there,Yes,,
1042,6,0,1,Name removed,,0,4,10,still there,Yes,,
1043,1,,1,Name removed,,3,,5,10,No,for coping with drought,
1043,2,,1,Name removed,,2,,11,still there,Yes,,
1043,3,0,1,Name removed,,5,,1,8,Yes,,
1043,3,0,2,Name removed,,10,,9,still there,No,for coping with drought,
1043,4,0,1,Name removed,,1,,1,still there,Yes,,
1043,5,0,1,Name removed,,1,,2,still there,Yes,,
1045,1,,1,Name removed,,2,,5,10,No,for coping with drought,
1045,2,,1,Name removed,,1,,12,6,Yes,,
1045,2,,2,Name removed,,1,,6,still there,Yes,,
1047,6,0,1,Name removed,,3,,5,still there,No,better pasture than the usual migration route,
2001,6,0,1,Name removed,,0,2,6,9,Yes,,
2002,1,,1,Name removed,,0.2,,10,2,No,for coping with drought,
2002,1,,2,Name removed,,0.125,,2,6,No,for coping with drought,
2002,2,,1,Name removed,,,3,12,1,No,better pasture than the usual migration route,
2002,2,,2,Name removed,,,1.5,2,3,No,better pasture than the usual migration route,
2002,2,,3,Name removed,,,5,4,5,Yes,,
2002,2,,4,Name removed,,,1,6,9,No,better pasture than the usual migration route,
2002,4,0,1,Name removed,,0,10,10,still there,Yes,,
2003,1,,1,Name removed,,0.125,,10,2,No,for coping with drought,
2003,1,,2,Name removed,,0.16,,2,9,No,for coping with drought,
2003,2,,1,Name removed,,,2,11,1,No,better pasture than the usual migration route,
2003,2,,2,Name removed,,,6,2,3,Yes,,
2003,2,,3,Name removed,,,4,4,5,No,better pasture than the usual migration route,
2005,1,,1,Name removed,,0.16,,10,2,No,for coping with drought,
2005,1,,2,Name removed,,0.125,,2,9,No,for coping with drought,
2005,2,,1,Name removed,,,3,1,3,Yes,,
2005,2,,2,Name removed,,1,,4,5,No,better pasture than the usual migration route,
2005,2,,3,Name removed,,,3,6,9,Yes,,
2005,3,0,1,Name removed,,3,,2,3,No,livestock disease in the usual migration route,
2005,3,0,2,Name removed,,4,,9,still there,No,for coping with drought,
2005,4,0,1,Name removed,,0,3,2,still there,Yes,,
2005,5,0,1,Name removed,,0,4,7,still there,Yes,,
2005,6,0,1,Name removed,,0,4,2,11,Yes,,
2007,1,,1,Name removed,,0.16,,10,2,No,for coping with drought,
2007,1,,2,Name removed,,0.125,,2,9,No,for coping with drought,
2008,1,,1,Name removed,,3,,10,2,No,for coping with drought,
