hhid,round,comment,itemtype,itemtype_os,s11q11
1002,1,,Other (specify),Narrowly defined missing value,18000
1002,1,,Water for animal consumption (that you pay for),,500
1002,1,,Animal fodder (purchased fodder for donkey etc),,6000
1002,1,,Other supplementary animal feeding,,200
1002,1,,Vaccinations and other veterinarian service,,0
1002,1,,Transportation/other transaction costs for animals,,0
1002,2,,Other (specify),,0
1002,2,,Water for animal consumption (that you pay for),,800
1002,2,,Animal fodder (purchased fodder for donkey etc),,0
1002,2,,Other supplementary animal feeding,,0
1002,2,,Vaccinations and other veterinarian service,,600
1002,2,,Transportation/other transaction costs for animals,,0
1002,3,0,Other (specify),,0
1002,3,0,Water for animal consumption (that you pay for),,2000
1002,3,0,Animal fodder (purchased fodder for donkey etc),,3000
1002,3,0,Other supplementary animal feeding,,0
1002,3,0,Vaccinations and other veterinarian service,,500
1002,3,0,Transportation/other transaction costs for animals,,300
1002,4,0,Other (specify),,0
1002,4,0,Water for animal consumption (that you pay for),,0
1002,4,0,Animal fodder (purchased fodder for donkey etc),,0
1002,4,0,Other supplementary animal feeding,,0
1002,4,0,Vaccinations and other veterinarian service,,300
1002,4,0,Transportation/other transaction costs for animals,,0
1002,4,0,Wages for herders,,0
1002,5,0,Other (specify),,0
1002,5,0,Water for animal consumption (that you pay for),,1000
1002,5,0,Animal fodder (purchased fodder for donkey etc),,0
1002,5,0,Other supplementary animal feeding,,1000
1002,5,0,Vaccinations and other veterinarian service,,1200
1002,5,0,Transportation/other transaction costs for animals,,0
1002,5,0,Wages for herders,,0
1002,6,0,Other (specify),,0
1002,6,0,Water for animal consumption (that you pay for),,0
1002,6,0,Animal fodder (purchased fodder for donkey etc),,0
1002,6,0,Other supplementary animal feeding,,2400
1002,6,0,Vaccinations and other veterinarian service,,2400
1002,6,0,Transportation/other transaction costs for animals,,0
1002,6,1,Wages for herders,,36000
1002,7,,Water for animal consumption (that you pay for),,9500
1002,7,,Animal fodder (purchased fodder for donkey etc),,7500
1002,7,,Other supplementary animal feeding,,0
1002,7,,Vaccinations and other veterinarian service,,0
1002,7,,Vaccinations and other veterinarian service,,1500
1002,7,,Transportation/other transaction costs for animals,,0
1002,7,,Wages for herders,,22000
1003,1,,Other (specify),Narrowly defined missing value,12000
1003,1,,Water for animal consumption (that you pay for),,3600
1003,1,,Animal fodder (purchased fodder for donkey etc),,14400
1003,1,,Other supplementary animal feeding,,150
1003,1,,Vaccinations and other veterinarian service,,0
1003,1,,Transportation/other transaction costs for animals,,0
1003,2,,Other (specify),,0
1003,2,,Water for animal consumption (that you pay for),,0
1003,2,,Animal fodder (purchased fodder for donkey etc),,0
1003,2,,Other supplementary animal feeding,,0
1003,2,,Vaccinations and other veterinarian service,,400
1003,2,,Transportation/other transaction costs for animals,,0
1003,3,0,Other (specify),ANIMAL(SALT),45
1003,3,0,Water for animal consumption (that you pay for),,37500
1003,3,0,Animal fodder (purchased fodder for donkey etc),,12350
1003,3,0,Other supplementary animal feeding,,0
1003,3,0,Vaccinations and other veterinarian service,,600
1003,3,0,Transportation/other transaction costs for animals,,0
1003,4,0,Other (specify),,0
1003,4,0,Water for animal consumption (that you pay for),,0
1003,4,0,Animal fodder (purchased fodder for donkey etc),,0
1003,4,0,Other supplementary animal feeding,,400
1003,4,0,Vaccinations and other veterinarian service,,700
1003,4,0,Transportation/other transaction costs for animals,,0
1003,4,0,Wages for herders,,12000
1003,5,0,Other (specify),,0
1003,5,0,Water for animal consumption (that you pay for),,0
1003,5,0,Animal fodder (purchased fodder for donkey etc),,0
1003,5,0,Other supplementary animal feeding,,500
1003,5,0,Vaccinations and other veterinarian service,,0
1003,5,0,Transportation/other transaction costs for animals,,0
1003,5,0,Wages for herders,,0
1003,6,0,Other (specify),,0
1003,6,0,Water for animal consumption (that you pay for),,2000
1003,6,0,Animal fodder (purchased fodder for donkey etc),,2500
1003,6,0,Other supplementary animal feeding,,1200
1003,6,0,Vaccinations and other veterinarian service,,1500
1003,6,0,Transportation/other transaction costs for animals,,0
1003,6,0,Wages for herders,,2000
1003,7,,Water for animal consumption (that you pay for),,18000
1003,7,,Animal fodder (purchased fodder for donkey etc),,0
1003,7,,Other supplementary animal feeding,,6000
1003,7,,Vaccinations and other veterinarian service,,0
1003,7,,Vaccinations and other veterinarian service,,12000
1003,7,,Transportation/other transaction costs for animals,,0
1003,7,,Wages for herders,,0
1004,1,,Water for animal consumption (that you pay for),,0
1004,1,,Animal fodder (purchased fodder for donkey etc),,0
1004,1,,Other supplementary animal feeding,,0
1004,1,,Vaccinations and other veterinarian service,,0
1004,1,,Transportation/other transaction costs for animals,,0
1004,1,,Wages for herders,,24000
1004,2,,Other (specify),,0
1004,2,,Water for animal consumption (that you pay for),,0
1004,2,,Animal fodder (purchased fodder for donkey etc),,0
1004,2,,Other supplementary animal feeding,,0
1004,2,,Vaccinations and other veterinarian service,,0
1004,2,,Transportation/other transaction costs for animals,,0
1004,3,0,Other (specify),ANIMAL SALT,25
1004,3,0,Water for animal consumption (that you pay for),,0
1004,3,0,Animal fodder (purchased fodder for donkey etc),,1200
1004,3,0,Other supplementary animal feeding,,0
1004,3,0,Vaccinations and other veterinarian service,,200
1004,3,0,Transportation/other transaction costs for animals,,0
1004,4,0,Other (specify),,0
1004,4,0,Water for animal consumption (that you pay for),,420
1004,4,0,Animal fodder (purchased fodder for donkey etc),,0
1004,4,0,Other supplementary animal feeding,,200
1004,4,0,Vaccinations and other veterinarian service,,200
1004,4,0,Transportation/other transaction costs for animals,,0
1004,4,0,Wages for herders,,0
1004,5,0,Other (specify),,0
1004,5,0,Water for animal consumption (that you pay for),,0
1004,5,0,Animal fodder (purchased fodder for donkey etc),,0
1004,5,0,Other supplementary animal feeding,,250
1004,5,0,Vaccinations and other veterinarian service,,500
1004,5,0,Transportation/other transaction costs for animals,,0
1004,5,0,Wages for herders,,0
1004,6,0,Other (specify),,0
1004,6,0,Water for animal consumption (that you pay for),,0
1004,6,0,Animal fodder (purchased fodder for donkey etc),,0
1004,6,0,Other supplementary animal feeding,,2000
1004,6,0,Vaccinations and other veterinarian service,,1000
1004,6,0,Transportation/other transaction costs for animals,,0
1004,6,0,Wages for herders,,0
1004,7,,Water for animal consumption (that you pay for),,0
1004,7,,Animal fodder (purchased fodder for donkey etc),,0
1004,7,,Other supplementary animal feeding,,0
1004,7,,Vaccinations and other veterinarian service,,5500
1004,7,,Vaccinations and other veterinarian service,,0
1004,7,,Transportation/other transaction costs for animals,,0
1004,7,,Wages for herders,,0
1005,1,,Other (specify),,0
1005,1,,Water for animal consumption (that you pay for),,1000
1005,1,,Animal fodder (purchased fodder for donkey etc),,3600
1005,1,,Other supplementary animal feeding,,0
1005,1,,Vaccinations and other veterinarian service,,0
1005,1,,Transportation/other transaction costs for animals,,0
1005,2,,Other (specify),,0
1005,2,,Water for animal consumption (that you pay for),,0
1005,2,,Animal fodder (purchased fodder for donkey etc),,0
1005,2,,Other supplementary animal feeding,,0
1005,2,,Vaccinations and other veterinarian service,,0
1005,2,,Transportation/other transaction costs for animals,,0
1005,3,0,Other (specify),,0
1005,3,0,Water for animal consumption (that you pay for),,0
1005,3,0,Animal fodder (purchased fodder for donkey etc),,0
1005,3,0,Other supplementary animal feeding,,0
1005,3,0,Vaccinations and other veterinarian service,,1450
1005,3,0,Transportation/other transaction costs for animals,,0
1005,4,0,Other (specify),,0
1005,4,0,Water for animal consumption (that you pay for),,0
1005,4,0,Animal fodder (purchased fodder for donkey etc),,0
1005,4,0,Other supplementary animal feeding,,0
1005,4,0,Vaccinations and other veterinarian service,,800
1005,4,0,Transportation/other transaction costs for animals,,0
1005,4,0,Wages for herders,,0
1005,5,0,Other (specify),,0
1005,5,0,Water for animal consumption (that you pay for),,300
1005,5,0,Animal fodder (purchased fodder for donkey etc),,0
1005,5,0,Other supplementary animal feeding,,600
1005,5,0,Vaccinations and other veterinarian service,,400
1005,5,0,Transportation/other transaction costs for animals,,0
1005,5,0,Wages for herders,,0
1005,6,0,Other (specify),,0
1005,6,1,Water for animal consumption (that you pay for),,0
1005,6,0,Animal fodder (purchased fodder for donkey etc),,0
1005,6,0,Other supplementary animal feeding,,0
1005,6,0,Vaccinations and other veterinarian service,,0
1005,6,0,Transportation/other transaction costs for animals,,0
1005,6,0,Wages for herders,,0
1005,7,,Water for animal consumption (that you pay for),,5760
1005,7,,Animal fodder (purchased fodder for donkey etc),,0
1005,7,,Other supplementary animal feeding,,0
1005,7,,Vaccinations and other veterinarian service,,0
1005,7,,Vaccinations and other veterinarian service,,0
1005,7,,Transportation/other transaction costs for animals,,0
1005,7,,Wages for herders,,0
1006,1,,Other (specify),animal herder,18000
1006,1,,Water for animal consumption (that you pay for),,15000
1006,1,,Animal fodder (purchased fodder for donkey etc),,18000
1006,1,,Other supplementary animal feeding,,300
1006,1,,Vaccinations and other veterinarian service,,1500
1006,1,,Transportation/other transaction costs for animals,,0
1006,2,,Other (specify),,0
1006,2,,Water for animal consumption (that you pay for),,2400
1006,2,,Animal fodder (purchased fodder for donkey etc),,0
1006,2,,Other supplementary animal feeding,,0
1006,2,,Vaccinations and other veterinarian service,,500
1006,2,,Transportation/other transaction costs for animals,,0
1006,3,0,Other (specify),,0
1006,3,0,Water for animal consumption (that you pay for),,0
1006,3,0,Animal fodder (purchased fodder for donkey etc),,2000
1006,3,0,Other supplementary animal feeding,,0
1006,3,0,Vaccinations and other veterinarian service,,0
1006,3,0,Transportation/other transaction costs for animals,,0
1006,4,0,Other (specify),,0
1006,4,0,Water for animal consumption (that you pay for),,0
1006,4,0,Animal fodder (purchased fodder for donkey etc),,0
1006,4,0,Other supplementary animal feeding,,0
1006,4,0,Vaccinations and other veterinarian service,,0
1006,4,0,Transportation/other transaction costs for animals,,0
1006,4,0,Wages for herders,,0
1006,5,1,Other (specify),food,12000
1006,5,1,Water for animal consumption (that you pay for),,40000
1006,5,1,Animal fodder (purchased fodder for donkey etc),,30000
1006,5,0,Other supplementary animal feeding,,4000
1006,5,0,Vaccinations and other veterinarian service,,4000
1006,5,0,Transportation/other transaction costs for animals,,0
1006,5,1,Wages for herders,,36000
