hhid,round,comment,animaltype,s13q1,s13q2
1002,1,,Donkey/Ass/mule,2,2
1002,1,,poultry,0,0
1002,2,,Cat,0,0
1002,2,,Donkey/Ass/mule,2,2
1002,2,,poultry,0,0
1002,2,,Dog,0,0
1002,3,0,Donkey/Ass/mule,0,0
1002,3,0,Cat,0,0
1002,3,0,poultry,0,0
1002,3,0,Dog,0,0
1002,4,0,Cat,1,1
1002,4,0,poultry,13,13
1002,4,0,Dog,0,0
1002,4,0,Donkey/Ass/mule,2,2
1002,5,0,Cat,2,2
1002,5,0,Dog,0,0
1002,5,0,poultry,6,6
1002,5,0,Donkey/Ass/mule,2,4
1002,6,0,poultry,5,5
1002,6,0,Dog,2,2
1002,6,0,Cat,1,1
1002,6,0,Donkey/Ass/mule,2,2
1003,1,,Donkey/Ass/mule,1,1
1003,1,,poultry,4,4
1003,2,,Cat,1,1
1003,2,,Dog,0,0
1003,2,,poultry,5,5
1003,2,,Donkey/Ass/mule,1,1
1003,3,0,Cat,1,1
1003,3,0,Donkey/Ass/mule,1,1
1003,3,0,poultry,9,9
1003,3,0,Dog,1,1
1003,4,0,Cat,0,0
1003,4,0,Dog,0,0
1003,4,0,poultry,13,13
1003,4,0,Donkey/Ass/mule,0,0
1003,5,0,Dog,1,2
1003,5,0,Donkey/Ass/mule,1,2
1003,5,0,Cat,2,3
1003,5,0,poultry,10,12
1003,6,0,Dog,1,1
1003,6,0,Cat,1,1
1003,6,0,Donkey/Ass/mule,1,1
1003,6,0,poultry,0,0
1004,1,,poultry,0,0
1004,1,,Donkey/Ass/mule,0,0
1004,2,,poultry,0,0
1004,2,,Dog,0,0
1004,2,,Donkey/Ass/mule,0,0
1004,2,,Cat,0,0
1004,3,0,Cat,1,1
1004,3,0,poultry,4,4
1004,3,0,Dog,1,1
1004,3,0,Donkey/Ass/mule,0,0
1004,4,0,Donkey/Ass/mule,0,0
1004,4,0,Dog,1,1
1004,4,0,poultry,18,18
1004,4,0,Cat,0,0
1004,5,0,Donkey/Ass/mule,0,0
1004,5,0,Dog,1,1
1004,5,0,Cat,0,0
1004,5,0,poultry,3,3
1004,6,0,Dog,0,0
1004,6,0,Donkey/Ass/mule,0,0
1004,6,0,poultry,5,5
1004,6,0,Cat,0,0
1005,1,,Donkey/Ass/mule,0,0
1005,1,,poultry,6,6
1005,2,,Dog,0,0
1005,2,,Cat,1,1
1005,2,,poultry,8,8
1005,2,,Donkey/Ass/mule,0,0
1005,3,0,poultry,10,0
1005,3,0,Cat,0,0
1005,3,0,Donkey/Ass/mule,0,0
1005,3,0,Dog,0,0
1005,4,0,Dog,0,0
1005,4,0,poultry,25,25
1005,4,0,Cat,0,0
1005,4,0,Donkey/Ass/mule,1,1
1005,5,0,Cat,1,1
1005,5,0,Donkey/Ass/mule,1,1
1005,5,0,poultry,10,10
1005,5,0,Dog,0,0
1005,6,0,Dog,0,0
1005,6,0,poultry,15,15
1005,6,0,Donkey/Ass/mule,1,1
1005,6,0,Cat,1,1
1006,1,,poultry,0,0
1006,1,,Donkey/Ass/mule,0,0
1006,2,,poultry,0,0
1006,2,,Dog,0,0
1006,2,,Cat,0,0
1006,2,,Donkey/Ass/mule,0,0
1006,3,0,Cat,1,1
1006,3,0,Dog,0,0
1006,3,0,poultry,0,0
1006,3,0,Donkey/Ass/mule,0,0
1006,4,0,poultry,0,0
1006,4,0,Dog,0,0
1006,4,0,Cat,1,1
1006,4,0,Donkey/Ass/mule,0,0
1006,5,0,Cat,1,1
1006,5,0,Dog,0,0
1006,5,0,poultry,0,0
1006,5,0,Donkey/Ass/mule,0,0
1006,6,0,Donkey/Ass/mule,0,0
1006,6,0,Cat,2,2
1006,6,0,Dog,0,0
1006,6,0,poultry,0,0
1007,1,,Donkey/Ass/mule,2,2
1007,1,,poultry,7,7
1007,2,,Dog,1,1
1007,2,,poultry,0,0
1007,2,,Cat,0,0
1007,2,,Donkey/Ass/mule,2,2
1007,3,0,poultry,5,5
1007,3,0,Donkey/Ass/mule,1,1
1007,3,0,Dog,0,0
1007,3,0,Cat,1,1
1007,4,0,Dog,0,0
1007,4,0,Donkey/Ass/mule,1,1
1007,4,0,poultry,7,7
1007,4,0,Cat,1,1
1007,5,0,Donkey/Ass/mule,1,1
1007,5,0,poultry,7,7
1007,5,0,Cat,0,0
1007,5,0,Dog,0,0
1007,6,0,Donkey/Ass/mule,1,1
1007,6,0,poultry,3,3
1007,6,0,Dog,0,0
1007,6,0,Cat,0,0
1008,1,,Donkey/Ass/mule,3,3
1008,1,,poultry,5,5
1008,2,,Cat,0,0
1008,2,,Dog,0,0
1008,2,,poultry,5,5
1008,2,,Donkey/Ass/mule,3,3
1008,3,0,Dog,2,2
1008,3,0,Cat,1,1
1008,3,0,Donkey/Ass/mule,3,3
1008,3,0,poultry,10,10
1008,4,0,Dog,3,3
1008,4,0,Donkey/Ass/mule,3,3
1008,4,0,Cat,3,3
1008,4,0,poultry,10,10
1008,5,0,Donkey/Ass/mule,3,3
1008,5,0,Cat,1,1
1008,5,0,poultry,7,7
1008,5,0,Dog,1,1
1008,6,0,Dog,2,2
1008,6,0,Donkey/Ass/mule,2,2
1008,6,0,Cat,0,0
1008,6,0,poultry,6,6
1009,1,,poultry,0,0
1009,1,,Donkey/Ass/mule,4,4
1009,2,,Dog,0,0
1009,2,,Donkey/Ass/mule,4,4
1009,2,,Cat,1,1
1009,2,,poultry,0,0
1009,3,0,Cat,0,0
1009,3,0,Dog,0,0
1009,3,0,poultry,0,0
1009,3,0,Donkey/Ass/mule,2,2
1009,4,0,Dog,0,0
1009,4,0,Cat,0,0
1009,4,0,poultry,0,0
1009,4,0,Donkey/Ass/mule,2,2
1009,5,0,poultry,0,0
1009,5,0,Donkey/Ass/mule,2,2
1009,5,0,Cat,0,0
1009,5,0,Dog,1,1
1009,6,0,Cat,0,0
1009,6,0,Donkey/Ass/mule,1,1
1009,6,0,poultry,3,3
1009,6,0,Dog,0,0
1010,1,,poultry,0,0
1010,1,,Donkey/Ass/mule,0,0
1010,2,,Cat,0,0
1010,2,,poultry,0,0
1010,2,,Donkey/Ass/mule,0,0
1010,2,,Dog,0,0
1010,3,0,Donkey/Ass/mule,0,0
1010,3,0,Dog,0,0
1010,3,0,Cat,0,0
1010,3,0,poultry,0,0
1010,4,0,Dog,0,0
1010,4,0,Donkey/Ass/mule,0,0
1010,4,0,poultry,0,0
1010,4,0,Cat,0,0
1010,5,0,Cat,0,0
1010,5,0,poultry,0,0
1010,5,0,Donkey/Ass/mule,0,0
1010,5,0,Dog,0,0
1010,6,0,poultry,0,0
1010,6,0,Cat,0,0
1010,6,0,Dog,0,0
1010,6,0,Donkey/Ass/mule,0,0
1011,1,,poultry,0,0
1011,1,,Donkey/Ass/mule,0,0
1011,2,,Donkey/Ass/mule,0,0
1011,2,,Cat,0,0
1011,2,,Dog,0,0
1011,2,,poultry,0,0
1011,3,0,Donkey/Ass/mule,0,0
1011,3,0,Cat,1,1
1011,3,0,poultry,0,0
1011,3,0,Dog,0,0
1011,4,0,Dog,0,0
1011,4,0,Cat,1,1
1011,4,0,Donkey/Ass/mule,0,0
1011,4,0,poultry,0,0
1011,5,1,Cat,1,1
1011,5,1,poultry,2,2
1011,5,0,Donkey/Ass/mule,0,0
1011,5,0,Dog,0,0
1011,6,0,Donkey/Ass/mule,0,0
1011,6,0,Cat,1,1
1011,6,0,poultry,0,0
1011,6,0,Dog,2,2
1012,1,,poultry,0,0
1012,1,,Donkey/Ass/mule,0,0
1012,2,,Donkey/Ass/mule,0,0
1012,2,,poultry,0,0
1012,2,,Dog,0,0
1012,2,,Cat,0,0
1012,3,0,Cat,0,0
1012,3,0,Dog,0,0
1012,3,0,poultry,0,0
1012,3,0,Donkey/Ass/mule,0,0
1012,4,0,Cat,1,1
1012,4,0,Donkey/Ass/mule,0,0
1012,4,0,Dog,0,0
1012,4,0,poultry,0,0
1012,5,0,poultry,0,0
1012,5,0,Donkey/Ass/mule,0,0
1012,5,0,Cat,1,1
1012,5,0,Dog,0,0
1012,6,0,poultry,0,0
1012,6,0,Cat,0,0
1012,6,0,Donkey/Ass/mule,0,0
1012,6,0,Dog,0,0
1013,1,,poultry,0,0
1013,1,,Donkey/Ass/mule,0,0
1013,2,,Cat,0,0
1013,2,,Donkey/Ass/mule,0,0
1013,2,,poultry,9,9
1013,2,,Dog,0,0
1013,3,0,Cat,0,0
1013,3,0,poultry,10,10
1013,3,0,Dog,0,0
1013,3,0,Donkey/Ass/mule,0,0
1013,4,0,Cat,1,1
1013,4,0,Donkey/Ass/mule,0,0
1013,4,0,poultry,20,20
1013,4,0,Dog,0,0
1013,5,0,Donkey/Ass/mule,0,0
1013,5,0,Dog,0,0
1013,5,1,Cat,1,1
1013,5,1,poultry,7,7
1013,6,0,Donkey/Ass/mule,0,0
1013,6,0,poultry,8,8
1013,6,0,Dog,0,0
1013,6,0,Cat,1,1
1014,1,,Donkey/Ass/mule,0,0
1014,1,,poultry,0,0
1014,2,,Dog,0,0
1014,2,,Cat,1,1
1014,2,,Donkey/Ass/mule,0,0
1014,2,,poultry,6,6
1014,3,0,Dog,0,0
1014,3,0,Cat,0,0
1014,3,0,Donkey/Ass/mule,0,0
1014,3,0,poultry,11,11
