hhid,round,comment,s13q3,s13q4,s13q5a,s13q5b,s13q5c,s13q5d,s13q6a,s13q6b,s13q6c,s13q6d,s13q7a,s13q7b,s13q7c,s13q7d,s13q8a,s13q8b,s13q8c,s13q8d
1002,1,,yes,,.b,.b,8,Acre,.b,.b,4,Acre,,,4,Acre,,,4,Acre
1002,2,,yes,,0,,5,Acre,0,,5,Acre,,,,,,,,
1002,3,0,yes,,0,,5,Hectare,0,,5,Hectare,,,,,,,,
1002,4,0,yes,,0,,8,Acre,0,,4,Acre,,,,,,,,
1002,5,0,yes,,0,,4,Acre,0,,3,Acre,,,,,,,,
1002,6,0,yes,,0,,8,Acre,0,,4,Acre,,,,,,,,
1003,1,,No,No,,,,,,,,,,,,,,,,
1003,2,,yes,,0,,1,Acre,0,,1,Acre,,,,,,,,
1003,3,0,yes,,0,,0,,0,,2,Acre,,,,,,,,
1003,4,0,yes,,0,,6,Acre,0,,6,Acre,,,,,,,,
1003,5,0,yes,,0,,3,Acre,0,,3,Acre,,,,,,,,
1003,6,0,yes,,0,,2,Hectare,0,,2,Hectare,,,,,,,,
1004,1,,yes,,.b,.b,7,Acre,.b,.b,7,Acre,,,7,Acre,,,7,Acre
1004,2,,yes,,0,,4,Acre,0,,3,Acre,,,,,,,,
1004,3,0,yes,,0,,6,Acre,0,,6,Acre,,,,,,,,
1004,4,0,yes,,0,,11,Acre,0,,4,Acre,,,,,,,,
1004,5,0,yes,,0,,1,Hectare,0,,1,Boi,,,,,,,,
1004,6,0,yes,,0,,6,Acre,0,,4,Acre,,,,,,,,
1005,1,,No,yes,,,,,,,,,,,1,Acre,,,1,Acre
1005,2,,yes,,0,,0,Square meter,0,,2,Boi,,,,,,,,
1005,3,0,yes,,0,,0,,0,,1,Acre,,,,,,,,
1005,4,0,yes,,0,,1,Acre,0,,1,Acre,,,,,,,,
1005,5,0,yes,,0,,0,,0,,1,Acre,,,,,,,,
1005,6,0,yes,,0,,0,,0,,.5,Acre,,,,,,,,
1006,1,,yes,,.b,.b,20,Acre,.b,.b,6,Acre,,,6,Acre,,,6,Acre
1006,2,,yes,,,,8,Acre,,,4,Acre,,,,,,,,
1006,3,0,yes,,0,,10,Acre,10,Acre,0,,,,,,,,,
1006,4,0,yes,,0,,9,Acre,0,,1,Acre,,,,,,,,
1006,5,0,yes,,0,,20,Acre,0,,2,Acre,,,,,,,,
1006,6,0,yes,,0,,30,Hectare,0,,2,Hectare,,,,,,,,
1007,1,,yes,,.b,.b,40,Acre,.b,.b,21,Acre,,,9,Acre,,,9,Acre
1007,2,,yes,,0,,28,Acre,0,,8,Acre,,,,,,,,
1007,3,0,yes,,0,,4,Acre,0,,4,Acre,,,,,,,,
1007,4,0,yes,,0,,104,Acre,0,,8,Acre,,,,,,,,
1007,5,0,yes,,0,,54,Acre,0,,3,Acre,,,,,,,,
1007,6,0,yes,,0,,6,Acre,0,,6,Acre,,,,,,,,
1008,1,,yes,,.b,.b,8,Acre,.b,.b,6,Acre,,,6,Acre,,,6,Acre
1008,2,,yes,,0,,8,Acre,0,,5,Acre,,,,,,,,
1008,3,0,yes,,0,,14,Acre,0,,7,Acre,,,,,,,,
1008,4,0,yes,,0,,5,Acre,0,,4.5,Acre,,,,,,,,
1008,5,0,yes,,0,,14,Acre,0,,5,Acre,,,,,,,,
1008,6,0,yes,,0,,6,Hectare,0,,6,Hectare,,,,,,,,
