hhid,round,comment,s14q1,s14q2,s14q2b,s14q2a,s14q4a,s14q4b,s14q3,s14q3_a,s14q3_b,s14q5,s14q6,s14q6b,s14q7,s14q8,s14q9,s14q10,s14q11,s14q51,s14q52,s14q52b,s14q24,s14q25,s14q28,s14q53,s14q54,s14q83,s14q55,s14q56,s14q56b,s14q57,s14q57b,s14q51_a,s14q51_b,s14q51_c,s14q51_d,s14q51_e,s14q51_f,s14q73,s14q71,s14q72,s14q18a,s14q18a2,s14q18b,s14q19a,s14q19a2,s14q19b,s14q20a,s14q20a2,s14q20b,s14q21a,s14q21a2,s14q21b,s14q5_r1,s14q6_r1,s14q6b_r1,s14q7_r1,s14q8_r1,s14q9_r1,s14q9b_r1,s14q10_r1,s14q10b_r1,s14q11_r1,s14q12,s14q13,s14q13b,s14q14,s14q15,s14q16,s14q16b,s14q17,s14q58_r23,s14q58a_r23,s14q58b_r23,s14q58,s14q58a,s14q58b,s14q59,s14q59b,s14q59c,s14q5_r7,s14q8_r7,debt_3,debt_4,debt_5,debt_6,debt_5_support_yn,debt_5_support_who,debt_7,debt_8,debt_9,debt_10
1002,1,,Yes,Bank,,,,,40000,,,,,,,,,,,Yes,,,3,5000,1500,,,,,Private (family/friend etc.),,Food,,,,,,,,,,,Bank,,Very easy (always get it),Bank,,Very easy (always get it),MFI/FSA,,O.K. (3 out of 6 chances),Bank,,Quite difficult (2 out of 6 chances),2,Prefer not to owe money,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,2,,Yes,Bank,,Equity,,,900,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1002,3,0,Yes,Bank,,EQUITY BANK,,,6500,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Trader,,Quite difficult (2 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),Informal saving scheme (e.g. merry go round),,Quite difficult (2 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1002,4,0,Yes,Bank,,equuitybank marsabit,,,20000,,,No,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,exactly Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,No one would lend,,,,,,,,,,,,,
1002,5,0,Yes,Bank,,EQUITY BANK,,,40000,,,No,,,,,,,,Yes,,,,,,2,3500,0,3500,Private (family/friend etc.),,Education costs,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
1002,6,0,Yes,Bank,,Equity Bank,,,50000,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
1002,7,,Yes,Bank,,,,,.a,No,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4000,Yes,3000,No,,,,No,,No,
1003,1,,Yes,At home,,,Other (specify),EASY TRANSFER,10000,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Trader,,Quite easy (4 out of 6 chances),Bank,,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),2,Prefer not to owe money,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1003,3,0,Yes,At home,,,Cash saving is not large enough,,3000,,,,,,,,,,,Yes,,,,,,1,3000,4,3400,Other (specify),NO.MORE LOAN,Other (specify),NO MORE LOAN,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
