hhid,round,comment,LSID,LSID_other,s14q74,s14q70_r6,s14q70b_r6,s14q74a,s14q66_r6,s14q66a_r6,s14q66b_r6,s14q75,s14q76,s14q77,s14q78,s14q78b
1002,3,0,Bank,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1002,3,0,MFI/FSA,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1002,3,0,SACCO/Cooperatives,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1002,3,0,Money lenders,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1002,3,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1002,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Interest rate and fee are too high,
1002,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1002,4,0,Bank,,No,,,,,,,,,,We don't need any loan,
1002,4,0,MFI/FSA,,Yes,,,,,,,2,1,"Yes, BUT fear of not being able to repay especially if unexpected shocks occur",,
1002,4,0,SACCO/Cooperatives,,No,,,,,,,,,,Not qualified to apply from this source/no collateral,
1002,4,0,Money lenders,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1002,4,0,Family/friends,,No,,,,,,,,,,Interest rate and fee are too high,
1002,4,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,"Transaction costs are too high (e.g., credit institutions are too far, too much paperwork, etc.)",
1002,4,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Interest rate and fee are too high,
1003,3,0,Bank,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1003,3,0,MFI/FSA,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1003,3,0,SACCO/Cooperatives,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1003,3,0,Money lenders,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1003,3,0,Family/friends,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1003,3,0,CARE group saving<br> and lending (GSL),,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1003,3,0,"Other Informal saving <br>schemes (e.g., merry <br>go rounds)",,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1004,3,0,Bank,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
1004,3,0,MFI/FSA,,No,,,,,,,,,,Fear of not being able to repay especially if unexpected shocks occur,
