hhid,round,comment,Loan_ID,s14q60a,s14q60,s14q60b,s14q61,s14q61b,s14q61c,s14q79,s14q81,s14q81b,s14q82,s14q62,s14q62_r2,s14q66,s14q65c,s14q66a,s14q66_r23,s14q64,s14q65a,s14q65b,s14q67,s14q68a,s14q68b,s14q69,s14q70,s14q70b,s14q92,s14q92b,s14q93,s14q94,s14q80,s14q91
1015,5,0,1,,MFI/FSA,,,,,,,,,,,5000,500,Yes,,Yes,8,2013,,,,700,Education costs,,"Family obligations(school fees, sickness)",,Yes,"Family obligations(school fees, sickness)",No,Yes
1024,5,0,1,,MFI/FSA,,,,,,,,,,,20000,2750,Yes,,Yes,11,2013,,,,0,Production/ investment/ operating costs,,,,,,Yes,No
1038,5,0,1,,Bank,,,,,,,,,,,100000,10000,Yes,,No,,,,,,45000,Education costs,,,,No,,No,No
1038,5,0,2,,SACCO/ Cooperatives,,,,,,,,,,,50000,5000,Yes,,No,,,,,,23000,Education costs,,,,No,,No,No
2002,5,0,1,,MFI/FSA,,,,,,,,,,,90000,10150,Yes,,Yes,10,2014,,,,90000,To buy livestock,,,,No,,Yes,No
2018,5,0,1,,Money lender,,,,,,,,,,,30000,0,Yes,,Yes,11,2013,,,,3000,To buy livestock,,,,No,,Yes,No
2028,5,0,1,,Other Informal saving scheme (e.g. merry go round),,,,,,,,,,,5000,500,Yes,,Yes,9,2013,,,,0,Education costs,,"Family obligations(school fees, sickness)",,,,No,Yes
2030,5,0,1,,MFI/FSA,,,,,,,,,,,20000,4000,Yes,,Yes,11,2013,,,,0,Production/ investment/ operating costs,,,,,,No,No
2032,5,0,1,,CARE savings and lending group (GSL),,,,,,,,,,,1000,100,Yes,,Yes,2,2013,,,,0,Social obligations,,,,,,No,No
2040,5,0,1,,CARE savings and lending group (GSL),,,,,,,,,,,3000,300,Yes,,Yes,8,2013,,,,0,Education costs,,,,,,Yes,No
2040,5,0,2,,CARE savings and lending group (GSL),,,,,,,,,,,2000,200,Yes,,Yes,7,2013,,,,0,Education costs,,,,,,Yes,No
2047,5,0,1,,CARE savings and lending group (GSL),,,,,,,,,,,2000,200,Yes,,Yes,10,2013,,,,2000,Education costs,,,,No,,Yes,No
2051,5,0,1,,MFI/FSA,,,,,,,,,,,10000,2000,Yes,,Yes,1,2012,,,,0,Education costs,,,,,,Yes,No
2051,5,0,2,,CARE savings and lending group (GSL),,,,,,,,,,,9000,900,Yes,,Yes,9,2013,,,,3000,Education costs,,,,No,,Yes,No
2052,5,0,1,,MFI/FSA,,,,,,,,,,,1000,100,Yes,,Yes,1,2013,,,,0,Food,,,,,,Yes,No
2053,5,0,1,,CARE savings and lending group (GSL),,,,,,,,,,,6000,600,Yes,,Yes,9,2013,,,,0,Food,,,,,,Yes,No
2065,5,0,1,,Bank,,,,,,,,,,,20000,2735,Yes,,Yes,8,2013,,,,1000,To buy livestock,,,,No,,Yes,No
2066,5,0,1,,MFI/FSA,,,,,,,,,,,30000,7500,Yes,,Yes,7,2013,,,,0,Social obligations,,"Family obligations(school fees, sickness)",,,,No,Yes
2066,5,0,2,,CARE savings and lending group (GSL),,,,,,,,,,,3000,300,Yes,,Yes,3,2013,,,,3000,Food,,"Family obligations(school fees, sickness)",,Yes,Paying another loan,No,Yes
2068,5,0,1,,CARE savings and lending group (GSL),,,,,,,,,,,10000,1000,Yes,,Yes,11,2013,,,,1000,Production/ investment/ operating costs,,,,No,,Yes,No
2073,5,0,1,,CARE savings and lending group (GSL),,,,,,,,,,,1000,100,Yes,,Yes,11,2013,,,,1000,Food,,,,No,,Yes,No
3013,5,0,1,,MFI/FSA,,,,,,,,,,,10000,1000,Yes,,Yes,1,2014,,,,3000,Education costs,,,,No,,Yes,No
4110,5,0,1,,MFI/FSA,,,,,,,,,,,30000,3000,Yes,,Yes,9,2014,,,,30000,Production/ investment/ operating costs,,,,No,,Yes,No
6004,5,0,1,,Bank,,,,,,,,,,,500000,90000,Yes,,Yes,3,2012,,,,300000,Production/ investment/ operating costs,,,,No,,No,No
6009,5,0,1,,Other Informal saving scheme (e.g. merry go round),,,,,,,,,,,30000,1500,Yes,,Yes,5,2014,,,,30000,Education costs,,,,No,,Yes,No
6096,5,0,1,,Other Informal saving scheme (e.g. merry go round),,,,,,,,,,,20000,1000,Yes,,Yes,2,2014,,,,20000,Education costs,,,,No,,Yes,No
8002,5,0,1,,SACCO/ Cooperatives,,,,,,,,,,,30000,5000,Yes,,Yes,.a,2013,,,,.a,Social obligations,,,,No,,No,No
8002,5,0,2,,SACCO/ Cooperatives,,,,,,,,,,,300000,70000,Yes,,No,,,,,,.a,Social obligations,,,,No,,No,No
8003,5,0,1,,SACCO/ Cooperatives,,,,,,,,,,,10000,1000,Yes,,Yes,7,2013,,,,7000,Social obligations,,"Family obligations(school fees, sickness)",,No,,No,Yes
8015,5,0,1,,SACCO/ Cooperatives,,,,,,,,,,,10000,2000,Yes,,Yes,5,2012,,,,0,To buy livestock,,,,,,Yes,No
8015,5,0,2,,Money lender,,,,,,,,,,,10000,100,Yes,,No,,,,,,0,Health costs,,,,,,Yes,No
8035,5,1,1,,CARE savings and lending group (GSL),,,,,,,,,,,10000,1000,Yes,,Yes,12,2014,,,,10000,Health costs,,"Family obligations(school fees, sickness)",,No,,Yes,Yes
8050,5,0,1,,MFI/FSA,,,,,,,,,,,8500,850,Yes,,Yes,11,2013,,,,3350,Health costs,,,,No,,Yes,No
8052,5,0,1,,Private (family/friend etc.),,,,,,,,,,,10000,2000,Yes,,No,,,,,,3000,Education costs,,Livestock disease,,Yes,Drought,No,Yes
9005,5,0,1,,Trader,,,,,,,,,,,10000,1000,Yes,,No,,,,,,7000,Food,,,,No,,Yes,No
9008,5,0,1,,CARE savings and lending group (GSL),,,,,,,,,,,3000,300,Yes,,Yes,11,2013,,,,2000,Food,,,,No,,Yes,No
9013,5,0,1,,Private (family/friend etc.),,,,,,,,,,,1000,1000,Yes,,Yes,8,2013,,,,0,Production/ investment/ operating costs,,,,,,Yes,No
9037,5,0,1,,CARE savings and lending group (GSL),,,,,,,,,,,15000,1000,Yes,,Yes,11,2013,,,,10000,Education costs,,,,No,,Yes,No
9074,5,0,1,,Private (family/friend etc.),,,,,,,,,,,4000,800,Yes,,Yes,11,2013,,,,0,Education costs,,,,,,Yes,No
9093,5,0,1,,Private (family/friend etc.),,,,,,,,,,,1000,200,Yes,,No,,,,,,0,Social obligations,,,,,,No,No
9094,5,0,1,,Other Informal saving scheme (e.g. merry go round),,,,,,,,,,,1000,100,Yes,,Yes,9,2013,,,,0,Food,,,,,,Yes,No
9098,5,0,1,,Bank,,,,,,,,,,,150000,10000,Yes,,Yes,5,2014,,,,5000,Social obligations,,,,No,,No,No
11049,5,0,1,,CARE savings and lending group (GSL),,,,,,,,,,,6000,600,Yes,,No,,,,,,3000,Food,,Drought,,No,,Yes,Yes
11054,5,0,1,,Bank,,,,,,,,,,,50000,15000,Yes,,Yes,2,2014,,,,25000,Production/ investment/ operating costs,,,,No,,No,No
11055,5,0,1,,Bank,,,,,,,,,,,80000,8000,Yes,,Yes,1,2012,,,,0,Health costs,,,,,,Yes,No
11057,5,0,1,,SACCO/ Cooperatives,,,,,,,,,,,30000,6000,Yes,,Yes,11,2013,,,,3000,Production/ investment/ operating costs,,,,No,,Yes,No
11057,5,0,2,,CARE savings and lending group (GSL),,,,,,,,,,,7000,700,Yes,,No,,,,,,5000,Education costs,,Other (specify),BEING ABSENT FROM HOME,No,,Yes,Yes
12024,5,0,1,,CARE savings and lending group (GSL),,,,,,,,,,,500,100,Yes,,Yes,4,2013,,,,0,Food,,,,,,Yes,No
13002,5,0,1,,CARE savings and lending group (GSL),,,,,,,,,,,4000,400,Yes,,No,,,,,,3000,Health costs,,,,No,,Yes,No
14088,5,0,1,,SACCO/ Cooperatives,,,,,,,,,,,200000,25000,Yes,,Yes,2,2013,,,,164000,Production/ investment/ operating costs,,,,No,,Yes,No
14112,5,1,1,,Bank,,,,,,,,,,,150000,10,Yes,,.b,.b,.b,,,,0,.b,,,,,,Yes,No
15023,5,0,1,,CARE savings and lending group (GSL),,,,,,,,,,,5500,550,Yes,,Yes,12,2013,,,,2500,Education costs,,,,No,,Yes,No
15039,5,0,1,,CARE savings and lending group (GSL),,,,,,,,,,,10000,1000,Yes,,Yes,10,2013,,,,0,Education costs,,,,,,Yes,No
16027,5,0,1,,Bank,,,,,,,,,,,50000,5000,Yes,,Yes,12,2013,,,,20000,Health costs,,,,No,,No,No
16031,5,0,1,,SACCO/ Cooperatives,,,,,,,,,,,100000,10000,Yes,,Yes,3,2014,,,,.a,Health costs,,,,No,,No,No
16036,5,0,1,,Bank,,,,,,,,,,,80000,8000,Yes,,Yes,4,2013,,,,0,Education costs,,,,,,Yes,No
1002,4,0,1,,MFI/FSA,,,,,,,,,,,18000,6450,Yes,,No,,,,,,8300,Other (specify),not applicable,,,No,,Yes,No
1010,4,0,1,,Bank,,,,,,,,,,,40000,10000,Yes,,Yes,4,2013,,,,12000,Education costs,,,,No,,Yes,No
1010,4,0,2,,SACCO/ Cooperatives,,,,,,,,,,,300000,30000,Yes,,Yes,7,2014,,,,150000,Education costs,,,,No,,Yes,No
1022,4,0,1,,Money lender,,,,,,,,,,,10000,1000,Yes,,Yes,11,2012,,,,10000,Production/ investment/ operating costs,,,,No,,No,No
1029,4,1,1,,SACCO/ Cooperatives,,,,,,,,,,,300000,50000,Yes,,Yes,.a,2015,,,,200000,Production/ investment/ operating costs,,Other (specify),STOP FROM WORK,No,,Yes,Yes
