hhid,round,comment,Goods_ID,goodtype,Goods_ID_r6,s14q61,s14q61b,goodsource,goodsource_b,s14q63a,s14q63b,s14q81_r6,s14q79,s14q81,s14q81b,s14q82,s14q82b
1002,5,0,1,Food,,,,shopkeeper,,1500,1500,,Yes,Every month,,10,
1005,4,0,1,Food,,,,shopkeeper,,500,500,,No,,,,9
1005,5,0,1,Food,,,,shopkeeper,,2000,2000,,Yes,Every month,,10,
1005,6,0,,,Livestock and agricultural inputs,No,,,,,,,,,.,,
1005,6,0,,,Food,Yes,,Private (family/friends etc.),,1000,1000,Every month,,,.,,
1005,6,0,,,Livestock,No,,,,,,,,,.,,
1005,6,0,,,Other specify,No,,,,,,,,,.,,
1005,6,0,,,Household durables and supplies,No,,,,,,,,,.,,
1007,5,0,1,Food,,,,shopkeeper,,2000,2000,,Yes,Every month,,10,
1007,6,0,,,Food,Yes,,Private (family/friends etc.),,2000,2000,Every month,,,.,,
1007,6,0,,,Livestock and agricultural inputs,No,,,,,,,,,.,,
1007,6,0,,,Household durables and supplies,No,,,,,,,,,.,,
1007,6,0,,,Livestock,No,,,,,,,,,.,,
1007,6,0,,,Other specify,No,,,,,,,,,.,,
1008,4,0,1,Food,,,,shopkeeper,,12000,12000,,No,,,,10
1009,4,0,1,Food,,,,shopkeeper,,36000,36000,,No,,,,10
1010,5,0,1,Food,,,,shopkeeper,,3000,3000,,Yes,Every month,,1,
1012,5,0,1,Food,,,,shopkeeper,,700,700,,Yes,Every month,,1,
1014,4,0,1,Food,,,,shopkeeper,,6000,6000,,Yes,Every two months,,6,
1014,5,0,1,Food,,,,shopkeeper,,4000,4000,,Yes,Every month,,10,
1014,6,0,,,Household durables and supplies,No,,,,,,,,,.,,
1014,6,0,,,Other specify,No,,,,,,,,,.,,
1014,6,0,,,Food,Yes,,Private (family/friends etc.),,3000,3000,Every month,,,.,,
1014,6,0,,,Livestock,No,,,,,,,,,.,,
1014,6,0,,,Livestock and agricultural inputs,No,,,,,,,,,.,,
1015,5,0,1,Food,,,,shopkeeper,,300,300,,Yes,Other (specify),EVERY TIME WE NEED CREDIT,10,
1015,6,0,,,Livestock and agricultural inputs,No,,,,,,,,,.,,
1015,6,0,,,Food,Yes,,Private (family/friends etc.),,2000,2000,Every month,,,.,,
1015,6,0,,,Livestock,No,,,,,,,,,.,,
1015,6,0,,,Other specify,No,,,,,,,,,.,,
1015,6,0,,,Household durables and supplies,No,,,,,,,,,.,,
1017,4,0,1,Food,,,,shopkeeper,,24000,24000,,No,,,,10
1021,4,0,1,Food,,,,shopkeeper,,3000,3000,,Yes,Every month,,10,
1022,4,0,1,Food,,,,shopkeeper,,5500,5500,,Yes,Every month,,10,
1023,4,0,1,Food,,,,shopkeeper,,1500,1500,,No,,,,3
1023,6,0,,,Food,No,,,,,,,,,.,,
1023,6,0,,,Livestock,No,,,,,,,,,.,,
1023,6,0,,,Livestock and agricultural inputs,No,,,,,,,,,.,,
1023,6,0,,,Household durables and supplies,Yes,,Trader,,300,300,Other (specify),,,.,,
1023,6,0,,,Other specify,No,,,,,,,,,.,,
1029,4,0,1,Food,,,,shopkeeper,,5000,5000,,Yes,Every month,,10,
1029,5,0,1,Food,,,,shopkeeper,,8000,8000,,Yes,Every month,,1,
1034,5,0,1,Food,,,,shopkeeper,,1000,1000,,Yes,Every month,,10,
1036,5,0,1,Food,,,,shopkeeper,,5000,5000,,Yes,Every month,,10,
1039,4,0,1,Food,,,,shopkeeper,,5000,5000,,Yes,Every month,,10,
1039,5,0,1,Food,,,,shopkeeper,,2000,2000,,No,,,,9
1039,6,0,,,Household durables and supplies,No,,,,,,,,,.,,
1039,6,0,,,Livestock and agricultural inputs,No,,,,,,,,,.,,
1039,6,0,,,Other specify,No,,,,,,,,,.,,
1039,6,0,,,Food,Yes,,Private (family/friends etc.),,800,800,Every month,,,.,,
1039,6,0,,,Livestock,No,,,,,,,,,.,,
1045,4,0,1,Food,,,,shopkeeper,,500,500,,No,,,,8
1045,5,0,1,Food,,,,shopkeeper,,1000,1000,,Yes,Every month,,1,
1047,4,0,1,Food,,,,shopkeeper,,1000,1000,,Yes,Every month,,10,
2001,5,0,1,Food,,,,shopkeeper,,2000,2000,,Yes,Every month,,10,
2002,4,0,1,Food,,,,shopkeeper,,2000,2000,,Yes,Every month,,10,
2004,4,0,1,Food,,,,shopkeeper,,1000,1000,,Yes,Every month,,10,
2004,5,0,1,Food,,,,shopkeeper,,3000,3000,,No,,,,9
2004,6,0,,,Livestock and agricultural inputs,No,,,,,,,,,.,,
2004,6,0,,,Livestock,No,,,,,,,,,.,,
2004,6,0,,,Other specify,No,,,,,,,,,.,,
2004,6,0,,,Household durables and supplies,No,,,,,,,,,.,,
2004,6,0,,,Food,Yes,,Trader,,3000,3000,Every month,,,.,,
2005,4,0,1,Food,,,,shopkeeper,,24000,24000,,Yes,Every month,,10,
2008,6,0,,,Household durables and supplies,No,,,,,,,,,.,,
2008,6,0,,,Livestock,No,,,,,,,,,.,,
2008,6,0,,,Other specify,No,,,,,,,,,.,,
2008,6,0,,,Livestock and agricultural inputs,No,,,,,,,,,.,,
2008,6,0,,,Food,Yes,,Private (family/friends etc.),,3500,3500,Every month,,,.,,
2010,4,0,1,Food,,,,shopkeeper,,6000,6000,,Yes,Every month,,4,
2010,5,0,1,Food,,,,shopkeeper,,1500,1500,,Yes,Every month,,10,
2013,6,0,,,Food,Yes,,Private (family/friends etc.),,200,200,Every month,,,.,,
2013,6,0,,,Household durables and supplies,No,,,,,,,,,.,,
2013,6,0,,,Livestock,No,,,,,,,,,.,,
2013,6,0,,,Livestock and agricultural inputs,No,,,,,,,,,.,,
2013,6,0,,,Other specify,No,,,,,,,,,.,,
2015,4,0,1,Food,,,,shopkeeper,,2500,2500,,Yes,Every month,,10,
2015,5,0,1,Food,,,,shopkeeper,,500,500,,No,,,,9
2015,6,0,,,Household durables and supplies,No,,,,,,,,,.,,
2015,6,0,,,Livestock and agricultural inputs,No,,,,,,,,,.,,
2015,6,0,,,Livestock,No,,,,,,,,,.,,
2015,6,0,,,Other specify,No,,,,,,,,,.,,
2015,6,0,,,Food,Yes,,Private (family/friends etc.),,2500,2500,Every month,,,.,,
2016,5,0,1,Food,,,,shopkeeper,,3000,3000,,Yes,Every two months,,12,
2016,6,0,,,Livestock,No,,,,,,,,,.,,
2016,6,0,,,Livestock and agricultural inputs,No,,,,,,,,,.,,
2016,6,0,,,Food,Yes,,Trader,,10,10000,Every two months,,,.,,
2016,6,0,,,Other specify,No,,,,,,,,,.,,
2016,6,0,,,Household durables and supplies,No,,,,,,,,,.,,
2017,6,0,,,Household durables and supplies,No,,,,,,,,,.,,
2017,6,0,,,Livestock,No,,,,,,,,,.,,
2017,6,0,,,Livestock and agricultural inputs,No,,,,,,,,,.,,
2017,6,0,,,Other specify,No,,,,,,,,,.,,
2017,6,0,,,Food,Yes,,Private (family/friends etc.),,5000,5000,Every month,,,.,,
2018,5,0,1,Food,,,,shopkeeper,,24000,24000,,Yes,Every month,,10,
2019,4,0,1,Food,,,,shopkeeper,,7200,7200,,Yes,Other (specify),When need arises,10,
2019,6,0,,,Other specify,No,,,,,,,,,.,,
