hhid,round,comment,s16q1,s16q2,s16q3,s16q4
1002,1,,3,Tail,150,
1003,1,,2,Tail,0,
1004,1,,4,Tail,190,
1005,1,,5,Tail,200,
1006,1,,3,Tail,150,
1007,1,,5,Tail,200,
1008,1,,3,Tail,150,
1009,1,,1,Head,45,
1010,1,,2,Tail,120,
1011,1,,5,Tail,200,
1012,1,,3,Tail,150,
1013,1,,2,Tail,120,
1014,1,,3,Tail,150,
1015,1,,4,Tail,190,
1016,1,,5,Tail,200,
1017,1,,2,Tail,120,
1018,1,,2,Head,40,
1019,1,,3,Tail,150,
1020,1,,2,Tail,120,
1021,1,,4,Tail,190,
1022,1,,3,Tail,150,
1023,1,,5,Tail,200,
1024,1,,2,Tail,120,
1025,1,,3,Tail,150,
1026,1,,2,Tail,120,
1027,1,,2,Tail,120,
1029,1,,5,Tail,200,
1031,1,,3,Head,30,
1032,1,,5,Tail,200,
1033,1,,2,Tail,120,
1034,1,,0,Tail,50,
1035,1,,5,Head,0,
1036,1,,2,Head,40,
1037,1,,5,Head,200,
1038,1,,5,Head,0,
1039,1,,5,Tail,200,
1042,4,0,3,Tail,150,Yes
1043,1,,2,Tail,120,
1044,6,0,5,Tail,200,Yes
1045,1,,5,Tail,200,
1047,1,,2,Tail,120,
2001,1,,3,Tail,150,
2002,1,,4,Tail,190,
2003,1,,5,Tail,0,
2004,1,,2,Tail,120,
2005,1,,5,Tail,200,
2006,1,,5,Tail,200,
2007,1,,5,Head,0,
2008,1,,4,Head,10,
2009,1,,5,Head,0,
2010,1,,2,Head,40,
2011,1,,2,Tail,120,
2012,1,,4,Tail,190,
2013,1,,5,Tail,200,
2014,1,,5,Tail,200,
2015,1,,2,Tail,120,
2016,1,,2,Tail,120,
2017,1,,2,Tail,120,
2017,6,0,2,Tail,120,Yes
2018,1,,5,Head,0,
2019,1,,3,Head,30,
2020,1,,1,Tail,95,
2021,1,,2,Tail,120,
2022,1,,5,Tail,200,
2023,1,,2,Head,40,
2024,1,,5,Head,0,
2025,1,,2,Head,40,
2026,1,,3,Tail,150,
2027,1,,4,Head,10,
2028,1,,5,Tail,200,
2029,1,,5,Head,0,
2030,1,,0,Head,50,
2031,1,,5,Tail,200,
2032,1,,5,Tail,200,
2033,1,,4,Tail,190,
2034,1,,2,Head,40,
2035,1,,5,Tail,200,
2036,1,,5,Tail,200,
2037,1,,3,Tail,150,
2038,1,,5,Tail,200,
2039,1,,2,Head,40,
2040,1,,2,Tail,120,
2041,1,,2,Tail,120,
2042,1,,5,Tail,200,
2043,1,,3,Tail,150,
2044,1,,5,Tail,200,
2045,1,,2,Tail,120,
2046,1,,0,Head,50,
2047,1,,3,Head,30,
2048,1,,5,Tail,200,
2049,1,,2,Head,40,
2050,1,,3,Tail,150,
2051,1,,5,Head,0,
2052,1,,4,Head,10,
2053,1,,2,Tail,120,
2053,4,0,5,Head,0,.b
2054,1,,5,Head,0,
2055,1,,1,Tail,95,
2056,1,,3,Head,30,
2057,1,,5,Tail,200,
2058,1,,3,Head,30,
2059,1,,3,Tail,150,
2060,1,,4,Tail,190,
2061,1,,0,Tail,200,
2062,1,,3,Tail,150,
2063,1,,3,Tail,150,
2064,1,,2,Tail,120,
2065,1,,0,Tail,50,
2066,1,,2,Head,40,
2067,1,,3,Tail,150,
2068,1,,3,Head,30,
2069,1,,2,Head,40,
2070,1,,5,Tail,200,
2071,1,,3,Tail,150,
2072,1,,3,Tail,150,
2073,1,,3,Tail,150,
2074,1,,5,Tail,200,
2075,1,,2,Tail,120,
2076,1,,2,Tail,120,
2077,1,,2,Tail,120,
2078,1,,3,Tail,150,
2079,1,,1,Head,45,
2080,1,,2,Tail,120,
2081,1,,2,Head,40,
2082,1,,3,Tail,0,
2083,1,,2,Tail,120,
2084,1,,1,Tail,95,
2085,1,,5,Tail,200,
2086,1,,3,Tail,150,
2087,1,,0,Head,50,
2088,1,,3,Head,30,
2089,1,,1,Tail,95,
2090,1,,3,Tail,150,
2091,1,,2,Tail,120,
2092,1,,2,Tail,120,
2093,1,,5,Tail,200,
2094,1,,2,Tail,120,
2095,1,,2,Tail,120,
2095,5,0,3,Tail,150,Yes
2096,1,,2,Tail,120,
2097,1,,3,Tail,150,
2098,3,0,3,Tail,150,Yes
2099,2,,4,Tail,150,
2100,2,,5,Head,0,
2102,2,,3,Tail,150,
2103,2,,5,Tail,200,
2106,3,0,5,Head,0,No
2110,3,0,0,Tail,50,Yes
2111,3,0,5,Tail,200,Yes
2112,3,0,5,Tail,200,Yes
2114,3,0,5,Tail,200,Yes
2126,4,0,5,Head,0,.b
3001,1,,2,Tail,120,
3002,1,,3,Tail,150,
3003,1,,3,Head,30,
3005,1,,3,Tail,150,
3006,1,,3,Head,30,
3007,1,,2,Tail,120,
3008,1,,2,Head,40,
3009,1,,3,Tail,150,
3010,1,,4,Head,10,
3011,1,,2,Tail,120,
3012,1,,3,Tail,150,
3013,1,,4,Tail,190,
3015,1,,1,Tail,95,
3016,1,,2,Tail,120,
3018,1,,2,Tail,120,
3019,1,,1,Tail,95,
3020,1,,1,Tail,95,
3021,1,,2,Tail,120,
3022,1,,2,Tail,120,
3023,1,,2,Tail,120,
3024,1,,3,Tail,150,
3026,1,,2,Tail,120,
