hhid,round,comment,s17q1,s17q7,s17q2,s17q11,s17q12,s17q13,s17q8,s17q9,s17q3,s17q4,s17q5,s17q6,s17q10
1002,5,0,somewhat valuable,No,No,,,Yes,1,No,,,,,
1003,5,0,very valuable,Yes,No,,,No,,,,,Yes,somewhat more willing,was not informed early enough
1004,5,0,somewhat valuable,No,No,,,No,,,,,No,,
1005,5,0,I don't know,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
1006,5,0,somewhat valuable,No,No,,,No,,,,,No,,
1007,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1008,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1009,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1010,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
1011,5,0,very valuable,No,No,,,No,,,,,No,,
1012,5,0,somewhat valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
1013,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1014,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
1015,5,0,somewhat valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1016,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1017,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1018,5,0,I don't know,Yes,Yes,very helpful,much more willing,,,,,,,,
1019,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1021,5,0,very valuable,Yes,Yes,somewhat helpful,somewhat more willing,,,,,,,,
1022,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1023,5,0,somewhat valuable,Yes,No,,,No,,,,,Yes,much more willing,had more important issues to attend
1024,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1025,5,0,very valuable,Yes,Yes,very helpful,somewhat more willing,,,,,,,,
1026,5,0,somewhat valuable,Yes,No,,,Yes,1,Yes,very helpful,much more willing,,,
1027,5,0,very valuable,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
1029,5,0,I don't know,Yes,Yes,somewhat helpful,much more willing,,,,,,,,
1031,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1032,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1033,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
1034,5,0,no value,No,No,,,No,,,,,No,,
1035,5,0,very valuable,Yes,Yes,not helpful,somewhat more willing,,,,,,,,
1036,5,0,very valuable,No,No,,,No,,,,,No,,
1037,5,0,very valuable,Yes,Yes,very helpful,much more willing,,,,,,,,
