hhid,round,conflict_yn,conflict_why_1,conflict_why_2,conflict_why_3,conflict_why_4,conflict_why_5,conflict_why_6,conflict_why_7,conflict_why_97,conflict_why_other,conflict_impact_yn,conflict_impact_how_1,conflict_impact_how_2,conflict_impact_how_3,conflict_impact_how_4,conflict_impact_how_5,conflict_impact_how_6,conflict_impact_how_7,conflict_impact_how_8,conflict_impact_how_9,conflict_impact_how_10,conflict_impact_how_97,conflict_impact_how_other,conflict_community_impact_1,conflict_community_impact_2,conflict_community_impact_3,conflict_community_impact_4,conflict_community_impact_5,conflict_community_impact_6,conflict_community_impact_97,conflict_community_impact_other
1002,7,Yes,No,No,No,No,No,No,No,Yes,Influence by politicians,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Disturbed peace of mind,Yes,Yes,No,No,No,No,No,
1003,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,7,Yes,Yes,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
1006,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Fear,Yes,Yes,No,No,No,No,No,
1010,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,No,No,
1014,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
1015,7,Yes,Yes,No,No,No,Yes,No,No,No,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,
1016,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
1018,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,Yes,No,No,
1019,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,Yes,No,No,
1021,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,7,Yes,No,No,No,No,No,No,No,Yes,Politics,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
