hhid,round,s21q1,s21q2,s21q3,s21q4
1002,7,Yes,No,No,No
1003,7,Yes,No,No,No
1004,7,Yes,No,No,No
1005,7,Yes,No,No,No
1006,7,Yes,No,No,No
1007,7,Yes,No,No,No
1008,7,Yes,No,No,No
1009,7,Yes,No,No,No
1010,7,Yes,No,No,No
1011,7,Yes,No,No,No
1012,7,Yes,No,No,No
1013,7,Yes,No,No,No
1014,7,Yes,No,No,No
1015,7,Yes,No,No,No
1016,7,Yes,No,No,No
1017,7,Yes,No,No,No
1018,7,Yes,No,No,No
1019,7,Yes,No,No,No
1020,7,Yes,No,No,No
1021,7,Yes,No,No,No
1022,7,Yes,Yes,No,No
1023,7,Yes,No,Yes,Yes
1024,7,Yes,No,No,No
1025,7,Yes,No,No,No
1026,7,Yes,No,No,I don't know
1029,7,Yes,No,No,No
1031,7,Yes,No,No,No
1032,7,Yes,No,No,No
1033,7,Yes,No,No,No
1034,7,Yes,No,No,No
1035,7,Yes,No,No,No
1036,7,Yes,No,No,No
1037,7,Yes,No,No,No
1038,7,Yes,No,No,No
1039,7,Yes,No,No,No
1042,7,Yes,No,No,No
1045,7,Yes,No,No,No
1047,7,Yes,No,No,No
2001,7,Yes,No,No,No
2002,7,Yes,No,No,No
2003,7,Yes,No,No,No
2004,7,Yes,No,No,No
2005,7,Yes,No,No,No
2007,7,Yes,No,No,No
2009,7,Yes,No,No,No
2010,7,Yes,No,No,No
2011,7,Yes,No,No,No
2012,7,Yes,No,No,No
2013,7,,,,
2015,7,Yes,No,No,No
2016,7,Yes,Yes,Yes,Yes
2017,7,Yes,No,No,No
2018,7,Yes,No,No,Yes
2019,7,Yes,Yes,No,No
2020,7,Yes,Yes,Yes,Yes
2021,7,Yes,No,No,No
2022,7,Yes,No,No,No
2023,7,Yes,No,No,No
2024,7,Yes,No,No,No
2025,7,Yes,No,No,No
2026,7,Yes,No,No,Yes
2027,7,Yes,No,No,No
2028,7,Yes,No,No,No
2029,7,Yes,No,No,Yes
2030,7,Yes,No,No,No
2031,7,Yes,No,No,No
2032,7,Yes,No,No,No
2033,7,Yes,No,No,No
2034,7,Yes,No,No,No
2035,7,Yes,No,No,No
2036,7,Yes,No,No,No
2037,7,Yes,Yes,No,No
2038,7,Yes,Yes,No,No
2041,7,,,,
2043,7,Yes,No,No,No
2044,7,No,Yes,Yes,No
2045,7,Yes,No,No,No
2046,7,Yes,No,No,No
2047,7,Yes,Yes,No,No
2048,7,Yes,Yes,No,No
2049,7,Yes,Yes,Yes,Yes
2050,7,Yes,No,No,No
2051,7,Yes,No,No,No
2052,7,Yes,Yes,No,No
2053,7,Yes,No,Yes,Yes
2054,7,Yes,Yes,No,No
2056,7,Yes,No,No,No
2057,7,Yes,No,No,Yes
2060,7,I don't know,No,No,No
2065,7,Yes,No,No,No
2067,7,Yes,No,No,No
2068,7,Yes,No,No,No
2069,7,Yes,No,No,Yes
2072,7,Yes,No,No,No
2073,7,Yes,No,No,No
2074,7,Yes,No,No,No
2075,7,Yes,No,No,No
2076,7,Yes,No,No,No
2077,7,Yes,No,No,No
2078,7,Yes,No,No,Yes
2079,7,Yes,Yes,No,Yes
2080,7,Yes,No,No,No
2081,7,Yes,No,No,No
2082,7,Yes,Yes,No,Yes
2084,7,Yes,I don't know,No,No
2089,7,Yes,No,Yes,No
2090,7,Yes,No,No,No
2091,7,Yes,No,No,No
2093,7,Yes,No,No,No
2094,7,Yes,No,No,No
2095,7,Yes,No,No,No
2096,7,Yes,No,No,No
2097,7,Yes,No,No,No
2098,7,Yes,I don't know,No,Yes
2099,7,I don't know,I don't know,I don't know,I don't know
2100,7,Yes,No,No,No
2102,7,Yes,No,No,No
2103,7,Yes,No,No,No
2106,7,Yes,Yes,No,No
2110,7,Yes,No,Yes,No
2111,7,Yes,No,No,No
2112,7,Yes,No,No,No
2114,7,Yes,No,No,No
2126,7,Yes,Yes,Yes,No
3001,7,Yes,No,No,No
3002,7,Yes,No,No,No
3003,7,Yes,No,No,No
3006,7,Yes,No,No,No
3007,7,Yes,No,No,No
3008,7,Yes,No,No,No
3009,7,Yes,No,No,No
3010,7,Yes,No,No,No
3011,7,Yes,No,No,No
3013,7,Yes,No,No,No
3015,7,No,No,No,No
3016,7,Yes,No,No,No
3018,7,Yes,No,No,No
3020,7,Yes,No,No,Yes
3021,7,No,No,Yes,Yes
3022,7,Yes,No,No,No
3023,7,Yes,No,No,No
3024,7,Yes,No,Yes,No
3026,7,Yes,No,No,No
3027,7,Yes,No,No,No
3028,7,Yes,No,No,No
3029,7,Yes,No,No,No
3031,7,Yes,No,No,No
3033,7,Yes,No,No,No
3034,7,Yes,No,No,No
3035,7,Yes,No,No,No
3041,7,Yes,Yes,No,Yes
4001,7,Yes,No,No,No
4002,7,Yes,No,No,No
4004,7,Yes,No,No,No
4005,7,Yes,No,No,No
4007,7,No,No,No,No
4009,7,,,,
4010,7,Yes,No,No,No
4011,7,Yes,No,No,No
4013,7,Yes,No,No,No
4014,7,Yes,No,No,No
4019,7,Yes,No,No,No
4020,7,Yes,No,No,No
4021,7,Yes,No,No,No
4022,7,Yes,No,No,No
4023,7,,,,
4025,7,Yes,No,No,No
4026,7,Yes,No,No,Yes
4027,7,.b,.b,.b,.b
4028,7,Yes,No,No,No
4029,7,Yes,No,No,No
4030,7,Yes,No,No,No
4031,7,Yes,No,No,No
4032,7,Yes,No,No,No
4033,7,Yes,No,No,No
4034,7,Yes,Yes,Yes,Yes
4035,7,Yes,No,No,No
4037,7,Yes,No,No,No
4038,7,Yes,No,No,No
4039,7,Yes,No,No,No
4040,7,Yes,No,No,No
4041,7,,,,
4043,7,Yes,No,No,No
4044,7,No,No,No,No
4045,7,Yes,No,No,No
4047,7,,,,
4048,7,Yes,No,No,No
4050,7,Yes,No,No,No
4051,7,Yes,No,No,No
4052,7,Yes,No,No,No
4053,7,Yes,No,No,No
4054,7,Yes,No,No,No
4055,7,Yes,No,No,No
4057,7,Yes,No,No,No
4058,7,Yes,No,No,No
4059,7,Yes,No,No,Yes
4060,7,Yes,No,No,No
4063,7,Yes,No,No,No
4064,7,Yes,No,No,No
4066,7,Yes,No,No,No
4068,7,Yes,No,No,No
4070,7,Yes,No,No,No
4071,7,Yes,Yes,Yes,No
4073,7,Yes,No,No,No
4074,7,Yes,No,No,No
4075,7,Yes,No,No,No
4076,7,Yes,No,No,No
4078,7,Yes,No,No,No
4079,7,Yes,No,No,No
4082,7,Yes,No,No,No
4084,7,Yes,No,No,No
4086,7,Yes,No,No,No
4087,7,Yes,No,No,No
4089,7,Yes,No,No,No
4090,7,I don't know,I don't know,I don't know,I don't know
4095,7,Yes,No,No,No
4103,7,Yes,No,No,No
4107,7,,,,
4108,7,Yes,No,No,No
4110,7,Yes,No,No,No
4111,7,Yes,No,No,No
5001,7,Yes,No,No,No
5002,7,Yes,No,No,No
5005,7,Yes,No,No,No
5008,7,Yes,No,No,No
5009,7,Yes,No,No,No
5010,7,I don't know,I don't know,I don't know,I don't know
5011,7,Yes,No,No,No
5012,7,Yes,Yes,Yes,No
5013,7,Yes,No,No,No
5015,7,Yes,No,No,No
5016,7,Yes,No,No,No
5018,7,Yes,No,No,No
5019,7,Yes,No,No,No
5020,7,Yes,No,No,No
5021,7,Yes,No,No,No
5022,7,Yes,No,No,No
5024,7,Yes,No,No,No
5027,7,Yes,No,No,No
5030,7,Yes,No,No,No
5034,7,Yes,No,No,No
5037,7,Yes,No,No,No
5038,7,Yes,No,No,No
5041,7,Yes,No,No,No
5044,7,Yes,No,No,No
5045,7,Yes,No,No,No
5046,7,Yes,No,No,No
5047,7,Yes,No,No,No
5049,7,Yes,No,No,No
5050,7,Yes,Yes,Yes,No
5051,7,Yes,No,No,No
5052,7,Yes,No,No,No
5053,7,Yes,No,No,No
5054,7,Yes,No,No,No
5055,7,Yes,No,No,No
5056,7,Yes,No,No,No
5057,7,Yes,No,No,No
5061,7,Yes,No,No,No
5066,7,Yes,No,No,No
5067,7,Yes,No,No,No
5068,7,Yes,No,No,No
5069,7,Yes,No,No,No
5070,7,Yes,No,No,No
5072,7,Yes,No,No,No
5073,7,Yes,No,No,No
5075,7,Yes,No,No,No
5077,7,Yes,No,No,No
5082,7,Yes,No,No,No
5084,7,Yes,No,No,No
5086,7,Yes,No,No,No
5088,7,Yes,No,No,No
5089,7,Yes,No,No,No
5093,7,Yes,No,No,No
5094,7,Yes,No,No,No
5096,7,Yes,No,No,No
6001,7,Yes,No,No,No
6002,7,Yes,No,No,No
6004,7,,,,
6005,7,Yes,No,No,No
6007,7,Yes,No,No,No
6008,7,,,,
6009,7,Yes,No,No,No
6011,7,Yes,No,No,No
6012,7,,,,
6013,7,Yes,No,No,No
6014,7,,,,
6015,7,Yes,No,No,No
6016,7,Yes,Yes,Yes,No
6018,7,Yes,No,No,No
6019,7,Yes,No,No,No
6020,7,Yes,No,I don't know,Yes
6021,7,Yes,No,No,No
6022,7,Yes,No,No,No
6023,7,Yes,No,No,No
6024,7,Yes,No,No,No
6025,7,Yes,No,No,No
6026,7,Yes,No,No,No
6027,7,Yes,No,No,No
6028,7,Yes,No,No,No
6029,7,Yes,Yes,Yes,No
6030,7,Yes,No,No,No
6031,7,I don't know,I don't know,I don't know,I don't know
6032,7,Yes,No,No,No
6033,7,Yes,No,No,No
6034,7,Yes,Yes,Yes,No
6035,7,Yes,No,No,No
6036,7,Yes,No,No,No
6038,7,No,No,No,No
6040,7,Yes,No,I don't know,Yes
6041,7,Yes,Yes,I don't know,No
6042,7,Yes,No,No,No
6043,7,Yes,No,No,No
6044,7,Yes,No,No,No
6045,7,Yes,No,No,No
6046,7,Yes,No,No,No
6047,7,Yes,No,No,No
6048,7,Yes,No,No,No
6049,7,Yes,No,No,No
6050,7,Yes,No,No,No
6052,7,Yes,No,No,No
6053,7,Yes,No,No,No
6054,7,Yes,No,No,No
6056,7,Yes,No,No,Yes
6057,7,Yes,No,No,No
6058,7,Yes,No,No,No
6059,7,Yes,No,No,No
6060,7,Yes,No,No,No
6061,7,Yes,No,No,No
6062,7,Yes,No,No,No
6063,7,Yes,No,No,No
6064,7,Yes,No,No,No
6065,7,Yes,No,No,No
6066,7,Yes,No,No,No
6067,7,Yes,No,No,No
6068,7,Yes,No,No,No
6069,7,Yes,No,No,No
6070,7,Yes,No,No,No
6071,7,Yes,I don't know,I don't know,No
6072,7,Yes,No,No,No
6073,7,Yes,No,No,No
6074,7,Yes,No,No,No
6076,7,Yes,No,No,No
6077,7,Yes,No,No,No
6078,7,Yes,No,No,No
6079,7,Yes,No,No,No
6081,7,Yes,No,No,No
6082,7,Yes,No,No,No
6084,7,Yes,No,No,No
6085,7,Yes,No,No,No
6086,7,Yes,No,No,No
6087,7,Yes,No,No,No
6088,7,Yes,No,No,No
6089,7,Yes,No,No,No
6090,7,Yes,No,No,No
6092,7,Yes,No,No,No
6093,7,Yes,No,No,No
6094,7,Yes,No,No,No
6095,7,Yes,No,No,No
6096,7,Yes,No,No,No
6098,7,Yes,No,No,No
6101,7,Yes,No,No,No
6102,7,Yes,No,No,No
6103,7,Yes,Yes,Yes,No
6104,7,Yes,No,No,Yes
6105,7,,,,
6107,7,Yes,No,No,No
6108,7,Yes,No,No,No
6109,7,Yes,No,No,No
6112,7,Yes,No,No,No
6113,7,Yes,No,No,No
6114,7,Yes,No,No,No
6115,7,,,,
6116,7,Yes,No,No,No
6123,7,Yes,No,No,No
6124,7,Yes,No,No,No
7002,7,Yes,No,No,No
7003,7,Yes,No,No,No
7004,7,Yes,No,No,No
7005,7,Yes,No,No,No
7006,7,Yes,No,No,No
7007,7,Yes,Yes,No,No
7008,7,Yes,No,No,No
7009,7,Yes,No,No,No
7010,7,Yes,No,No,No
7011,7,Yes,No,No,No
7012,7,Yes,No,No,No
7013,7,Yes,No,No,No
7014,7,Yes,No,No,No
7015,7,Yes,No,No,No
7016,7,Yes,No,No,No
7017,7,Yes,No,No,No
7018,7,Yes,Yes,No,No
7019,7,Yes,No,No,No
7020,7,Yes,Yes,Yes,No
7021,7,Yes,No,No,No
7022,7,Yes,No,No,No
7023,7,Yes,No,No,No
7024,7,Yes,No,No,No
7025,7,Yes,No,No,No
7026,7,Yes,No,No,No
7027,7,Yes,No,No,No
7028,7,Yes,No,No,No
7029,7,Yes,No,No,No
7030,7,Yes,No,No,No
7031,7,Yes,No,No,No
7032,7,Yes,No,No,No
7033,7,Yes,No,No,No
7034,7,Yes,No,No,No
7035,7,Yes,No,No,No
7036,7,Yes,No,No,No
7037,7,Yes,No,No,No
7038,7,Yes,No,No,No
7039,7,Yes,No,No,No
7040,7,Yes,No,No,No
7041,7,Yes,No,No,No
7042,7,Yes,No,No,No
7043,7,Yes,No,No,No
7049,7,Yes,No,No,No
8001,7,Yes,No,No,No
8002,7,Yes,No,No,No
8003,7,Yes,No,No,No
8005,7,Yes,Yes,Yes,Yes
8006,7,No,No,No,No
8007,7,I don't know,I don't know,I don't know,I don't know
8009,7,Yes,Yes,Yes,Yes
8010,7,Yes,Yes,No,No
8011,7,Yes,No,No,Yes
8012,7,Yes,Yes,No,No
8013,7,Yes,Yes,No,No
8014,7,Yes,No,No,No
8015,7,Yes,No,No,No
8018,7,Yes,No,No,No
8019,7,Yes,No,Yes,No
8020,7,Yes,No,No,No
8021,7,Yes,No,No,No
8022,7,Yes,No,No,No
8024,7,Yes,Yes,No,No
8025,7,Yes,No,No,No
8026,7,Yes,No,No,No
8027,7,Yes,No,No,No
8029,7,Yes,Yes,Yes,Yes
8030,7,Yes,No,No,No
8032,7,Yes,No,No,No
8034,7,No,Yes,No,No
8035,7,Yes,Yes,Yes,Yes
8036,7,Yes,No,No,No
8038,7,Yes,No,No,No
8039,7,Yes,No,No,No
8040,7,,,,
8041,7,,,,
8044,7,Yes,No,No,No
8045,7,Yes,No,No,No
8047,7,Yes,Yes,Yes,No
8048,7,Yes,No,No,No
8049,7,Yes,No,Yes,Yes
8051,7,,,,
8052,7,Yes,No,No,No
8053,7,Yes,No,No,No
8054,7,Yes,No,No,No
8055,7,Yes,No,No,No
8056,7,Yes,No,No,Yes
8057,7,Yes,Yes,Yes,Yes
8059,7,Yes,No,No,No
8061,7,Yes,No,No,No
8062,7,Yes,No,No,No
8070,7,Yes,No,Yes,Yes
9001,7,,,,
9002,7,Yes,No,No,No
9003,7,Yes,No,No,No
9004,7,Yes,No,No,Yes
9005,7,No,No,No,No
9006,7,Yes,No,No,No
9007,7,Yes,No,No,No
9008,7,Yes,Yes,Yes,Yes
9009,7,Yes,No,No,No
9010,7,Yes,No,No,No
9011,7,Yes,Yes,No,No
9012,7,Yes,Yes,Yes,Yes
9013,7,Yes,No,No,No
9014,7,Yes,Yes,Yes,No
9015,7,Yes,No,No,No
9016,7,Yes,No,No,No
9017,7,Yes,No,No,No
9020,7,Yes,No,No,No
9021,7,Yes,No,No,No
9022,7,Yes,No,No,No
9023,7,,,,
9024,7,Yes,No,No,No
9025,7,No,No,No,No
9026,7,Yes,No,No,No
9027,7,Yes,No,No,No
9028,7,Yes,No,No,No
9029,7,Yes,No,No,No
9030,7,Yes,No,No,No
9031,7,Yes,No,No,No
9032,7,Yes,Yes,Yes,Yes
9033,7,Yes,No,No,No
9034,7,Yes,No,No,No
9035,7,Yes,No,No,No
9036,7,No,No,Yes,No
9037,7,Yes,No,No,No
9038,7,Yes,No,No,No
9039,7,Yes,No,No,No
9040,7,Yes,No,Yes,Yes
9041,7,Yes,No,No,No
9042,7,Yes,No,No,No
9043,7,Yes,No,No,No
9044,7,Yes,No,No,No
9045,7,Yes,No,No,No
9046,7,Yes,Yes,No,No
9047,7,Yes,Yes,Yes,Yes
9048,7,Yes,Yes,No,No
9049,7,Yes,No,No,No
9050,7,,,,
9051,7,Yes,No,No,No
9052,7,Yes,No,No,No
9053,7,Yes,Yes,No,Yes
9054,7,Yes,Yes,Yes,Yes
9055,7,Yes,No,No,No
9056,7,Yes,No,No,No
9057,7,Yes,Yes,Yes,Yes
9058,7,Yes,No,No,No
9059,7,,,,
9060,7,Yes,Yes,No,No
9061,7,Yes,Yes,No,No
9062,7,Yes,No,No,No
9063,7,Yes,No,No,No
9065,7,No,No,No,Yes
9066,7,Yes,No,No,No
9067,7,Yes,Yes,Yes,Yes
9068,7,Yes,No,No,No
9069,7,Yes,No,No,No
9070,7,Yes,Yes,Yes,Yes
9071,7,Yes,No,No,No
9072,7,,,,
9073,7,Yes,No,No,No
9074,7,Yes,No,No,No
9075,7,Yes,No,No,No
9076,7,Yes,No,No,No
9077,7,Yes,No,Yes,No
9078,7,Yes,No,No,No
9079,7,Yes,No,No,Yes
9080,7,Yes,No,No,No
9081,7,Yes,No,No,No
9082,7,Yes,No,No,Yes
9083,7,,,,
9084,7,Yes,No,No,No
9085,7,Yes,No,No,No
9086,7,,,,
9087,7,No,No,No,No
9088,7,Yes,No,No,No
9089,7,Yes,Yes,Yes,Yes
9090,7,Yes,Yes,Yes,Yes
9091,7,Yes,No,No,No
9092,7,Yes,No,No,No
9093,7,Yes,Yes,Yes,Yes
9094,7,Yes,No,No,No
9095,7,Yes,No,No,No
9096,7,Yes,No,No,No
9097,7,Yes,Yes,Yes,No
9098,7,Yes,No,No,No
9099,7,Yes,Yes,Yes,Yes
9100,7,Yes,No,No,No
9106,7,Yes,Yes,Yes,Yes
9108,7,Yes,No,No,No
9111,7,Yes,No,No,No
9115,7,Yes,No,No,No
10001,7,Yes,No,Yes,Yes
10002,7,Yes,No,No,No
10003,7,Yes,No,No,No
10004,7,Yes,No,No,No
10005,7,Yes,No,No,No
10006,7,Yes,No,No,No
10007,7,Yes,Yes,Yes,Yes
10009,7,Yes,No,No,No
10010,7,Yes,No,No,No
10011,7,Yes,No,No,Yes
10012,7,Yes,No,No,No
10013,7,Yes,Yes,Yes,Yes
10014,7,Yes,No,No,No
10016,7,No,No,No,No
10017,7,Yes,Yes,Yes,Yes
10018,7,Yes,No,No,No
10019,7,Yes,No,No,No
10020,7,Yes,No,No,No
10021,7,Yes,No,No,No
10022,7,Yes,Yes,No,No
10023,7,Yes,No,No,No
10024,7,Yes,No,No,Yes
10025,7,Yes,No,No,No
10026,7,Yes,No,No,No
10027,7,No,Yes,No,No
10029,7,Yes,No,No,No
10030,7,Yes,No,Yes,No
10031,7,Yes,No,No,No
10033,7,Yes,No,No,No
10036,7,Yes,No,No,No
11001,7,Yes,No,No,No
11002,7,Yes,Yes,Yes,Yes
11003,7,Yes,No,No,No
11004,7,Yes,Yes,No,Yes
11005,7,Yes,No,Yes,No
11006,7,Yes,No,No,No
11007,7,Yes,Yes,Yes,Yes
11008,7,No,Yes,Yes,Yes
11010,7,Yes,Yes,Yes,No
11011,7,Yes,No,No,No
11012,7,No,No,No,No
11013,7,Yes,No,No,No
11014,7,Yes,Yes,Yes,Yes
11015,7,Yes,No,No,No
11018,7,Yes,No,No,No
11020,7,Yes,No,No,No
11021,7,Yes,No,No,No
11022,7,Yes,No,Yes,No
11023,7,Yes,No,No,No
11024,7,Yes,No,No,No
11025,7,Yes,No,No,No
11026,7,Yes,No,Yes,Yes
11027,7,No,Yes,Yes,Yes
11028,7,Yes,No,No,No
11029,7,No,No,No,No
11030,7,Yes,No,No,No
11032,7,Yes,No,No,No
11033,7,Yes,Yes,No,No
11034,7,Yes,No,No,No
11035,7,Yes,Yes,Yes,Yes
11036,7,Yes,No,No,No
11037,7,Yes,No,No,No
11039,7,Yes,No,No,No
11040,7,Yes,No,No,No
11041,7,Yes,No,No,No
11042,7,Yes,No,No,No
11044,7,Yes,No,No,No
11045,7,Yes,No,No,No
11047,7,Yes,No,No,No
11049,7,Yes,Yes,Yes,Yes
11050,7,Yes,No,No,No
11051,7,Yes,No,No,No
11052,7,Yes,Yes,Yes,Yes
11054,7,Yes,No,No,No
11055,7,Yes,No,No,Yes
11056,7,Yes,No,No,No
11057,7,Yes,No,No,No
11060,7,Yes,No,No,No
11061,7,Yes,No,No,Yes
11064,7,Yes,No,Yes,Yes
11067,7,Yes,No,No,No
12001,7,Yes,No,No,No
12002,7,Yes,No,No,No
12003,7,Yes,Yes,Yes,Yes
12004,7,Yes,Yes,Yes,Yes
12005,7,No,No,No,No
12006,7,Yes,No,No,No
12007,7,Yes,No,No,No
12008,7,Yes,No,No,No
12009,7,Yes,No,No,No
12010,7,Yes,No,No,No
12011,7,Yes,No,No,No
12015,7,Yes,No,No,No
12016,7,Yes,No,Yes,No
12017,7,Yes,Yes,Yes,Yes
12018,7,Yes,Yes,Yes,Yes
12019,7,Yes,Yes,No,Yes
12020,7,Yes,No,Yes,Yes
12021,7,Yes,No,No,No
12022,7,No,No,No,No
12023,7,Yes,No,No,No
12024,7,,,,
12025,7,Yes,No,No,No
12026,7,Yes,Yes,Yes,Yes
12027,7,Yes,Yes,Yes,No
12028,7,Yes,No,No,No
12029,7,Yes,Yes,Yes,Yes
12030,7,No,Yes,Yes,Yes
12031,7,Yes,No,No,No
12032,7,Yes,No,No,No
12033,7,Yes,No,No,No
12034,7,Yes,No,No,No
12035,7,Yes,Yes,No,No
12036,7,Yes,No,No,No
12040,7,Yes,No,No,No
12043,7,Yes,Yes,No,No
12044,7,Yes,Yes,No,No
