hhid,round,s22q1,s22q1a,s22q2,s22q2a,s22q3,s22q3a,s22q4,s22q4a,s22q5,s22q5a,s22q6,s22q6a,s22q7,s22q8,s22q9,s22q10,s22q11a,s22q11a_a,s22q11b,s22q11b_a,s22q11c,s22q11c_a,s22q11d,s22q11d_a,s22q11e,s22q11e_a,s22q13a,s22q13a_a,s22q13b,s22q13b_a,s22q13c,s22q13c_a,s22q13d,s22q13d_a,s22q13e,s22q13e_a,s22q14a,s22q14a_a,s22q14b,s22q14b_a,s22q14c,s22q14c_a,s22q14d,s22q14d_a,s22q14e,s22q14e_a
1002,7,Local market,,Local market,,Insecurity,,Limited livestock market information,,Local market broker,,Word of mouth,,20,5,2000,.a,Water availability,,Security within my locality,,Food commodity prices and availability,,Forage availability,,Livestock market price information,,irtime costs,,Limited sources of market information,,imited trust in information obtained,, Other (specify),Purchasing phone itself,imited mobile phone charging opportunities,,Conflict en route to market,,Livestock prices,,Market operating status,,Water availability,,Livestock volumes,
1003,7,Local market,,Local market,,Long market distances,,Long market distances,,Manyatta broker,,Word of mouth,,16,10,2004,2002,Security within my locality,,Forage availability,,Water availability,,No / No other,,No / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None / No other,,Market operating status,,Livestock prices,,None,,None,,None,
1004,7,Local market,,Local market,,Long market distances,,Long market distances,,Local market broker,,Word of mouth,,-96,-96,-96,.a,No / No other,,No / No other,,No / No other,,No / No other,,No / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None,,None,,None,,None,,None,
1005,7,Local market,,Local market,,Long market distances,,Long market distances,,Local market broker,,Word of mouth,,7,-96,2013,2002,Forage availability,,Livestock market price information,,No / No other,,No / No other,,No / No other,,Limited network connectivity market information?,,irtime costs,,imited mobile phone charging opportunities,,None / No other,,None / No other,,Livestock prices,,Livestock volumes,,Market operating status,,None,,None,
1006,7,Local market,,Local market,,Limited livestock market information,,Limited livestock market information,,Local market broker,,Word of mouth,,10,2,2010,.a,Livestock market price information,,Security within my locality,,Livestock disease outbreaks,,11,,Human health and vaccines campaigns,,nability to read SMSs,,Limited network connectivity market information?,,irtime costs,,Limited sources of market information,,imited trust in information obtained,,Livestock prices,,Market operating status,,Number of external traders,,Conflict en route to market,,Livestock volumes,
1007,7,None: My household does not do this,,None: My household does not do this,,None,,None,,None,,None,,.a,-96,.a,.a,No / No other,,No / No other,,No / No other,,No / No other,,No / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None,,None,,None,,None,,None,
1008,7,Regional market,,Regional market,,None,,None,,Other (specify),Personally go to the market,Word of mouth,,16,-96,2017,.a,11,,weather forecast  11 COVID-19,,Human health and vaccines campaigns,,No / No other,,No / No other,,irtime costs,,nability to read SMSs,,Limited sources of market information,,None / No other,,None / No other,,Market operating status,,Livestock prices,,Livestock diseases,,Conflict en route to market,,None,
1009,7,Regional market,,Regional market,,Insecurity,,High prices,,Local market broker,,Word of mouth,,11,3,2009,2006,11,,Other (specify) ,Banking/loan,weather forecast  11 COVID-19,,Livestock disease outbreaks,,Security within my locality,,nability to read SMSs,,irtime costs,,Limited sources of market information,,None / No other,,None / No other,,Conflict en route to market,,Market operating status,,Livestock diseases,,Livestock prices,,Water availability,
1010,7,Regional market,,Regional market,,High prices,,Limited livestock market information,,Local market broker,,Word of mouth,,10,-96,2007,.a,Security within my locality,,Water availability,,Forage availability,,weather forecast  11 COVID-19,,Livestock market price information,,nability to read SMSs,,None / No other,,None / No other,,None / No other,,None / No other,,Livestock prices,,Market operating status,,Conflict en route to market,,Water availability,,None,
1011,7,Local market,,Local market,,None,,None,,None,,None,,10,.a,.a,.a,No / No other,,No / No other,,No / No other,,No / No other,,No / No other,,nability to read SMSs,,None / No other,,None / No other,,None / No other,,None / No other,,None,,None,,None,,None,,None,
1012,7,Local market,,Local market,,Long market distances,,Long market distances,,Local market broker,,Word of mouth,,15,5,2000,2005,Forage availability,,Security within my locality,,Livestock market price information,,Veterinary services,,Livestock disease outbreaks,,imited mobile phone charging opportunities,,irtime costs,,Limited network connectivity market information?,,imited trust in information obtained,,Limited sources of market information,,Livestock prices,,Market operating status,,Number of external traders,,Livestock diseases,,Water availability,
1013,7,None: My household does not do this,,None: My household does not do this,,High prices,,High prices,,Local market broker,,Word of mouth,,13,-96,2015,2003,Forage availability,,Water availability,,Security within my locality,,No / No other,,No / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None / No other,,None,,None,,None,,None,,None,
1014,7,Local market,,None: My household does not do this,,High prices,,None,,Neighbor,,Word of mouth,,20,-96,2000,1998,Security within my locality,,Water availability,,Forage availability,,Livestock market price information,,Food commodity prices and availability,,irtime costs,,None / No other,,None / No other,,None / No other,,None / No other,,Livestock prices,,None,,Market operating status,,Conflict en route to market,,Number of external traders,
