hhid,round,s23q1,s23q1b,s23q1c,s23q2a,s23q2b,s23q2c,s23q2d,s23q2e1,s23q2e2,s23q2e3,s23q2e4,s23q2e5,s23q2e6,s23q2e7,s23q2e8,s23q2e9,s23q2e10,s23q2e11,s23q2e12,s23q2e13,s23q2e14,s23q2e15,s23q2e16,s23q2e17,s23q2e18,s23q2e97,s23q3a,s23q3b
1002,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1003,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1004,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1005,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1006,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1007,7,No,,,Yes,Good but irrelevant: It can be helpful to other people but not for pastoralists,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1008,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1009,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1010,7,No,,,Yes,Good but irrelevant: It can be helpful to other people but not for pastoralists,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1011,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1012,7,No,,,Yes,"Good and somewhat relevant: It can be helpful to other pastoralists, but not me","No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1013,7,No,,,Yes,"Good and somewhat relevant: It can be helpful to other pastoralists, but not me","No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1014,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1015,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1016,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1017,7,No,,,Yes,"Good and somewhat relevant: It can be helpful to other pastoralists, but not me","No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1018,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1019,7,No,,,Yes,"Good and somewhat relevant: It can be helpful to other pastoralists, but not me","No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1020,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1021,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1022,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1023,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1024,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1025,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1026,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1029,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1031,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1032,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1033,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1034,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1035,7,No,,,Yes,Good but irrelevant: It can be helpful to other people but not for pastoralists,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1036,7,Yes,Bad and irrelevant: It is not helpful for normal people,"No, I do not have access",Yes,Good but irrelevant: It can be helpful to other people but not for pastoralists,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1037,7,No,,,Yes,"Good and somewhat relevant: It can be helpful to other pastoralists, but not me","No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1038,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1039,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
1042,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1045,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
1047,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
2001,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2002,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2003,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2004,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes but I have graduated from BOMA.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
2005,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2007,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
2009,7,No,,,Yes,"Good and somewhat relevant: It can be helpful to other pastoralists, but not me","No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2010,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2011,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,
2012,7,No,,,Yes,"Good and somewhat relevant: It can be helpful to other pastoralists, but not me","No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2013,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,7,No,,,Yes,"Good and somewhat relevant: It can be helpful to other pastoralists, but not me","No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2016,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes but I have graduated from BOMA.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
2017,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,
2018,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,
2019,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
2020,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2021,7,No,,,Yes,"Good and somewhat relevant: It can be helpful to other pastoralists, but not me","No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2022,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,
2023,7,No,,,Yes,Good but irrelevant: It can be helpful to other people but not for pastoralists,Yes but I have graduated from BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2024,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes but I have graduated from BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2025,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2026,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2027,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes but I have graduated from BOMA.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
2028,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes but I have graduated from BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2029,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2030,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2031,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes but I have graduated from BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2032,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2033,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2034,7,No,,,Yes,"Good and somewhat relevant: It can be helpful to other pastoralists, but not me","No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2035,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2036,7,No,,,Yes,"Good and somewhat relevant: It can be helpful to other pastoralists, but not me",Yes but I have graduated from BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2037,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
2038,7,No,,,Yes,"Good and somewhat relevant: It can be helpful to other pastoralists, but not me",Yes and I am currently a participant of BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2041,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
2044,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2045,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2046,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2047,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2048,7,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,
2049,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes and I am currently a participant of BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2050,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes but I have graduated from BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2051,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes but I have graduated from BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2052,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes but I have graduated from BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2053,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,Yes but I have graduated from BOMA.,No,,,,,,,,,,,,,,,,,,,,No,
2054,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2056,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
2057,7,No,,,Yes,Good and relevant: It can be helpful to pastoralists like me,"No, I have not participated in BOMA.",,,,,,,,,,,,,,,,,,,,,No,
