hhid,round,comment,LivestockID,animaltype5,gender3,hv_s6q1,hv_s6q1correct,hv_rsnincorrect,s6q8,s6q9,s6q10,s6q11,s6q12,s6q13,s6q14,s6q15,s6q16,s6q17,s6q18
1002,2,,Camels(Male),Camels,male,,,,0,,,,,,,,,,0
1002,2,,Sheep(Male),Sheep,male,,,,0,,,,,,,,,,0
1002,2,,Camel Both,Camels,both,,,,,0,,0,0,0,0,0,,0,
1002,2,,Camels(Female),Camels,female,,,,0,,,,,,,,,,0
1002,2,,Cattle Both,Cattle,both,,,,,9,,0,2,0,2,0,,13,
1002,2,,Goat Both,Goats,both,,,,,2,,,,,,,,2,
1002,2,,Goats(Female),Goats,female,,,,2,,,,,,,,,,2
1002,2,,0,Shoats,both,,,,,,2,0,0,0,0,0,2,,
1002,2,,Cattle(Female),Cattle,female,,,,4,,,,,,,,,,4
1002,2,,Sheep Both,Sheep,both,,,,,0,,,,,,,,0,
1002,2,,Goats(Male),Goats,male,,,,0,,,,,,,,,,0
1002,2,,Cattle(Male),Cattle,male,,,,5,,,,,,,,,,9
1002,2,,Sheep(Female),Sheep,female,,,,0,,,,,,,,,,0
1002,3,0,Camels(Male),Camels,male,0,Yes,,,,,0,0,0,0,0,,,
1002,3,0,Cattle(Female),Cattle,female,4,Yes,,,,,3,0,0,2,0,,,
1002,3,0,Camels(Female),Camels,female,0,Yes,,,,,0,0,0,0,0,,,
1002,3,0,Cattle(Male),Cattle,male,9,Yes,,,,,5,0,4,0,0,,,
1002,3,0,Goats(Male),Goats,male,0,Yes,,,,,0,0,0,0,0,,,
1002,3,0,Sheep(Female),Sheep,female,0,Yes,,,,,0,0,0,0,0,,,
1002,3,0,Goats(Female),Goats,female,2,Yes,,,,,1,0,1,0,0,,,
1002,3,0,Sheep(Male),Sheep,male,0,Yes,,,,,0,0,0,0,0,,,
1002,4,0,Cattle(Female),Cattle,female,3,No,THE INTERVIEWEE DID NOT GIVE THE RIGHT INFORMATION,5,,,0,0,0,0,0,,,
1002,4,0,Camels(Male),Camels,male,0,Yes,,,,,0,0,0,0,0,,,
1002,4,0,Goats(Male),Goats,male,0,Yes,,,,,0,0,0,0,0,,,
1002,4,0,Sheep(Male),Sheep,male,0,Yes,,,,,0,0,0,0,0,,,
1002,4,0,Cattle(Male),Cattle,male,0,Yes,,,,,0,0,0,0,0,,,
1002,4,0,Sheep(Female),Sheep,female,0,Yes,,,,,0,0,0,0,0,,,
1002,4,0,Goats(Female),Goats,female,0,Yes,,,,,0,0,0,0,0,,,
1002,4,0,Camels(Female),Camels,female,0,Yes,,,,,0,0,0,0,0,,,
1002,5,0,Sheep(Male),Sheep,male,0,Yes,,,,,0,0,0,0,0,,,
1002,5,0,Cattle(Male),Cattle,male,0,Yes,,,,,0,2,0,1,0,,,
1002,5,0,Goats(Male),Goats,male,0,Yes,,,,,0,0,0,0,0,,,
1002,5,0,Cattle(Female),Cattle,female,5,Yes,,,,,3,0,0,2,0,,,
1002,5,0,Sheep(Female),Sheep,female,0,Yes,,,,,0,0,0,0,0,,,
1002,5,0,Goats(Female),Goats,female,0,Yes,,,,,0,0,0,0,0,,,
1002,5,0,Camels(Male),Camels,male,0,Yes,,,,,0,0,0,0,0,,,
1002,5,0,Camels(Female),Camels,female,0,Yes,,,,,0,0,0,0,0,,,
1002,6,0,Goats(Male),Goats,male,,,,0,,,0,0,0,0,0,,,
1002,6,0,Camels(Female),Camels,female,,,,0,,,0,0,0,0,0,,,
1002,6,0,Cattle(Female),Cattle,female,,,,6,,,0,0,0,2,0,,,
1002,6,0,Goats(Female),Goats,female,,,,0,,,0,0,0,0,0,,,
1002,6,0,Sheep(Male),Sheep,male,,,,0,,,0,0,0,0,0,,,
1002,6,0,Camels(Male),Camels,male,,,,0,,,0,0,0,0,0,,,
1002,6,0,Sheep(Female),Sheep,female,,,,0,,,0,0,0,0,0,,,
1002,6,0,Cattle(Male),Cattle,male,,,,2,,,0,0,0,2,0,,,
1002,7,,Cattle Both,Cattle,both,,,,,,,,,,,,,2,
1003,2,,Camel Both,Camels,both,,,,,0,,0,0,0,0,0,,0,
1003,2,,Cattle(Female),Cattle,female,,,,3,,,,,,,,,,3
1003,2,,Goats(Female),Goats,female,,,,1,,,,,,,,,,2
1003,2,,Sheep Both,Sheep,both,,,,,0,,,,,,,,0,
1003,2,,Goat Both,Goats,both,,,,,2,,,,,,,,3,
1003,2,,Goats(Male),Goats,male,,,,1,,,,,,,,,,1
1003,2,,Camels(Male),Camels,male,,,,0,,,,,,,,,,0
1003,2,,Camels(Female),Camels,female,,,,0,,,,,,,,,,0
1003,2,,Cattle Both,Cattle,both,,,,,4,,0,0,1,0,0,,3,
1003,2,,Sheep(Male),Sheep,male,,,,0,,,,,,,,,,0
1003,2,,Cattle(Male),Cattle,male,,,,1,,,,,,,,,,0
1003,2,,Sheep(Female),Sheep,female,,,,0,,,,,,,,,,0
1003,2,,0,Shoats,both,,,,,,2,0,0,0,1,0,3,,
1003,3,0,Cattle(Male),Cattle,male,0,Yes,,,,,0,0,0,1,0,,,
1003,3,0,Goats(Female),Goats,female,2,Yes,,,,,0,1,2,0,0,,,
1003,3,0,Sheep(Male),Sheep,male,0,Yes,,,,,0,0,0,0,0,,,
1003,3,0,Sheep(Female),Sheep,female,0,Yes,,,,,0,0,0,0,0,,,
1003,3,0,Goats(Male),Goats,male,1,Yes,,,,,0,0,1,0,0,,,
1003,3,0,Camels(Male),Camels,male,0,Yes,,,,,0,0,0,0,0,,,
1003,3,0,Camels(Female),Camels,female,0,Yes,,,,,0,0,0,0,0,,,
1003,3,0,Cattle(Female),Cattle,female,3,No,NO.NOT CUPTURED,4,,,1,0,0,0,0,,,
1003,4,0,Cattle(Male),Cattle,male,1,Yes,,,,,0,0,0,0,0,,,
1003,4,0,Cattle(Female),Cattle,female,3,Yes,,,,,0,0,0,3,0,,,
1003,4,0,Goats(Female),Goats,female,1,Yes,,,,,0,1,0,0,0,,,
1003,4,0,Goats(Male),Goats,male,0,Yes,,,,,0,0,0,0,0,,,
1003,4,0,Camels(Male),Camels,male,0,Yes,,,,,0,0,0,0,0,,,
1003,4,0,Sheep(Female),Sheep,female,0,Yes,,,,,0,0,0,0,0,,,
1003,4,0,Sheep(Male),Sheep,male,0,Yes,,,,,0,0,0,0,0,,,
1003,4,0,Camels(Female),Camels,female,0,Yes,,,,,0,0,0,0,0,,,
1003,5,0,Camels(Female),Camels,female,0,Yes,,,,,0,0,0,0,0,,,
1003,5,0,Cattle(Female),Cattle,female,6,Yes,,,,,1,0,1,0,0,,,
1003,5,0,Sheep(Male),Sheep,male,0,Yes,,,,,0,0,0,0,0,,,
1003,5,0,Goats(Female),Goats,female,2,Yes,,,,,0,0,0,0,0,,,
1003,5,0,Goats(Male),Goats,male,0,Yes,,,,,0,0,0,2,0,,,
1003,5,0,Cattle(Male),Cattle,male,1,Yes,,,,,0,0,0,0,0,,,
1003,5,0,Sheep(Female),Sheep,female,0,Yes,,,,,0,0,0,0,0,,,
1003,5,0,Camels(Male),Camels,male,0,Yes,,,,,0,0,0,0,0,,,
1003,6,0,Goats(Male),Goats,male,,,,0,,,0,0,0,0,0,,,
1003,6,0,Cattle(Female),Cattle,female,,,,7,,,0,0,0,1,0,,,
1003,6,0,Cattle(Male),Cattle,male,,,,3,,,0,0,0,0,0,,,
1003,6,0,Sheep(Male),Sheep,male,,,,0,,,0,0,0,0,0,,,
1003,6,0,Camels(Female),Camels,female,,,,0,,,0,0,0,0,0,,,
1003,6,0,Sheep(Female),Sheep,female,,,,0,,,0,0,0,0,0,,,
1003,6,0,Goats(Female),Goats,female,,,,1,,,0,0,0,0,0,,,
1003,6,0,Camels(Male),Camels,male,,,,0,,,0,0,0,0,0,,,
1003,7,,Cattle Both,Cattle,both,,,,,,,1,,,,,,6,
1004,2,,Sheep(Male),Sheep,male,,,,0,,,,,,,,,,0
1004,2,,Cattle(Female),Cattle,female,,,,0,,,,,,,,,,0
1004,2,,Cattle(Male),Cattle,male,,,,0,,,,,,,,,,0
1004,2,,Goats(Female),Goats,female,,,,0,,,,,,,,,,0
1004,2,,Camels(Male),Camels,male,,,,0,,,,,,,,,,0
1004,2,,Goat Both,Goats,both,,,,,0,,,,,,,,0,
1004,2,,Sheep Both,Sheep,both,,,,,0,,,,,,,,0,
1004,2,,Cattle Both,Cattle,both,,,,,0,,0,0,0,0,0,,0,
1004,2,,0,Shoats,both,,,,,,0,0,0,0,0,0,0,,
1004,2,,Goats(Male),Goats,male,,,,0,,,,,,,,,,0
1004,2,,Camels(Female),Camels,female,,,,0,,,,,,,,,,0
1004,2,,Camel Both,Camels,both,,,,,0,,0,0,0,0,0,,0,
1004,2,,Sheep(Female),Sheep,female,,,,0,,,,,,,,,,0
1004,3,0,Goats(Female),Goats,female,0,Yes,,,,,0,0,0,0,0,,,
1004,3,0,Sheep(Female),Sheep,female,0,Yes,,,,,0,0,0,0,0,,,
1004,3,0,Cattle(Male),Cattle,male,0,Yes,,,,,0,0,0,0,0,,,
1004,3,0,Camels(Female),Camels,female,0,Yes,,,,,0,0,0,0,0,,,
1004,3,0,Sheep(Male),Sheep,male,0,Yes,,,,,0,0,0,0,0,,,
1004,3,0,Cattle(Female),Cattle,female,0,No,NO. NOT CUPTURED,12,,,11,0,0,0,0,,,
1004,3,0,Goats(Male),Goats,male,0,Yes,,,,,0,0,0,0,0,,,
1004,3,0,Camels(Male),Camels,male,0,Yes,,,,,0,0,0,0,0,,,
1004,4,0,Sheep(Female),Sheep,female,0,Yes,,,,,0,0,0,0,0,,,
1004,4,0,Cattle(Male),Cattle,male,0,Yes,,,,,0,0,0,0,0,,,
