hhid,round,comment,intakeevent,s6q27a,s6q27b,s6q28,s6q29,s6q29a,s6q29a1,s6q29b,s6q30,s6q31,s6q32,s6q32b,s6q33,s6q33_r6,s6q34,s6q34b,s6q34c,s6q34d
1002,2,,1,2010,Jul-15,Cattle,Purchased,,,,2,0,Expand herd,,Within the district,,17000,,,
1002,5,0,1,2012,Oct-14,Cattle,Purchased,,,,2,0,Business/Trading,,Within the district,,,24000,Yes,
1003,3,0,1,2011,Sep-15,Shoat,Received as gifts,,,,1,1,Restocking from loss,,Within sub-location,,,500,Yes,
1003,4,0,1,2012,Sep-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within the district,,,500,Yes,
1004,5,0,1,2013,Feb-15,Shoat,Received as gifts,,,,2,2,Expand herd,,Within sub-location,,,5000,Yes,
1005,5,0,1,2012,Oct-14,Shoat,Other (specify),,,HERDING FOR OTHER HOUSEHOLD,9,7,10,,Within sub-location,,,30000,Yes,
1007,3,0,1,2011,Sep-15,Cattle,Purchased,,,,1,1,Restocking from loss,,Within the district,,,6000,Yes,
1007,3,0,2,2010,Dec-14,Shoat,Purchased,,,,1,1,Restocking from loss,,Within the district,,,1500,Yes,
1007,5,0,1,2012,Oct-14,Cattle,Purchased,,,,1,1,Start herd,,Within the location,,,10000,Yes,
1007,6,0,1,2015,Mar-15,Shoat,Purchased,,,,1,1,Restocking from loss,,,A livestock trader passing by my village,,5500,Yes,
1008,3,0,2,2011,Sep-15,Cattle,Loaned in/Borrowed,,,,1,1,10,,Within sub-location,,,30000,Yes,
1008,3,0,1,.a,.a,Cattle,Purchased,,,,1,0,Expand herd,,Within the district,,,20000,Yes,
1008,4,0,1,2012,Feb-15,Shoat,Purchased,,,,1,1,Milking purposes,,Within the location,,,5500,Yes,
1009,2,,1,2010,Jun-15,Cattle,Purchased,,,,1,0,Expand herd,,Within sub-location,,15000,,,
1009,4,0,1,2012,Sep-15,Cattle,Received as gifts,,,,1,0,Other (specify),ploughing,Within the location,,,25000,Yes,
1013,1,,1,2009,May-15,Shoat,Purchased,,,,1,1,Expand herd,,Within the district,,850,,,
1013,5,0,1,2012,Dec-14,Cattle,Purchased,,,,2,2,Start herd,,Within sub-location,,,40000,Yes,
1013,5,0,2,2013,Jun-15,Shoat,Purchased,,,,4,4,Start herd,,Within sub-location,,,12000,Yes,
1014,2,,1,2010,Apr-15,Cattle,Received as gifts,,,,1,1,Expand herd,,Within the district,,15000,,,
1014,5,0,1,2013,Apr-15,Shoat,Purchased,,,,4,4,Start herd,,Within the location,,,9400,Yes,
1015,2,,1,2010,Apr-15,Cattle,Purchased,,,,1,1,Start herd,,Within the district,,2500,,,
1017,6,0,1,2015,Sep-15,Shoat,Purchased,,,,1,1,Restocking from loss,,,Small livestock market,,2200,Yes,
1018,3,0,1,2011,Jan-15,Cattle,Purchased,,,,2,1,Expand herd,,Within the district,,,30000,Yes,
1019,3,0,1,2011,Apr-15,Cattle,Purchased,,,,1,0,Expand herd,,Within the district,,,12000,Yes,
1019,3,0,2,2011,Jul-15,Cattle,Purchased,,,,1,0,Expand herd,,Within the district,,,15000,Yes,
1019,7,,1,2020,Apr-15,Goat,Received as gifts,,,,1,,Consumption,,,,,,,1
1020,1,,1,2009,May-15,Cattle,Purchased,,,,4,0,10,,Within the district,,11000,,,
1021,4,0,1,2012,Mar-15,Cattle,Purchased,,,,3,1,Start herd,,Within the district,,,60000,Yes,
1022,4,0,3,2012,Jun-15,Shoat,Purchased,,,,2,2,Restocking from loss,,Within the district,,,6000,Yes,
1022,4,0,1,2012,Jan-15,Cattle,Purchased,,,,2,2,Restocking from loss,,Within the location,,,30000,Yes,
1022,4,0,2,2012,Apr-15,Shoat,Purchased,,,,3,3,Restocking from loss,,Within the district,,,10500,Yes,
1022,5,0,1,2012,Nov-14,Shoat,Purchased,,,,6,4,Expand herd,,Within the district,,,33000,Yes,
1023,3,0,1,2011,May-15,Shoat,Received as gifts,,,,1,1,Milking purposes,,Within the district,,,3000,Yes,
1023,4,0,1,2011,Dec-14,Cattle,Obtained as dowry,,,,1,1,Cultural and traditional rites,,Within the district,,,25000,Yes,
1024,4,0,1,2012,Jan-15,Shoat,Purchased,,,,2,2,Expand herd,,Within sub-location,,,6000,Yes,
1024,4,0,2,2012,Mar-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within the location,,,3000,Yes,
1024,6,0,1,2015,Jan-15,Shoat,Purchased,,,,1,0,Expand herd,,,Large livestock market (e.g Marsabit and Merille),,4000,Yes,
1024,7,,1,2020,Jun-15,Goat,Received as gifts,,,,5,,Restocking from loss,,,,,,,1
1025,4,0,2,2012,Feb-15,Cattle,Purchased,,,,1,0,Expand herd,,Within the district,,,17500,Yes,
1025,4,0,1,2012,Mar-15,Shoat,Purchased,,,,1,1,Restocking from loss,,Within the district,,,2500,Yes,
1025,6,0,1,2014,Nov-14,Shoat,Received as gifts,,,,1,1,Diversify herd composition,,,.b,,3000,Yes,
1026,3,0,1,2011,Apr-15,Shoat,Loaned in/Borrowed,,,,2,2,Milking purposes,,Within the district,,,5000,Yes,
1026,3,0,2,2011,Jun-15,Cattle,Purchased,,,,1,1,Milking purposes,,Within the district,,,6000,Yes,
1026,5,0,1,2013,Jan-15,Shoat,Purchased,,,,1,1,Start herd,,Within sub-location,,,3500,Yes,
1027,3,0,1,2011,Aug-15,Shoat,Purchased,,,,1,1,Restocking from loss,,Within the location,,,2000,Yes,
1031,4,0,2,2012,Aug-15,Cattle,Purchased,,,,2,0,Expand herd,,Within the location,,,20000,Yes,
1031,4,0,1,2012,Sep-15,Cattle,Purchased,,,,4,4,Expand herd,,Within the location,,,60000,Yes,
1031,4,0,4,2011,Dec-14,Shoat,Received as gifts,,,,2,2,Expand herd,,Within the location,,,700,Yes,
1031,4,0,3,2012,Sep-15,Shoat,Purchased,,,,2,2,Expand herd,,Within the location,,,6000,Yes,
1031,6,0,2,2015,Aug-15,Cattle,Obtained as dowry,,,,2,1,Expand herd,,,.b,,22000,Yes,
1031,6,0,1,2015,Sep-15,Shoat,Received as gifts,,,,5,5,Expand herd,,,.b,,10000,Yes,
1032,5,0,2,2013,Aug-15,Cattle,Received as gifts,,,,1,0,Cultural and traditional rites,,Within the district,,,30000,Yes,
1032,5,0,1,2013,Sep-15,Camel,Received as gifts,,,,2,0,Cultural and traditional rites,,Within the location,,,80000,Yes,
1034,4,0,1,2011,Nov-14,Shoat,Purchased,,,,10,8,Expand herd,,Within sub-location,,,30000,Yes,
1035,4,0,1,2012,Feb-15,Shoat,Received as gifts,,,,4,0,Diversify herd composition,,Within the district,,,80000,Yes,
1036,3,0,1,2011,Jan-15,Camel,Received as gifts,,,,1,1,Restocking from loss,,Outside the district,,,35000,Yes,
1036,4,0,1,2012,Aug-15,Cattle,Purchased,,,,2,2,Expand herd,,Within the district,,,36000,Yes,
1036,4,0,2,2012,Sep-15,Cattle,Purchased,,,,2,2,Expand herd,,Within the district,,,32000,Yes,
1036,7,,2,2020,Dec-14,Cattle,Purchased,,,,2,,Expand herd,,,,12000,24000,,2
1036,7,,1,2020,Dec-14,Cattle,Purchased,,,,2,,Expand herd,,,,12500,25000,,2
1039,4,0,1,2011,Dec-14,Shoat,Purchased,,,,1,1,Start herd,,Within the district,,,3600,Yes,
1039,5,0,1,2013,May-15,Shoat,Purchased,,,,2,2,Expand herd,,Within sub-location,,,16000,Yes,
1039,6,0,2,2015,Mar-15,Shoat,Purchased,,,,1,1,Expand herd,,,Large livestock market (e.g Marsabit and Merille),,4000,Yes,
1039,6,0,1,2014,Nov-14,Cattle,Purchased,,,,1,0,Consumption,,,Large livestock market (e.g Marsabit and Merille),,30000,Yes,
1039,7,,1,2020,Dec-14,Cattle,Purchased,,,,1,,Cultural and traditional rites,,,,34000,34000,,1
1039,7,,1,2020,Dec-14,Goat,Purchased,,,,2,,Cultural and traditional rites,,,,7000,14000,,1
1042,5,0,1,2013,Mar-15,Shoat,Purchased,,,,4,3,Start herd,,Within sub-location,,,12000,Yes,
1042,6,0,1,2015,Feb-15,Cattle,Purchased,,,,2,0,Consumption,,,Large livestock market (e.g Marsabit and Merille),,60000,Yes,
1043,4,0,1,2012,Jul-15,Camel,Received as gifts,,,,2,2,Restocking from loss,,Outside the district,,,40000,Yes,
1043,4,0,2,2012,Sep-15,Camel,Received as a part of a restocking program,,,,2,2,Expand herd,,Within the district,,,40000,Yes,
1045,2,,2,2010,Jun-15,Cattle,Purchased,,,,10,10,Expand herd,,Within the district,,11000,,,
