hhid,round,comment,offtakeevent,s6q36a,s6q36b,s6q37,s6q38,s6q38b,s6q38c,s6q38d,s6q39,s6q40,s6q41,s6q41b,s6q41b16,s6q42,s6q42_r6,s6q43,s6q43b,s6q43c,s6q43d
1002,3,0,2,2011,August,Cattle,Sold,,,,2,1,Weak/poor performance,,,Within the district,,,16000,Yes,
1002,3,0,1,2011,June,Cattle,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,23000,Yes,
1002,3,0,3,2011,August,Goat/Sheep,Sold,,,,1,0,Weak/poor performance,,,Within the district,,,3000,Yes,
1003,2,,1,2010,June,Cattle,Gave as gifts,,,,1,0,Cultural reasons/dowry,,,Within the district,,15000,,,
1003,3,0,3,2010,December,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,2200,Yes,
1003,3,0,2,2011,September,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,1200,Yes,
1003,3,0,1,2011,June,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,2000,Yes,
1003,5,0,1,2013,February,Cattle,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,26000,Yes,
1005,2,,1,2010,June,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,2500,,,
1005,3,0,1,2011,May,Goat/Sheep,Sold,,,,2,0,School fees/sick child/other consumption,,,Within the location,,,11000,Yes,
1005,6,0,1,2015,March,Goat/Sheep,Loaned,,Long term borrowing/lending,Family member,3,2,Spread risks of loss,,,,,,12000,Yes,
1006,1,,2,2009,July,Goat/Sheep,Sold,,,,5,3,Spread risks of loss,,,Within the district,,1500,,,
1006,1,,1,2009,June,Cattle,Sold,,,,2,0,Spread risks of loss,,,Outside the district,,4000,,,
1006,3,0,1,2011,June,Cattle,Sold,,,,2,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,8000,Yes,
1006,5,0,1,2013,September,Cattle,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,,40000,Yes,
1007,1,,1,2009,April,Cattle,Sold,,,,1,0,Spread risks of loss,,,Within the district,,10000,,,
1008,1,,2,2009,August,Goat/Sheep,Sold,,,,2,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,1000,,,
1008,1,,1,2009,June,Cattle,Sold,,,,2,0,Spread risks of loss,,,Within the district,,9000,,,
1008,5,0,2,2013,January,Cattle,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the location,,,16000,Yes,
1008,5,0,1,2012,December,Cattle,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the location,,,15000,Yes,
