hhid,round,comment,birthevent,s6q45a,s6q45b,s6q46,s6q47,s6q47b
1002,1,,1,Previous year,November,Cattle,1,
1002,1,,2,Current year,March,Sheep/Goat,1,
1002,2,,2,Current year,April,Cattle,1,
1002,2,,1,Current year,February,Cattle,1,
1002,3,0,1,Current year,August,Cattle,2,
1002,5,0,1,Previous year,November,Cattle,2,
1002,5,0,2,Current year,May,Cattle,1,
1002,6,0,1,Previous year,November,Cattle,2,
1002,6,0,2,Current year,June,Cattle,2,
1003,1,,2,Current year,September,Cattle,1,
1003,1,,1,Current year,August,Cattle,1,
1003,2,,1,Current year,August,Sheep/Goat,1,
1003,3,0,1,Current year,February,Cattle,1,
1003,4,0,2,Current year,September,Cattle,2,
1003,4,0,1,Previous year,December,Cattle,1,
1003,5,0,1,Current year,January,Sheep/Goat,2,
1003,6,0,1,Current year,August,Cattle,1,
1004,1,,1,Current year,May,Cattle,2,
1004,1,,2,Current year,June,Cattle,1,
1004,5,0,1,Current year,March,Cattle,1,
1004,5,0,2,Current year,June,Sheep/Goat,1,
1004,7,,1,2020,April,Cattle,3,3
1004,7,,3,2020,July,Cattle,3,3
1004,7,,2,2020,June,Cattle,3,3
1005,1,,1,Current year,August,Sheep/Goat,4,
1005,1,,2,Current year,September,Sheep/Goat,2,
1005,2,,1,Current year,June,Sheep/Goat,1,
1005,3,0,2,Current year,August,Sheep/Goat,2,
1005,3,0,1,Current year,July,Sheep/Goat,2,
1005,4,0,2,Current year,April,Sheep/Goat,1,
1005,4,0,1,Current year,January,Sheep/Goat,2,
1005,4,0,3,Current year,June,Sheep/Goat,2,
1005,5,0,2,Current year,February,Sheep/Goat,5,
1005,5,0,1,Previous year,December,Sheep/Goat,4,
1005,5,0,3,Current year,August,Sheep/Goat,4,
1006,1,,1,Current year,July,Sheep/Goat,2,
1006,1,,2,Current year,July,Cattle,1,
1006,1,,4,Current year,August,Cattle,1,
1006,1,,3,Current year,August,Sheep/Goat,10,
1006,2,,2,Current year,August,Sheep/Goat,1,
1006,2,,1,Current year,June,Sheep/Goat,3,
1006,5,0,2,Current year,June,Cattle,1,
1006,5,0,1,Current year,May,Cattle,2,
1007,5,0,1,Current year,January,Cattle,1,
1007,6,0,3,Current year,August,Sheep/Goat,1,
1007,6,0,1,Current year,August,Cattle,1,
1007,6,0,2,Previous year,October,Cattle,1,
1008,1,,1,Current year,August,Sheep/Goat,1,
1008,2,,1,Current year,May,Sheep/Goat,2,
1008,3,0,1,Current year,January,Cattle,2,
1008,3,0,3,Current year,September,Sheep/Goat,1,
1008,3,0,2,Previous year,December,Sheep/Goat,1,
1008,4,0,2,Current year,May,Cattle,1,
1008,4,0,3,Current year,August,Cattle,1,
1008,4,0,5,Current year,April,Sheep/Goat,2,
1008,4,0,4,Current year,August,Sheep/Goat,1,
1008,4,0,1,Current year,May,Sheep/Goat,1,
1008,5,0,2,Current year,July,Cattle,1,
1008,5,0,1,Current year,May,Cattle,1,
1009,1,,2,Current year,June,Sheep/Goat,8,
1009,1,,1,Current year,May,Sheep/Goat,9,
1009,2,,3,Current year,January,Sheep/Goat,3,
1009,2,,4,Current year,June,Sheep/Goat,2,
1009,2,,2,Current year,January,Cattle,1,
1009,2,,1,Previous year,December,Cattle,1,
1009,3,0,1,Previous year,October,Cattle,1,
1009,3,0,2,Current year,July,Sheep/Goat,3,
1009,4,0,1,Current year,June,Sheep/Goat,7,
1009,4,0,3,Current year,August,Sheep/Goat,4,
1009,4,0,2,Current year,July,Sheep/Goat,5,
1009,5,0,5,Current year,May,Sheep/Goat,2,
1009,5,0,1,Current year,June,Cattle,1,
1009,5,0,4,Current year,April,Sheep/Goat,1,
1009,5,0,2,Current year,February,Sheep/Goat,2,
1009,5,0,3,Current year,March,Sheep/Goat,1,
1009,5,0,7,Current year,August,Sheep/Goat,2,
1009,5,0,6,Current year,July,Sheep/Goat,2,
1010,2,,1,Current year,June,Sheep/Goat,2,
1010,2,,2,Current year,September,Sheep/Goat,1,
1010,3,0,1,.a,.a,Sheep/Goat,7,
1010,4,0,2,Current year,July,Sheep/Goat,3,
1010,4,0,1,Current year,April,Sheep/Goat,3,
1010,4,0,3,Current year,September,Sheep/Goat,1,
1012,1,,2,Current year,May,Sheep/Goat,2,
1012,1,,1,Previous year,December,Cattle,1,
1012,7,,1,2020,October,Goat,1,1
1013,1,,1,Current year,June,Sheep/Goat,2,
1013,2,,1,Current year,May,Sheep/Goat,2,
1013,3,0,2,Current year,September,Sheep/Goat,1,
1013,3,0,1,Current year,June,Sheep/Goat,4,
1013,4,0,1,Current year,May,Sheep/Goat,2,
1013,6,0,1,Current year,March,Sheep/Goat,4,
1013,6,0,2,Current year,July,Sheep/Goat,1,
1013,7,,1,2019,January,Goat,2,2
1013,7,,2,2019,January,Goat,2,2
1013,7,,1,2019,January,Sheep,1,1
1014,5,0,2,Current year,June,Sheep/Goat,1,
1014,5,0,1,Previous year,November,Cattle,1,
1014,5,0,3,Current year,July,Sheep/Goat,1,
1014,6,0,3,Current year,July,Sheep/Goat,1,
1014,6,0,2,Current year,April,Sheep/Goat,1,
1014,6,0,1,Current year,June,Cattle,1,
1015,7,,1,2020,August,Goat,2,1
1016,3,0,1,.a,.a,Sheep/Goat,1,
1016,3,0,2,.a,.a,Sheep/Goat,1,
1016,4,0,1,Previous year,November,Sheep/Goat,1,
1016,5,0,1,Current year,September,Sheep/Goat,1,
1016,7,,1,2020,July,Goat,1,1
1017,2,,1,Current year,May,Sheep/Goat,1,
1017,3,0,1,Current year,August,Sheep/Goat,1,
1017,4,0,1,Previous year,October,Sheep/Goat,1,
1017,5,0,1,Current year,January,Sheep/Goat,1,
1017,5,0,2,Current year,July,Sheep/Goat,1,
1018,2,,1,Current year,June,Sheep/Goat,2,
1018,5,0,1,Current year,March,Cattle,1,
1018,6,0,1,Current year,June,Cattle,1,
1019,3,0,1,Previous year,November,Cattle,1,
1019,4,0,1,Current year,August,Cattle,2,
1019,5,0,1,Current year,March,Cattle,1,
1019,7,,1,2020,November,Goat,1,1
1020,1,,1,Current year,March,Cattle,1,
1020,2,,1,Current year,February,Cattle,2,
1020,2,,3,Current year,June,Sheep/Goat,1,
1020,2,,2,Current year,May,Cattle,2,
