hhid,round,comment,s6q49a,s6q49b,s6q50,s6q51,s6q52,s6q52b,s6q52c,s6q52d,s6q52e,slaughterevent
1003,1,,2009,5,Goat/Sheep,1, Household consumption,,,,,1
1006,1,,2009,9,Goat/Sheep,1, Ceremony/guests,,,,,2
1006,1,,2009,7,Goat/Sheep,1, Ceremony/guests,,,,,1
1006,7,,2020,4,Goat,1, Ceremony/guests,,1,,5000,1
1008,7,,2020,9,Goat,1, Ceremony/guests,,1,,8000,1
1009,4,0,2012,4,Goat/Sheep,1, Ceremony/guests,,,,,1
1009,4,0,2012,5,Goat/Sheep,2, Ceremony/guests,,,,,2
1012,7,,2020,6,Sheep,3, Ceremony/guests,,3,,4000,1
1012,7,,2019,2,Sheep,3, Ceremony/guests,,3,,4000,2
1012,7,,2020,6,Sheep,3, Ceremony/guests,,3,,4000,3
1013,3,0,2011,8,Goat/Sheep,1, Ceremony/guests,,,,,1
1018,1,,2009,9,Goat/Sheep,1, Ceremony/guests,,,,,1
1022,7,,2019,1,Goat,1, Ceremony/guests,,1,,6000,1
1023,1,,2009,8, Cattle,2,Other (specify),DEATH OF FAMILY HEAD,,,,1
1024,1,,2009,8,Goat/Sheep,3,Other (specify),DEATH OF OWNER,,,,2
1024,1,,2009,9,Goat/Sheep,1,Other (specify),DEATH OFNEPHEW,,,,3
1024,1,,2009,8, Cattle,2,Other (specify),DEATH OF OWNER,,,,1
1024,6,0,2015,7,Goat/Sheep,1, Ceremony/guests,,,,,1
1025,1,,2009,9,Goat/Sheep,1, Household consumption,,,,,2
1025,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,1
1025,5,0,2013,8,Goat/Sheep,1, Household consumption,,,,,3
1025,5,0,2013,9,Goat/Sheep,1, Ceremony/guests,,,,,1
1025,5,0,2013,3,Goat/Sheep,1, Ceremony/guests,,,,,2
1025,6,0,2015,8,Goat/Sheep,1, Ceremony/guests,,,,,1
1025,6,0,2015,2,Goat/Sheep,1, Household consumption,,,,,2
1025,7,,2020,5,Goat,2, Ceremony/guests,,2,,6000,1
1025,7,,2020,11,Goat,2, Ceremony/guests,,2,,3000,2
1029,1,,2009,7,Goat/Sheep,2, Household consumption,,,,,1
1031,3,0,2010,12, Cattle,1, Ceremony/guests,,,,,1
1032,3,0,2011,4,Goat/Sheep,1, Household consumption,,,,,1
1033,3,0,2011,3,Goat/Sheep,2, Ceremony/guests,,,,,1
1033,4,0,2012,1,Goat/Sheep,2, Animals would have died,,,,,1
1033,6,0,2015,4,Goat/Sheep,3, Ceremony/guests,,,,,1
1034,2,,2010,4, Cattle,1, Ceremony/guests,,,,,1
1034,7,,2020,11,Goat,2, Ceremony/guests,,2,,6000,2
1034,7,,2020,6,Goat,2, Ceremony/guests,,2,,5000,1
1035,4,0,2011,12,Goat/Sheep,2, Ceremony/guests,,,,,1
1037,7,,2020,9,Goat,1, Ceremony/guests,,1,,8000,1
1039,1,,2009,3,Goat/Sheep,1, Ceremony/guests,,,,,1
1039,7,,2020,12,Goat,2, Ceremony/guests,,1,,14000,1
1039,7,,2020,12, Cattle,1, Ceremony/guests,,1,,34000,1
1043,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,2
1043,1,,2009,7,Goat/Sheep,1, Household consumption,,,,,1
1043,3,0,2011,7,Goat/Sheep,1, Animals would have died,,,,,3
1043,3,0,2011,3,Goat/Sheep,2, Ceremony/guests,,,,,2
1043,3,0,2011,1,Goat/Sheep,1, Household consumption,,,,,1
1047,4,0,2012,9,Goat/Sheep,1, Household consumption,,,,,2
1047,4,0,2012,5,Goat/Sheep,1, Ceremony/guests,,,,,1
1047,5,0,2013,4,Goat/Sheep,1, Ceremony/guests,,,,,1
2001,7,,2020,7, Cattle,2, Animals would have died,,1,,54000,1
2002,1,,2008,12,Goat/Sheep,1, Household consumption,,,,,2
2002,1,,2008,11,Goat/Sheep,1, Ceremony/guests,,,,,1
2002,1,,2009,9,Goat/Sheep,1, Household consumption,,,,,3
2002,2,,2010,9,Goat/Sheep,1, Ceremony/guests,,,,,2
2002,2,,2010,5,Goat/Sheep,1, Household consumption,,,,,1
2002,6,0,2015,1,Goat/Sheep,1, Household consumption,,,,,3
2002,6,0,2015,7,Goat/Sheep,1, Ceremony/guests,,,,,2
2002,6,0,2015,9,Goat/Sheep,1, Ceremony/guests,,,,,1
2003,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,6
2003,1,,2009,6,Goat/Sheep,1, Household consumption,,,,,4
2003,1,,2009,2,Goat/Sheep,2, Household consumption,,,,,2
2003,1,,2008,12,Goat/Sheep,1, Household consumption,,,,,1
2003,1,,2009,5,Goat/Sheep,2, Household consumption,,,,,3
2003,1,,2009,9,Goat/Sheep,3, Household consumption,,,,,7
2003,1,,2009,7,Goat/Sheep,2, Household consumption,,,,,5
2003,2,,2010,4,Goat/Sheep,1, Ceremony/guests,,,,,1
2003,7,,2020,5,Goat,1, Animals would have died,,1,,2000,1
2005,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,2
2005,1,,2009,6,Goat/Sheep,1, Household consumption,,,,,1
2005,2,,2010,9,Goat/Sheep,1, Household consumption,,,,,1
2005,3,0,2011,8,Goat/Sheep,2, Ceremony/guests,,,,,2
2005,3,0,2011,6,Goat/Sheep,1, Household consumption,,,,,1
2005,7,,2019,1,Goat,1, Ceremony/guests,,1,,4500,1
2007,5,0,2012,12,Goat/Sheep,1, Ceremony/guests,,,,,1
2009,1,,2009,8, Cattle,1, Ceremony/guests,,,,,1
2009,7,,2020,6,Goat,2, Ceremony/guests,,1,,8000,1
2011,7,,2020,11, Cattle,1, Ceremony/guests,,1,,28000,1
2011,7,,2020,11,Goat,4, Ceremony/guests,,1,,28000,1
2012,4,0,2012,4,Goat/Sheep,1,For sale,,,,,2
2012,4,0,2011,12,Goat/Sheep,1,For sale,,,,,1
2012,4,0,2012,7,Goat/Sheep,1,For sale,,,,,3
2012,5,0,2013,9,Goat/Sheep,1, Household consumption,,,,,1
2016,3,0,2011,7,Goat/Sheep,1, Ceremony/guests,,,,,1
2016,7,,2020,11,Goat,1, Ceremony/guests,,1,,4000,1
2017,1,,2008,12,Goat/Sheep,1, Ceremony/guests,,,,,1
2017,1,,2009,6,Goat/Sheep,1, Household consumption,,,,,2
2017,2,,2010,1,Goat/Sheep,1, Household consumption,,,,,1
2019,7,,2020,10,Goat,2, Ceremony/guests,,2,,6000,1
2019,7,,2020,12,Goat,2, Ceremony/guests,,2,,5000,2
2021,4,0,2012,3,Goat/Sheep,2, Ceremony/guests,,,,,1
2021,7,,2020,12,Goat,1, Household consumption,,1,,5000,1
2022,2,,2010,5,Goat/Sheep,1, Animals would have died,,,,,1
2022,4,0,2012,8,Goat/Sheep,1, Ceremony/guests,,,,,1
2022,5,0,2013,7,Goat/Sheep,3, Ceremony/guests,,,,,2
2022,5,0,2013,3,Goat/Sheep,2, Household consumption,,,,,1
2023,6,0,2015,9,Goat/Sheep,1, Ceremony/guests,,,,,1
2024,2,,2010,6, Cattle,1, Ceremony/guests,,,,,1
2025,1,,2009,8,Goat/Sheep,1, Ceremony/guests,,,,,3
2025,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,2
2025,1,,2009,3,Goat/Sheep,1, Household consumption,,,,,1
2025,2,,2010,5,Goat/Sheep,3, Ceremony/guests,,,,,3
2025,2,,2010,2,Goat/Sheep,1, Household consumption,,,,,1
2025,2,,2010,4,Goat/Sheep,1, Household consumption,,,,,2
2025,4,0,2012,7,Goat/Sheep,1, Animals would have died,,,,,1
2025,5,0,2013,8,Goat/Sheep,1, Ceremony/guests,,,,,2
2025,5,0,2013,2,Goat/Sheep,2, Ceremony/guests,,,,,1
2025,6,0,2015,7,Goat/Sheep,1, Ceremony/guests,,,,,1
2025,7,,2020,11,Goat,1, Household consumption,,1,,4000,1
2025,7,,2020,7,Sheep,1, Household consumption,,1,,4000,1
2026,7,,2020,7,Goat,2, Ceremony/guests,,1,,10000,1
2027,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,2
2027,1,,2009,6,Goat/Sheep,2, Animals would have died,,,,,1
2027,2,,2010,8,Goat/Sheep,1, Ceremony/guests,,,,,1
2027,4,0,2012,6,Goat/Sheep,1, Ceremony/guests,,,,,1
2027,5,0,2013,9,Goat/Sheep,1, Household consumption,,,,,1
2028,7,,2020,8,Goat,3, Ceremony/guests,,3,,5000,2
2028,7,,2020,8, Cattle,2, Ceremony/guests,,1,,80000,1
2028,7,,2019,3,Goat,3, Ceremony/guests,,3,,5000,1
2028,7,,2020,6,Goat,3, Household consumption,,3,,5000,3
2029,4,0,2012,4, Cattle,1, Ceremony/guests,,,,,1
2029,6,0,2015,5, Cattle,1, Ceremony/guests,,,,,1
2030,7,,2019,1,Goat,2, Household consumption,,1,,10000,1
2031,4,0,2012,1,Goat/Sheep,2, Ceremony/guests,,,,,1
2031,4,0,2012,9,Goat/Sheep,1, Household consumption,,,,,2
2031,5,0,2013,1,Goat/Sheep,1, Ceremony/guests,,,,,1
2031,5,0,2013,9,Goat/Sheep,1, Ceremony/guests,,,,,2
2031,6,0,2015,9,Goat/Sheep,1, Ceremony/guests,,,,,1
2031,6,0,2015,4,Goat/Sheep,1, Ceremony/guests,,,,,2
2031,7,,2020,9,Goat,1, Household consumption,,1,,5000,1
2032,4,0,2011,11,Goat/Sheep,1, Household consumption,,,,,1
2032,6,0,2015,8,Goat/Sheep,1, Household consumption,,,,,1
2034,1,,2008,.a,Goat/Sheep,8, Household consumption,,,,,1
2034,2,,2010,5,Goat/Sheep,1, Household consumption,,,,,2
