hhid,round,comment,s7q1a,s7q1a2,s7q1b,s7q1b2,s7q1c,s7q1c2,s7q2,s7q4a,s7q4a2,s7q4b,s7q4b2,s7q5a,s7q5a2,s7q5b,s7q5b2,s7q5c,s7q5c2,s7q5d,s7q5d2,s7q5e,s7q5e2,s7q5f,s7q5f2,s7q6,s7q6a,s7q6b,s7q6c,s7q6d,s7q6e,s7q7,s7q8a,s7q8b,s7q8c,s7q8d,s7q8e,s7q8f,s7q8g,s7q8h,s7q8i,s7q8j,s7q8_other,s7q9_1,s7q9_2,s7q9_3
1002,1,,Lack of rain and forage availability,,Raiding,,Other (specify),NO FIRM MARKETING,Above normal,Ploughing,,Source of food from milk,,Casual labor,,Casual labor,,Crop cultivation,,Casual labor,,Casual labor,,Casual labor,,.15000001,,,,,,,,,,,,,,,,,,,,
1002,2,,,,,,,,Normal,Source of income from selling milk,,Source of food from milk,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,2,4,1,1,,,,,,,,,,,,,,,,
1002,3,0,,,,,,,Normal,Source of income from selling milk,,Source of household saving and status,,Business owner,,Crop cultivation,,Livestock keeping,,Livestock keeping,,,,,,,0,1,3,4,,,,,,,,,,,,,,,,
1002,4,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Other (specify),NGO CONTRACT,Crop cultivation,,Other (specify),NGO CONTRACT,Livestock keeping,,,,,,,2,3,3,4,,,,,,,,,,,,,,,,
1002,5,0,,,,,,,Somewhat below normal,Source of food from milk,,Ploughing,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,,,,,,3,8,10,9,,No,,,,,,,,,,,,,,
1002,6,0,,,,,,,Somewhat below normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,No,No,No,No,No,No,Yes,No,No,,,,
1003,1,,Lack of rain and forage availability,,Raiding,,Disease outbreak,,Above normal,Source of food from milk,,Source of food from meat and blood,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,.34999999,,,,,,,,,,,,,,,,,,,,
1003,2,,,,,,,,Much below normal,Source of household saving and status,,No second role,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,9,12,6,6,,,,,,,,,,,,,,,,
1003,3,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Petty trading,,Crop cultivation,,Petty trading,,Crop cultivation,,,,,,,0,0,2,4,,,,,,,,,,,,,,,,
1003,4,0,,,,,,,Somewhat below normal,Source of food from milk,,Source of income from selling livestock,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,2,3,2,4,,,,,,,,,,,,,,,,
1003,5,0,,,,,,,Much below normal,Ploughing,,Source of household saving and status,,Crop cultivation,,Crop cultivation,,Livestock keeping,,Crop cultivation,,,,,,,1,3,4,2,,No,,,,,,,,,,,,,,
1003,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,No,No,No,,,,
1004,1,,Lack of rain and forage availability,,Raiding,,Disease outbreak,,Normal,Source of food from milk,,Ploughing,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,.44999999,,,,,,,,,,,,,,,,,,,,
1004,2,,,,,,,,Much below normal,Do not own livestock,,Source of income from livestock trading,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,6,8,3,3,,,,,,,,,,,,,,,,
1004,3,0,,,,,,,Much above normal,Source of household saving and status,,Source of food from milk,,Cash transfers (CARE),,Cash transfers (CARE),,Cash transfers (CARE),,Cash transfers (CARE),,,,,,,0,0,1,1,,,,,,,,,,,,,,,,
1004,4,0,,,,,,,Above normal,Source of household saving and status,,Source of income from selling livestock,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1004,5,0,,,,,,,Much below normal,Source of food from milk,,Source of household saving and status,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,5,10,5,10,,No,,,,,,,,,,,,,,
1004,6,0,,,,,,,Above normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,No,No,No,No,No,No,Yes,No,No,,,,
1005,1,,Lack of rain and forage availability,,Raiding,,Disease outbreak,,Normal,Source of household saving and status,,Source of household saving and status,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,Crop cultivation,,Crop cultivation,,.40000001,,,,,,,,,,,,,,,,,,,,
1005,2,,,,,,,,Much below normal,Source of household saving and status,,Source of household saving and status,,Petty trading,,Petty trading,,Petty trading,,Petty trading,,,,,,,8,12,6,6,,,,,,,,,,,,,,,,
