hhid,round,comment,shock,s7q10,s7q10a,s7q12,s7q13,s7q14
1002,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within the same season (In a few months)
1002,6,0,Flood,No,,,,
1002,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within a month
1002,6,0,Crop disease or pest,Yes,,Short dry season (Jan-Feb current year),Large effect,Within the same season (In a few months)
1002,6,0,Loss/sickness of a member of your household,No,,,,
1002,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1002,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
1002,6,0,Other (specify),No,,,,
1003,6,0,Drought,No,,,,
1003,6,0,Flood,No,,,,
1003,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1003,6,0,Crop disease or pest,No,,,,
1003,6,0,Loss/sickness of a member of your household,No,,,,
1003,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1003,6,0,Food price increase,No,,,,
1003,6,0,Other (specify),No,,,,
1004,6,0,Drought,No,,,,
1004,6,0,Flood,No,,,,
1004,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1004,6,0,Crop disease or pest,No,,,,
1004,6,0,Loss/sickness of a member of your household,No,,,,
1004,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1004,6,0,Food price increase,No,,,,
1004,6,0,Other (specify),No,,,,
1005,6,0,Drought,No,,,,
1005,6,0,Flood,No,,,,
1005,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Long dry season (Jun-Sep current year),Large effect,More than a year (not fully recovered)
1005,6,0,Crop disease or pest,Yes,,Long dry season (Jun-Sep current year),Moderate effect,Within the same season (In a few months)
1005,6,0,Loss/sickness of a member of your household,No,,,,
1005,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1005,6,0,Food price increase,No,,,,
1005,6,0,Other (specify),No,,,,
1006,6,0,Drought,No,,,,
1006,6,0,Flood,No,,,,
1006,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1006,6,0,Crop disease or pest,No,,,,
1006,6,0,Loss/sickness of a member of your household,No,,,,
1006,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1006,6,0,Food price increase,No,,,,
1006,6,0,Other (specify),No,,,,
1007,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within two seasons (about half a year)
1007,6,0,Flood,No,,,,
1007,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1007,6,0,Crop disease or pest,No,,,,
1007,6,0,Loss/sickness of a member of your household,No,,,,
1007,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1007,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Large effect,About one year
1007,6,0,Other (specify),No,,,,
1008,6,0,Drought,No,,,,
1008,6,0,Flood,No,,,,
1008,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1008,6,0,Crop disease or pest,No,,,,
1008,6,0,Loss/sickness of a member of your household,No,,,,
1008,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1008,6,0,Food price increase,No,,,,
1008,6,0,Other (specify),No,,,,
1009,6,0,Drought,No,,,,
1009,6,0,Flood,No,,,,
1009,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Long rainy season (Mar-May current year),Moderate effect,Within the same season (In a few months)
1009,6,0,Crop disease or pest,Yes,,Short dry season (Jan-Feb current year),Mild effect,Within the same season (In a few months)
1009,6,0,Loss/sickness of a member of your household,No,,,,
1009,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1009,6,0,Food price increase,No,,,,
1009,6,0,Other (specify),No,,,,
1010,6,0,Drought,No,,,,
1010,6,0,Flood,No,,,,
1010,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1010,6,0,Crop disease or pest,No,,,,
1010,6,0,Loss/sickness of a member of your household,No,,,,
1010,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1010,6,0,Food price increase,No,,,,
1010,6,0,Other (specify),No,,,,
1011,6,0,Drought,No,,,,
1011,6,0,Flood,No,,,,
1011,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1011,6,0,Crop disease or pest,No,,,,
1011,6,0,Loss/sickness of a member of your household,No,,,,
1011,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1011,6,0,Food price increase,No,,,,
1011,6,0,Other (specify),No,,,,
1012,6,0,Drought,No,,,,
1012,6,0,Flood,No,,,,
1012,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1012,6,0,Crop disease or pest,No,,,,
1012,6,0,Loss/sickness of a member of your household,No,,,,
1012,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1012,6,0,Food price increase,No,,,,
1012,6,0,Other (specify),No,,,,
1013,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within two seasons (about half a year)
1013,6,0,Flood,No,,,,
1013,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1013,6,0,Crop disease or pest,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
1013,6,0,Loss/sickness of a member of your household,No,,,,
1013,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1013,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within two seasons (about half a year)
1013,6,0,Other (specify),No,,,,
1014,6,0,Drought,No,,,,
1014,6,0,Flood,No,,,,
1014,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Long dry season (Jun-Sep current year),Large effect,Within the same season (In a few months)
1014,6,0,Crop disease or pest,Yes,,Short dry season (Jan-Feb current year),Moderate effect,About one year
1014,6,0,Loss/sickness of a member of your household,No,,,,
1014,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1014,6,0,Food price increase,No,,,,
1014,6,0,Other (specify),No,,,,
1015,6,0,Drought,No,,,,
1015,6,0,Flood,No,,,,
1015,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1015,6,0,Crop disease or pest,No,,,,
1015,6,0,Loss/sickness of a member of your household,No,,,,
1015,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1015,6,0,Food price increase,No,,,,
1015,6,0,Other (specify),No,,,,
1016,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within the same season (In a few months)
1016,6,0,Flood,No,,,,
1016,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short dry season (Jan-Feb current year),Moderate effect,Within the same season (In a few months)
1016,6,0,Crop disease or pest,No,,,,
1016,6,0,Loss/sickness of a member of your household,No,,,,
1016,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1016,6,0,Food price increase,No,,,,
1016,6,0,Other (specify),No,,,,
1017,6,0,Drought,Yes,,Short dry season (Jan-Feb current year),Mild effect,Within two seasons (about half a year)
1017,6,0,Flood,No,,,,
1017,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1017,6,0,Crop disease or pest,No,,,,
1017,6,0,Loss/sickness of a member of your household,No,,,,
1017,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1017,6,0,Food price increase,No,,,,
1017,6,0,Other (specify),No,,,,
1018,6,0,Drought,No,,,,
1018,6,0,Flood,No,,,,
1018,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1018,6,0,Crop disease or pest,No,,,,
1018,6,0,Loss/sickness of a member of your household,No,,,,
1018,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1018,6,0,Food price increase,No,,,,
1018,6,0,Other (specify),No,,,,
1019,6,0,Drought,No,,,,
1019,6,0,Flood,No,,,,
1019,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
1019,6,0,Crop disease or pest,No,,,,
1019,6,0,Loss/sickness of a member of your household,No,,,,
1019,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1019,6,0,Food price increase,No,,,,
1019,6,0,Other (specify),No,,,,
1021,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
1021,6,0,Flood,No,,,,
1021,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Long dry season (Jun-Sep current year),Mild effect,More than a year (not fully recovered)
1021,6,0,Crop disease or pest,Yes,,Short dry season (Jan-Feb current year),Moderate effect,Within the same season (In a few months)
1021,6,0,Loss/sickness of a member of your household,No,,,,
1021,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1021,6,0,Food price increase,No,,,,
1021,6,0,Other (specify),No,,,,
1022,6,0,Drought,No,,,,
1022,6,0,Flood,No,,,,
1022,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1022,6,0,Crop disease or pest,No,,,,
1022,6,0,Loss/sickness of a member of your household,No,,,,
1022,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1022,6,0,Food price increase,No,,,,
1022,6,0,Other (specify),No,,,,
1023,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
1023,6,0,Flood,No,,,,
1023,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1023,6,0,Crop disease or pest,No,,,,
1023,6,0,Loss/sickness of a member of your household,No,,,,
1023,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1023,6,0,Food price increase,No,,,,
1023,6,0,Other (specify),No,,,,
1024,6,0,Drought,No,,,,
1024,6,0,Flood,No,,,,
1024,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1024,6,0,Crop disease or pest,No,,,,
1024,6,0,Loss/sickness of a member of your household,No,,,,
1024,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1024,6,0,Food price increase,No,,,,
1024,6,0,Other (specify),No,,,,
1025,6,0,Drought,No,,,,
1025,6,0,Flood,No,,,,
1025,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1025,6,0,Crop disease or pest,No,,,,
1025,6,0,Loss/sickness of a member of your household,No,,,,
1025,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1025,6,0,Food price increase,No,,,,
1025,6,0,Other (specify),No,,,,
1026,6,0,Drought,No,,,,
1026,6,0,Flood,No,,,,
1026,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Long rainy season (Mar-May current year),Moderate effect,Within the same season (In a few months)
1026,6,0,Crop disease or pest,Yes,,Short dry season (Jan-Feb current year),Mild effect,Within the same season (In a few months)
1026,6,0,Loss/sickness of a member of your household,No,,,,
1026,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
1026,6,0,Food price increase,No,,,,
1026,6,0,Other (specify),No,,,,
1027,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within two seasons (about half a year)
1027,6,0,Flood,No,,,,
1027,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1027,6,0,Crop disease or pest,No,,,,
1027,6,0,Loss/sickness of a member of your household,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within two seasons (about half a year)
1027,6,0,Loss/sickness of someone who is not a member of your household,Yes,,Short rainy season (Oct-Dec previous year),Large effect,More than a year (not fully recovered)
1027,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Large effect,About one year
1027,6,0,Other (specify),No,,,,
1029,6,0,Drought,No,,,,
1029,6,0,Flood,No,,,,
1029,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
1029,6,0,Crop disease or pest,No,,,,
1029,6,0,Loss/sickness of a member of your household,No,,,,
