hhid,round,s81,s82,s83
1002,7,Maize,600,40
1002,7,Beans,300,100
1003,7,Beans,1,50
1003,7,Maize,250,30
1006,7,Other,5,100
1007,7,Maize,3,50
1008,7,Beans,100,100
1008,7,Maize,200,60
1009,7,Maize,50,60
1009,7,Beans,0,100
1012,7,Maize,150,30
1013,7,Maize,150,70
1014,7,Beans,50,100
1014,7,Maize,400,50
1018,7,Maize,540,30
1018,7,Beans,0,100
1020,7,Beans,100,100
1020,7,Maize,600,40
1025,7,Beans,250,120
1025,7,Maize,350,60
1026,7,Beans,60,50
1026,7,Maize,360,30
1039,7,Kale,0,.a
1039,7,Maize,1200,25
1042,7,Beans,50,100
1042,7,Maize,0,40
1045,7,Beans,0,80
1045,7,Maize,0,40
2002,7,Maize,250,30
2002,7,Beans,50,100
2003,7,Maize,50,40
2003,7,Beans,0,100
2004,7,Beans,0,100
2004,7,Maize,0,50
2005,7,Maize,150,100
2007,7,Maize,300,100
2007,7,Beans,350,50
2009,7,Beans,100,60
2010,7,Maize,3,40
2011,7,Maize,200,50
2011,7,Beans,40,100
2012,7,Beans,20,100
2012,7,Maize,50,30
2015,7,Beans,0,90
2015,7,Maize,0,40
2016,7,Beans,40,100
2016,7,Maize,270,30
2017,7,Maize,0,40
2020,7,Maize,30,40
2020,7,Beans,7,50
2023,7,Maize,100,35
2024,7,Beans,0,100
2024,7,Maize,0,50
2025,7,Maize,700,30
2025,7,Beans,400,80
2027,7,Beans,70,100
2027,7,Maize,250,40
2028,7,Maize,10,40
2028,7,Beans,8,40
2029,7,Beans,100,100
2029,7,Maize,720,50
2031,7,Maize,100,40
2032,7,Beans,50,100
2032,7,Maize,250,50
2034,7,Beans,150,70
2034,7,Maize,200,90
2034,7,Onion,50,50
2035,7,Maize,40,30
2037,7,Maize,250,70
2038,7,Maize,150,70
2043,7,Maize,150,70
2046,7,Beans,0,100
2046,7,Maize,0,25
2049,7,Maize,200,30
2050,7,Maize,50,40
2053,7,Other,0,250
2056,7,Maize,150,50
2056,7,Beans,20,100
2065,7,Maize,500,30
2065,7,Beans,0,50
2068,7,Maize,2700,30
2069,7,Beans,0,100
2069,7,Maize,0,40
2072,7,Beans,15,120
2072,7,Maize,100,30
2072,7,Other,0,250
2074,7,Maize,50,100
2075,7,Maize,0,50
2075,7,Beans,0,100
2076,7,Maize,150,70
2076,7,Beans,100,60
2079,7,Maize,450,70
2082,7,Maize,200,40
2082,7,Beans,5,100
2089,7,Beans,15,100
2089,7,Maize,100,50
2091,7,Maize,300,30
2091,7,Beans,200,80
2093,7,Maize,150,30
2095,7,Maize,150,30
2095,7,Beans,50,80
2096,7,Maize,250,70
2097,7,Maize,0,40
2097,7,Beans,0,100
2100,7,Beans,5,100
2100,7,Maize,40,30
2102,7,Beans,0,100
2102,7,Maize,250,30
2103,7,Maize,150,30
2103,7,Beans,1,40
2106,7,Maize,0,40
2110,7,Maize,150,70
2111,7,Beans,10,100
2111,7,Maize,30,40
2112,7,Maize,0,40
2112,7,Beans,0,100
2114,7,Beans,200,60
2114,7,Maize,150,90
2126,7,Maize,350,40
2126,7,Kale,100,30
2126,7,Beans,50,120
3001,7,Beans,0,100
3001,7,Maize,0,50
3003,7,Beans,150,100
3003,7,Maize,500,40
3008,7,Beans,500,100
3008,7,Maize,1200,40
3009,7,Beans,20,100
3009,7,Maize,15,100
3010,7,Maize,100,40
3010,7,Beans,70,100
3011,7,Maize,20,40
3011,7,Beans,0,100
3013,7,Maize,150,50
3016,7,Other,800,100
3020,7,Other,192,200
3021,7,Maize,200,40
3022,7,Beans,50,100
3022,7,Maize,150,40
3023,7,Beans,250,50
3023,7,Maize,750,30
3026,7,Beans,20,100
3026,7,Maize,100,40
3026,7,Other,20,100
3029,7,Maize,75,30
3031,7,Beans,0,60
3031,7,Maize,0,45
3034,7,Maize,150,50
3034,7,Kale,100,50
3034,7,Beans,100,100
6023,7,Kale,1,50
6028,7,Maize,200,40
6028,7,Beans,50,100
7029,7,Kale,0,50
7029,7,Other,0,50
8002,7,Kale,75,100
8002,7,Maize,50,50
8002,7,Beans,15,110
8003,7,Onion,2,90
8003,7,Kale,3,150
8005,7,Beans,90,100
8005,7,Maize,900,40
8020,7,Beans,10,100
8020,7,Maize,150,50
8025,7,Maize,200,50
8026,7,Beans,50,100
8026,7,Maize,50,50
8034,7,Beans,60,100
8034,7,Maize,180,50
8047,7,Maize,1250,50
8047,7,Beans,25,100
8053,7,Other,20,40
8053,7,Beans,5,100
8055,7,Beans,50,100
8055,7,Maize,250,50
8070,7,Maize,360,50
11064,7,Onion,10,80
11064,7,Other,10,40
11064,7,Kale,20,30
16001,7,Potatoes,2,25
16001,7,Other,1,100
16025,7,Maize,180,50
16036,7,Kale,100,50
16040,7,Other,50,200
