hhid,round,comment,type,direction,s9q2b,s9q2c,s9q2d,s9q3b,s9q4b,s9q5b,transfer_individual_source,transfer_individual_source_other,transferid,value_ld,value_lr,value_sd,value_sr
1002,1,,Cash,Received,2000,Relatives outside household,,0,0,0,,,,,,,
1002,3,0,Cash,Received,0,,,0,0,0,Neighbor/friend,,1,20000,0,2000,2000
1002,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,1500,800,2000,1000
1002,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,1000,0,0,0
1002,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,70,100,150,200
1002,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,150,300,500,200
1002,5,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,2000,0,2000,2000
1002,5,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,4500,4000,4000,3500
1002,5,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,1250,0,500,800
1002,6,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,8000,6000,4000,6000
1002,7,,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,5000,0,0,0
1003,3,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,1000,1000,0,0
1003,3,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,4000,1000,0,0
1003,3,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,424,318,212,318
1003,3,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,3,24,18,12,18
1003,3,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,2,60,45,30,45
1003,3,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,2,60,45,30,45
1003,3,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,3,24,18,12,18
1003,3,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,424,318,212,318
1003,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,800,700,600,800
1003,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,1200,900,1000,1200
1003,4,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,2,900,0,200,0
1003,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,300,400,250,200
1003,6,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,1000,200,0,0
1003,6,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,0,1000,0,0
1003,6,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,600,200,500,0
1004,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,2,2000,1000,500,1000
1004,4,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,8000,6000,4000,6000
1004,4,0,Cash,Received,0,,,0,0,0,Neighbor/friend,,2,0,0,6000,0
1004,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,0,0,2500,0
1004,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,2,600,400,600,500
1004,4,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,900,600,400,800
1004,6,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,2000,1800,1200,800
1004,6,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,5000,2000,0,0
1004,6,0,Cash,Received,0,,,0,0,0,Neighbor/friend,,2,2500,300,0,0
1004,6,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,3000,1500,400,200
1004,6,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,2,2500,1000,200,600
