hhid,round,comment,s9q6a,s9q6b,s9q6c,s9q7a,s9q7b,s9q7c,s9q8a,s9q8b,s9q8c,s9q9,s9q10a,s9q10b,s9q10c,s9q11a,s9q11b,s9q11c,s9q12a,s9q12b,s9q12c,s9q13a,s9q13b,s9q13c,s9q14a,s9q14b,s9q14c,s9q14d,s9q14e,s9q15a,s9q15b,s9q15c,s9q15d,s9q15e,s9q16_1,s9q16_2,s9q16a,s9q16b,s9q16c,s9q16d,s9q16e,s9q16f1,s9q16f2,s9q17a,s9q17b,s9q17c,s9q17d,s9q17e,s9q18a,s9q18b,s9q18c,s9q18d,s9q18e,s9q19a,s9q19b,s9q19c,s9q19d,s9q19e,s9q20a,s9q20b,s9q20c,s9q20d,s9q20e,s9q21a,s9q21b,s9q21c,s9q21d,s9q21e,s9q22a,s9q22b,s9q22c,s9q22d,s9q22e,s9q23a,s9q23b,s9q23c,s9q23d,s9q23e,s9q24a,s9q24b,s9q24c,s9q24d,s9q24e,s9q25a,s9q25b
1002,1,,Yes,8,580,Yes,9,3600,Yes,8,100,No,,,,,,,,,,,,,No,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,2,,Yes,10,860,Yes,8,2640,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,3,0,Yes,7,12000,Yes,9,7500,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,4,0,Yes,3,800,Yes,5,5500,No,,,No,,,,,,,,,,,,,Yes,14000,0,0,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,5,0,No,,,Yes,9,2200,No,,,No,,,,,,,,,,,,,No,,,,,Yes,0,300,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,6,0,No,,,Yes,8,600,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,Yes,Yes,Yes,8000,4000,4000,8000,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1002,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,1,,Yes,6,960,Yes,9,900,No,,,No,,,,,,,,,,,,,No,0,0,0,0,Yes,2150,2150,0,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,2,,Yes,10,780,Yes,8,660,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,3,0,Yes,8,1875,Yes,8,1500,No,,,No,,,,,,,,,,,,,No,,,,,Yes,1000,0,0,0,,,Yes,4300,2150,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,4,0,No,,,Yes,7,7700,No,,,Yes,Food,,,1,,,13,,,300,,,Yes,8200,0,0,0,No,,,,,,,Yes,3500,3500,3500,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,5,0,No,,,Yes,5,1100,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,6,0,No,,,Yes,0,0,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,10000,3500,0,0,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1003,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,1,,Yes,6,428,Yes,9,2700,Yes,12,200,No,,,,,,,,,,,,,No,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,2,,No,,,Yes,8,1320,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,3,0,Yes,8,815,Yes,10,4500,No,,,No,,,,,,,,,,,,,No,,,,,Yes,500,0,0,0,,,Yes,4300,2150,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,4,0,No,,,No,,,No,,,No,,,,,,,,,,,,,Yes,11000,0,0,0,No,,,,,,,Yes,3500,3500,3500,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,5,0,No,,,Yes,3,100,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,3500,7000,7000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,6,0,No,,,Yes,6,1980,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,0,0,0,0,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1004,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,1,,Yes,6,852,Yes,9,1800,No,,,No,,,,,,,,,,,,,No,0,0,0,0,Yes,2150,2150,0,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,2,,Yes,10,840,Yes,8,660,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,3,0,Yes,10,2000,Yes,9,2200,No,,,No,,,,,,,,,,,,,Yes,800,600,400,600,No,,,,,,,Yes,6400,2150,2150,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,4,0,Yes,3,2000,Yes,8,8800,No,,,Yes,Food,,,2,,,14,,,250,,,Yes,12000,0,0,0,Yes,0,500,0,0,,,Yes,3500,3500,3500,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,5,0,No,,,Yes,9,2200,No,,,No,,,,,,,,,,,,,No,,,,,Yes,500,300,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
