hhid,round,gps_latitude,gps_longitude
1002,1,2.5,38.299999
1002,2,2.5,38.299999
1002,3,2.5,38.299999
1002,5,2.5,38.299999
1002,7,2.5,38.299999
1002,7,2.5,38.299999
1002,7,2.5,38.299999
1002,7,2.5,38.299999
1002,7,2.5,38.299999
1002,7,2.5,38.299999
1002,7,2.3,38.0
1003,1,2.5999999,38.200001
1003,2,2.5999999,38.200001
1003,3,2.5999999,38.200001
1003,5,2.5999999,38.200001
1003,7,2.5999999,38.200001
1003,7,2.5999999,38.200001
1003,7,2.5999999,38.200001
1003,7,2.5999999,38.200001
1003,7,2.5999999,38.200001
1003,7,2.5999999,38.200001
1003,7,2.3,38.0
1004,1,2.5999999,38.099998
1004,2,2.5999999,38.099998
1004,3,2.5999999,38.099998
1004,5,2.5999999,38.099998
1004,7,2.5999999,38.099998
1004,7,2.5999999,38.099998
1004,7,2.5999999,38.099998
1004,7,2.5999999,38.099998
1004,7,2.5999999,38.099998
1004,7,2.5999999,38.099998
1004,7,2.3,38.0
1005,1,2.5999999,38.200001
1005,2,2.5999999,38.200001
1005,3,2.5999999,38.200001
1005,5,2.5999999,38.200001
1005,7,2.5999999,38.200001
1005,7,2.5999999,38.200001
1005,7,2.5999999,38.200001
1005,7,2.5999999,38.200001
1005,7,2.5999999,38.200001
1005,7,2.5999999,38.200001
1005,7,2.3,38.0
1006,1,2.4000001,38.200001
1006,2,2.4000001,38.200001
1006,3,2.4000001,38.200001
1006,5,2.4000001,38.200001
1006,7,2.4000001,38.200001
1006,7,2.4000001,38.200001
1006,7,2.4000001,38.200001
1006,7,2.4000001,38.200001
1006,7,2.4000001,38.200001
1006,7,2.4000001,38.200001
1006,7,2.3,38.0
1007,1,2.5999999,38.0
1007,2,2.5999999,38.0
1007,3,2.5999999,38.0
1007,5,2.5999999,38.0
1007,7,2.5999999,38.0
1007,7,2.5999999,38.0
1007,7,2.5999999,38.0
1007,7,2.5999999,38.0
1007,7,2.5999999,38.0
1007,7,2.5999999,38.0
1007,7,2.3,38.0
1008,1,2.4000001,38.099998
1008,2,2.4000001,38.099998
1008,3,2.4000001,38.099998
1008,5,2.4000001,38.099998
1008,7,2.4000001,38.099998
1008,7,2.4000001,38.099998
1008,7,2.4000001,38.099998
1008,7,2.4000001,38.099998
1008,7,2.4000001,38.099998
1008,7,2.4000001,38.099998
1008,7,2.3,38.0
1009,1,2.4000001,38.099998
1009,2,2.4000001,38.099998
1009,3,2.4000001,38.099998
1009,5,2.4000001,38.099998
1009,7,2.4000001,38.099998
1009,7,2.4000001,38.099998
1009,7,2.4000001,38.099998
1009,7,2.4000001,38.099998
1009,7,2.4000001,38.099998
1009,7,2.4000001,38.099998
1009,7,2.3,38.0
1010,1,2.4000001,38.200001
1010,2,2.4000001,38.200001
1010,3,2.4000001,38.200001
1010,5,2.4000001,38.200001
1010,7,2.4000001,38.200001
1010,7,2.4000001,38.200001
1010,7,2.4000001,38.200001
1010,7,2.4000001,38.200001
1010,7,2.4000001,38.200001
1010,7,2.4000001,38.200001
1010,7,2.3,38.0
1011,1,2.4000001,38.200001
1011,2,2.4000001,38.200001
1011,3,2.4000001,38.200001
1011,5,2.4000001,38.200001
1011,7,2.4000001,38.200001
1011,7,2.4000001,38.200001
1011,7,2.4000001,38.200001
1011,7,2.4000001,38.200001
1011,7,2.4000001,38.200001
1011,7,2.4000001,38.200001
1011,7,2.3,38.0
1012,1,2.4000001,38.200001
1012,2,2.4000001,38.200001
1012,3,2.4000001,38.200001
1012,5,2.4000001,38.200001
1012,7,2.4000001,38.200001
1012,7,2.4000001,38.200001
1012,7,2.4000001,38.200001
1012,7,2.4000001,38.200001
1012,7,2.4000001,38.200001
1012,7,2.4000001,38.200001
1012,7,2.3,38.0
1013,1,2.4000001,38.200001
1013,2,2.4000001,38.200001
1013,3,2.4000001,38.200001
1013,5,2.4000001,38.200001
1013,7,2.4000001,38.200001
1013,7,2.4000001,38.200001
1013,7,2.4000001,38.200001
1013,7,2.4000001,38.200001
1013,7,2.4000001,38.200001
1013,7,2.4000001,38.200001
1013,7,2.3,38.0
1014,1,2.4000001,38.200001
1014,2,2.4000001,38.200001
1014,3,2.4000001,38.200001
1014,5,2.4000001,38.200001
1014,7,2.4000001,38.200001
1014,7,2.4000001,38.200001
1014,7,2.4000001,38.200001
1014,7,2.4000001,38.200001
1014,7,2.4000001,38.200001
1014,7,2.4000001,38.200001
1014,7,2.3,38.0
1015,1,2.4000001,38.200001
1015,2,2.4000001,38.200001
1015,3,2.4000001,38.200001
1015,5,2.4000001,38.200001
1015,7,2.4000001,38.200001
1015,7,2.4000001,38.200001
1015,7,2.4000001,38.200001
1015,7,2.4000001,38.200001
1015,7,2.4000001,38.200001
1015,7,2.4000001,38.200001
1015,7,2.3,38.0
1016,1,2.5,38.200001
1016,2,2.5,38.200001
1016,3,2.5,38.200001
1016,5,2.5,38.200001
1016,7,2.5,38.200001
1016,7,2.5,38.200001
1016,7,2.5,38.200001
1016,7,2.5,38.200001
1016,7,2.5,38.200001
1016,7,2.5,38.200001
1016,7,2.3,38.0
1017,1,2.4000001,38.200001
1017,2,2.4000001,38.200001
1017,3,2.4000001,38.200001
1017,5,2.4000001,38.200001
1017,7,2.4000001,38.200001
1017,7,2.4000001,38.200001
1017,7,2.4000001,38.200001
1017,7,2.4000001,38.200001
1017,7,2.4000001,38.200001
1017,7,2.4000001,38.200001
1017,7,2.3,38.0
1018,1,2.4000001,38.200001
1018,2,2.4000001,38.200001
1018,3,2.4000001,38.200001
1018,5,2.4000001,38.200001
1018,7,2.4000001,38.200001
1018,7,2.4000001,38.200001
1018,7,2.4000001,38.200001
1018,7,2.4000001,38.200001
1018,7,2.4000001,38.200001
