hhid,round,comment,lossevent,year,month,livestock_type_raw,cause_raw,s6q22b,cause_detail,location,s6q24a,quantity,cause_category,livestock_type_std,tlu_rate,tlu_loss,season
1002,1,,3,2009,9,Cattle,Starvation/Drought,,Base camp,2,,2.0,Drought,Cattle,1.0,2.0,LRLD
1002,1,,1,2009,7,Cattle,Starvation/Drought,,Satellite camp,2,,1.0,Drought,Cattle,1.0,1.0,LRLD
1002,1,,2,2009,8, Goat/Sheep,Starvation/Drought,,Satellite camp,3,,3.0,Drought,Shoats,0.1,0.30000000000000004,LRLD
1002,3,0.0,4,2011,8, Goat/Sheep, Disease,,Base camp,1,,1.0,Disease,Shoats,0.1,0.1,LRLD
1002,3,0.0,1,2011,6,Cattle,Starvation/Drought,,Base camp,1,,1.0,Drought,Cattle,1.0,1.0,LRLD
1002,3,0.0,3,2011,9,Cattle,Starvation/Drought,,Base camp,4,,2.0,Drought,Cattle,1.0,2.0,LRLD
1002,3,0.0,2,2011,8,Cattle,Starvation/Drought,,Base camp,3,,1.0,Drought,Cattle,1.0,1.0,LRLD
1002,5,0.0,3,2013,2,Cattle, Disease,,Base camp,1,,1.0,Disease,Cattle,1.0,1.0,SRSD
1002,5,0.0,1,2012,10,Cattle, Disease,,Base camp,1,,1.0,Disease,Cattle,1.0,1.0,SRSD
1002,5,0.0,2,2013,1,Cattle, Disease,,Base camp,1,,1.0,Disease,Cattle,1.0,1.0,SRSD
1003,1,,2,2009,9,Cattle,Starvation/Drought,,Satellite camp,1,,1.0,Drought,Cattle,1.0,1.0,LRLD
1003,1,,1,2009,8,Cattle,Starvation/Drought,,Base camp,2,,1.0,Drought,Cattle,1.0,1.0,LRLD
1003,3,0.0,1,2010,11,Cattle,Starvation/Drought,,Base camp,1,,1.0,Drought,Cattle,1.0,1.0,SRSD
1003,5,0.0,1,2013,1,Cattle, Disease,,Base camp,1,,1.0,Disease,Cattle,1.0,1.0,SRSD
1003,7,,1,2020,8,Cattle,Predation,,,1,1.0,1.0,Predation,Cattle,1.0,1.0,LRLD
1004,1,,2,2009,8,Cattle,Starvation/Drought,,Satellite camp,6,,5.0,Drought,Cattle,1.0,5.0,LRLD
1004,1,,4,2009,9,Cattle, Disease,,Satellite camp,1,,1.0,Disease,Cattle,1.0,1.0,LRLD
1004,1,,3,2009,9,Cattle,Starvation/Drought,,Satellite camp,2,,2.0,Drought,Cattle,1.0,2.0,LRLD
1004,1,,1,2009,7,Cattle,Starvation/Drought,,Satellite camp,5,,3.0,Drought,Cattle,1.0,3.0,LRLD
1004,3,0.0,1,.a,.a,Cattle,Starvation/Drought,,Base camp,4,,4.0,Drought,Cattle,1.0,4.0,Unknown
1004,3,0.0,2,.a,.a,Cattle,Raiding/Rustling/Conflict,,Satellite camp,7,,7.0,Conflict,Cattle,1.0,7.0,Unknown
1004,7,,1,2020,4,Cattle,Starvation/Drought,,,1,1.0,1.0,Drought,Cattle,1.0,1.0,LRLD
1005,1,,2,2008,9, Goat/Sheep,Starvation/Drought,,Base camp,2,,1.0,Drought,Shoats,0.1,0.1,LRLD
1005,1,,1,2009,8, Goat/Sheep,Starvation/Drought,,Base camp,5,,0.0,Drought,Shoats,0.1,0.0,LRLD
1005,2,,1,2009,12, Goat/Sheep,Starvation/Drought,,Base camp,2,,2.0,Drought,Shoats,0.1,0.2,SRSD
1005,3,0.0,1,2011,8, Goat/Sheep,Starvation/Drought,,Base camp,4,,0.0,Drought,Shoats,0.1,0.0,LRLD
1005,4,0.0,1,2011,12, Goat/Sheep, Disease,,Base camp,1,,1.0,Disease,Shoats,0.1,0.1,SRSD
1005,5,0.0,1,2012,11, Goat/Sheep,Predation,,Base camp,4,,2.0,Predation,Shoats,0.1,0.2,SRSD
1005,6,0.0,1,2014,10, Goat/Sheep, Disease,,Satellite camp,18,,10.0,Disease,Shoats,0.1,1.0,SRSD
1005,6,0.0,2,2014,12, Goat/Sheep,Predation,,Base camp,7,,2.0,Predation,Shoats,0.1,0.2,SRSD
1005,7,,2,2020,10,Goat, Disease,,,2,2.0,1.0,Disease,Goats,0.1,0.1,SRSD
1005,7,,1,2020,8,Goat, Disease,,,2,2.0,1.0,Disease,Goats,0.1,0.1,LRLD
1006,1,,1,2009,9, Goat/Sheep,Starvation/Drought,,Satellite camp,12,,0.0,Drought,Shoats,0.1,0.0,LRLD
1006,3,0.0,2,2011,4,Cattle,Raiding/Rustling/Conflict,,Base camp,2,,2.0,Conflict,Cattle,1.0,2.0,LRLD
1006,3,0.0,3,2011,7, Goat/Sheep,Raiding/Rustling/Conflict,,Base camp,14,,14.0,Conflict,Shoats,0.1,1.4000000000000001,LRLD
1006,3,0.0,1,2011,3,Cattle,Starvation/Drought,,Base camp,1,,1.0,Drought,Cattle,1.0,1.0,LRLD
1007,1,,1,2009,9,Cattle,Starvation/Drought,,Base camp,7,,4.0,Drought,Cattle,1.0,4.0,LRLD
1007,2,,1,2010,6,Cattle, Disease,,Base camp,1,,1.0,Disease,Cattle,1.0,1.0,LRLD
1007,3,0.0,1,2011,8,Cattle,Starvation/Drought,,Base camp,1,,1.0,Drought,Cattle,1.0,1.0,LRLD
1007,3,0.0,2,2011,9,Cattle,Starvation/Drought,,Base camp,1,,1.0,Drought,Cattle,1.0,1.0,LRLD
1007,4,0.0,1,2011,11,Cattle,Starvation/Drought,,Base camp,2,,2.0,Drought,Cattle,1.0,2.0,SRSD
1007,4,0.0,3,2011,11, Goat/Sheep,Starvation/Drought,,Base camp,1,,1.0,Drought,Shoats,0.1,0.1,SRSD
1008,1,,1,2009,4, Goat/Sheep,Predation,,Base camp,1,,1.0,Predation,Shoats,0.1,0.1,LRLD
1008,1,,3,2009,8,Cattle,Starvation/Drought,,Base camp,1,,0.0,Drought,Cattle,1.0,0.0,LRLD
1008,1,,4,2009,9,Cattle,Starvation/Drought,,Base camp,1,,1.0,Drought,Cattle,1.0,1.0,LRLD
1008,1,,2,2009,5, Goat/Sheep, Disease,,Base camp,1,,1.0,Disease,Shoats,0.1,0.1,LRLD
1008,2,,1,2010,1,Cattle, Disease,,Base camp,1,,1.0,Disease,Cattle,1.0,1.0,SRSD
1008,3,0.0,1,2011,8,Cattle, Disease,,Base camp,1,,1.0,Disease,Cattle,1.0,1.0,LRLD
1008,4,0.0,2,2011,10, Goat/Sheep,Predation,,Base camp,1,,1.0,Predation,Shoats,0.1,0.1,SRSD
1008,4,0.0,1,2011,10, Goat/Sheep,Accident/Poisoned,,Base camp,4,,4.0,Other,Shoats,0.1,0.4,SRSD
1008,5,0.0,2,2013,6, Goat/Sheep, Disease,,Base camp,3,,3.0,Disease,Shoats,0.1,0.30000000000000004,LRLD
1008,5,0.0,3,2013,7, Goat/Sheep, Disease,,Base camp,3,,3.0,Disease,Shoats,0.1,0.30000000000000004,LRLD
1008,5,0.0,1,2012,12,Cattle, Disease,,Base camp,1,,1.0,Disease,Cattle,1.0,1.0,SRSD
1009,1,,4,2009,8, Goat/Sheep,Starvation/Drought,,Satellite camp,22,,18.0,Drought,Shoats,0.1,1.8,LRLD
1009,1,,3,2009,8,Cattle,Starvation/Drought,,Satellite camp,4,,4.0,Drought,Cattle,1.0,4.0,LRLD
1009,1,,2,2009,7, Goat/Sheep,Starvation/Drought,,Satellite camp,15,,10.0,Drought,Shoats,0.1,1.0,LRLD
1009,1,,1,2009,7,Cattle,Starvation/Drought,,Satellite camp,20,,20.0,Drought,Cattle,1.0,20.0,LRLD
1009,3,0.0,4,2011,9, Goat/Sheep,Starvation/Drought,,Base camp,8,,8.0,Drought,Shoats,0.1,0.8,LRLD
1009,3,0.0,3,2011,8, Goat/Sheep,Starvation/Drought,,Base camp,10,,10.0,Drought,Shoats,0.1,1.0,LRLD
1009,3,0.0,1,2011,8,Cattle,Starvation/Drought,,Base camp,3,,3.0,Drought,Cattle,1.0,3.0,LRLD
1009,3,0.0,2,2011,9,Cattle,Starvation/Drought,,Base camp,1,,1.0,Drought,Cattle,1.0,1.0,LRLD
1009,4,0.0,2,2011,10, Goat/Sheep,Starvation/Drought,,Base camp,9,,9.0,Drought,Shoats,0.1,0.9,SRSD
