hhid,gps_latitude,gps_longitude,ibli_date,year,month,ibli_dekad,tlu_loss,tlu_loss_ratio,data_observed,season
1002,2.5,38.299999,2009-07-31,2009,7,3,1.0,0.10869565217391305,1,LRLD
1002,2.5,38.299999,2009-08-31,2009,8,3,0.30000000000000004,0.03260869565217392,1,LRLD
1002,2.5,38.299999,2009-09-30,2009,9,3,2.0,0.2173913043478261,1,LRLD
1002,2.5,38.299999,2009-10-31,2009,10,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2009-11-30,2009,11,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2009-12-31,2009,12,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2010-01-31,2010,1,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2010-02-28,2010,2,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2010-03-31,2010,3,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2010-04-30,2010,4,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2010-05-31,2010,5,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2010-06-30,2010,6,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2010-07-31,2010,7,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2010-08-31,2010,8,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2010-09-30,2010,9,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2010-10-31,2010,10,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2010-11-30,2010,11,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2010-12-31,2010,12,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2011-01-31,2011,1,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2011-02-28,2011,2,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2011-03-31,2011,3,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2011-04-30,2011,4,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2011-05-31,2011,5,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2011-06-30,2011,6,3,1.0,0.3333333333333333,1,LRLD
1002,2.5,38.299999,2011-07-31,2011,7,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2011-08-31,2011,8,3,1.1,0.18333333333333332,1,LRLD
1002,2.5,38.299999,2011-09-30,2011,9,3,2.0,0.6666666666666666,1,LRLD
1002,2.5,38.299999,2011-10-31,2011,10,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2011-11-30,2011,11,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2011-12-31,2011,12,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2012-01-31,2012,1,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2012-02-29,2012,2,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2012-03-31,2012,3,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2012-04-30,2012,4,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2012-05-31,2012,5,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2012-06-30,2012,6,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2012-07-31,2012,7,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2012-08-31,2012,8,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2012-09-30,2012,9,3,0.0,0.0,0,LRLD
1002,2.5,38.299999,2012-10-31,2012,10,3,1.0,0.14285714285714285,1,SRSD
1002,2.5,38.299999,2012-11-30,2012,11,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2012-12-31,2012,12,3,0.0,0.0,0,SRSD
1002,2.5,38.299999,2013-01-31,2013,1,3,1.0,0.14285714285714285,1,SRSD
1002,2.5,38.299999,2013-02-28,2013,2,3,1.0,0.14285714285714285,1,SRSD
1003,2.6,38.200001,2009-08-31,2009,8,3,1.0,0.23809523809523808,1,LRLD
1003,2.6,38.200001,2009-09-30,2009,9,3,1.0,0.23809523809523808,1,LRLD
1003,2.6,38.200001,2009-10-31,2009,10,3,0.0,0.0,0,SRSD
1003,2.6,38.200001,2009-11-30,2009,11,3,0.0,0.0,0,SRSD
1003,2.6,38.200001,2009-12-31,2009,12,3,0.0,0.0,0,SRSD
1003,2.6,38.200001,2010-01-31,2010,1,3,0.0,0.0,0,SRSD
1003,2.6,38.200001,2010-02-28,2010,2,3,0.0,0.0,0,SRSD
1003,2.6,38.200001,2010-03-31,2010,3,3,0.0,0.0,0,LRLD
1003,2.6,38.200001,2010-04-30,2010,4,3,0.0,0.0,0,LRLD
1003,2.6,38.200001,2010-05-31,2010,5,3,0.0,0.0,0,LRLD
1003,2.6,38.200001,2010-06-30,2010,6,3,0.0,0.0,0,LRLD
1003,2.6,38.200001,2010-07-31,2010,7,3,0.0,0.0,0,LRLD
1003,2.6,38.200001,2010-08-31,2010,8,3,0.0,0.0,0,LRLD
1003,2.6,38.200001,2010-09-30,2010,9,3,0.0,0.0,0,LRLD
1003,2.6,38.200001,2010-10-31,2010,10,3,0.0,0.0,0,SRSD
1003,2.6,38.200001,2010-11-30,2010,11,3,1.0,0.24390243902439027,1,SRSD
1003,2.6,38.200001,2013-01-31,2013,1,3,1.0,0.18518518518518517,1,SRSD
1003,2.6,38.200001,2020-08-31,2020,8,3,1.0,0.3333333333333333,1,LRLD
1004,2.6,38.099998,2009-07-31,2009,7,3,3.0,inf,1,LRLD
1004,2.6,38.099998,2009-08-31,2009,8,3,5.0,inf,1,LRLD
1004,2.6,38.099998,2009-09-30,2009,9,3,3.0,inf,1,LRLD
1005,2.6,38.200001,2008-09-30,2008,9,3,0.1,0.09090909090909091,1,LRLD
1005,2.6,38.200001,2008-10-31,2008,10,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2008-11-30,2008,11,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2008-12-31,2008,12,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2009-01-31,2009,1,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2009-02-28,2009,2,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2009-03-31,2009,3,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2009-04-30,2009,4,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2009-05-31,2009,5,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2009-06-30,2009,6,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2009-07-31,2009,7,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2009-08-31,2009,8,3,0.0,0.0,1,LRLD
1005,2.6,38.200001,2009-09-30,2009,9,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2009-10-31,2009,10,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2009-11-30,2009,11,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2009-12-31,2009,12,3,0.2,0.22222222222222224,1,SRSD
1005,2.6,38.200001,2010-01-31,2010,1,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2010-02-28,2010,2,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2010-03-31,2010,3,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2010-04-30,2010,4,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2010-05-31,2010,5,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2010-06-30,2010,6,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2010-07-31,2010,7,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2010-08-31,2010,8,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2010-09-30,2010,9,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2010-10-31,2010,10,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2010-11-30,2010,11,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2010-12-31,2010,12,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2011-01-31,2011,1,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2011-02-28,2011,2,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2011-03-31,2011,3,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2011-04-30,2011,4,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2011-05-31,2011,5,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2011-06-30,2011,6,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2011-07-31,2011,7,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2011-08-31,2011,8,3,0.0,0.0,1,LRLD
1005,2.6,38.200001,2011-09-30,2011,9,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2011-10-31,2011,10,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2011-11-30,2011,11,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2011-12-31,2011,12,3,0.1,0.09090909090909091,1,SRSD
1005,2.6,38.200001,2012-01-31,2012,1,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2012-02-29,2012,2,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2012-03-31,2012,3,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2012-04-30,2012,4,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2012-05-31,2012,5,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2012-06-30,2012,6,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2012-07-31,2012,7,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2012-08-31,2012,8,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2012-09-30,2012,9,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2012-10-31,2012,10,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2012-11-30,2012,11,3,0.2,0.06896551724137931,1,SRSD
1005,2.6,38.200001,2012-12-31,2012,12,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2013-01-31,2013,1,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2013-02-28,2013,2,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2013-03-31,2013,3,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2013-04-30,2013,4,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2013-05-31,2013,5,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2013-06-30,2013,6,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2013-07-31,2013,7,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2013-08-31,2013,8,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2013-09-30,2013,9,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2013-10-31,2013,10,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2013-11-30,2013,11,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2013-12-31,2013,12,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2014-01-31,2014,1,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2014-02-28,2014,2,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2014-03-31,2014,3,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2014-04-30,2014,4,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2014-05-31,2014,5,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2014-06-30,2014,6,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2014-07-31,2014,7,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2014-08-31,2014,8,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2014-09-30,2014,9,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2014-10-31,2014,10,3,1.0,inf,1,SRSD
1005,2.6,38.200001,2014-11-30,2014,11,3,0.0,0.0,0,SRSD
1005,2.6,38.200001,2014-12-31,2014,12,3,0.2,inf,1,SRSD
1005,2.6,38.200001,2020-08-31,2020,8,3,0.1,0.2,1,LRLD
1005,2.6,38.200001,2020-09-30,2020,9,3,0.0,0.0,0,LRLD
1005,2.6,38.200001,2020-10-31,2020,10,3,0.1,0.2,1,SRSD
